Batch	m_SP	13	P5	W1	W2	W3	W4	W5	W6	R	P1	P2	P3	P4	P6																							
2.38265e-11	9.7703003189701e-06	0.1	2.38265e-11	2.145767e-118	0.1	2.38265e-11	2.145767e-118	0.1	2.38265e-11	2.269695e-10	0.1	2.38265e-11	2.145767e-118	0.1	2.38265e-11	3.71937e-08	0.1	2.38265e-11	1.287889e-11	0.1	2.38265e-11	2.871166e-08	0.1	2.38265e-11	3.184248e-08	0.1	2.38265e-11	9.033926e-08	0.1	2.38265e-11	4.11188e-08	0.1	2.38265e-11	1.54245e-10	0.1	2.38265e-11	1.055716e-12	0.1
5.081014e-11	9.5167858794918e-06	0.1	5.081014e-11	5.631138e-118	0.1	5.081014e-11	5.631138e-118	0.1	5.081014e-11	4.83454e-10	0.1	5.081014e-11	5.631138e-118	0.1	5.081014e-11	7.920325e-08	0.1	5.081014e-11	2.925703e-11	0.1	5.081014e-11	6.085541e-08	0.1	5.081014e-11	6.926034e-08	0.1	5.081014e-11	1.87781e-07	0.1	5.081014e-11	8.517591e-08	0.1	5.081014e-11	3.276884e-10	0.1	5.081014e-11	2.2071e-12	0.1
1.138017e-10	8.9508498052974e-06	0.1	1.138017e-10	1.810886e-117	0.1	1.138017e-10	1.810886e-117	0.1	1.138017e-10	1.079118e-09	0.1	1.138017e-10	1.810886e-117	0.1	1.138017e-10	1.766855e-07	0.1	1.138017e-10	7.432583e-11	0.1	1.138017e-10	1.343441e-07	0.1	1.138017e-10	1.616918e-07	0.1	1.138017e-10	3.961714e-07	0.1	1.138017e-10	1.782813e-07	0.1	1.138017e-10	7.271845e-10	0.1	1.138017e-10	4.718922e-12	0.1
2.271866e-10	8.0174230144152e-06	0.1	2.271866e-10	5.571514e-117	0.1	2.271866e-10	5.571514e-117	0.1	2.271866e-10	2.136129e-09	0.1	2.271866e-10	5.571514e-117	0.1	2.271866e-10	3.494075e-07	0.1	2.271866e-10	1.762252e-10	0.1	2.271866e-10	2.611243e-07	0.1	2.271866e-10	3.42973e-07	0.1	2.271866e-10	7.100839e-07	0.1	2.271866e-10	3.151598e-07	0.1	2.271866e-10	1.425774e-09	0.1	2.271866e-10	8.660289e-12	0.1
3.360174e-10	7.215111354429e-06	0.1	3.360174e-10	1.097571e-116	0.1	3.360174e-10	1.097571e-116	0.1	3.360174e-10	3.126174e-09	0.1	3.360174e-10	1.097571e-116	0.1	3.360174e-10	5.109085e-07	0.1	3.360174e-10	2.941053e-10	0.1	3.360174e-10	3.761585e-07	0.1	3.360174e-10	5.30456e-07	0.1	3.360174e-10	9.46861e-07	0.1	3.360174e-10	4.149292e-07	0.1	3.360174e-10	2.069552e-09	0.1	3.360174e-10	1.180805e-11	0.1
4.191195e-10	6.658142093802399e-06	0.1	4.191195e-10	1.625433e-116	0.1	4.191195e-10	1.625433e-116	0.1	4.191195e-10	3.862503e-09	0.1	4.191195e-10	1.625433e-116	0.1	4.191195e-10	6.308606e-07	0.1	4.191195e-10	3.942567e-10	0.1	4.191195e-10	4.596453e-07	0.1	4.191195e-10	6.797476e-07	0.1	4.191195e-10	1.091071e-06	0.1	4.191195e-10	4.736521e-07	0.1	4.191195e-10	2.542483e-09	0.1	4.191195e-10	1.383611e-11	0.1
5.32849e-10	5.966369385963e-06	0.1	5.32849e-10	2.504412e-116	0.1	5.32849e-10	2.504412e-116	0.1	5.32849e-10	4.838873e-09	0.1	5.32849e-10	2.504412e-116	0.1	5.32849e-10	7.897169e-07	0.1	5.32849e-10	5.418524e-10	0.1	5.32849e-10	5.678937e-07	0.1	5.32849e-10	8.894122e-07	0.1	5.32849e-10	1.244426e-06	0.1	5.32849e-10	5.335615e-07	0.1	5.32849e-10	3.162634e-09	0.1	5.32849e-10	1.614079e-11	0.1
6.940917e-10	5.109402197390301e-06	0.1	6.940917e-10	4.047595e-116	0.1	6.940917e-10	4.047595e-116	0.1	6.940917e-10	6.154912e-09	0.1	6.940917e-10	4.047595e-116	0.1	6.940917e-10	1.003496e-06	0.1	6.940917e-10	7.648598e-10	0.1	6.940917e-10	7.098003e-07	0.1	6.940917e-10	1.191103e-06	0.1	6.940917e-10	1.389398e-06	0.1	6.940917e-10	5.858234e-07	0.1	6.940917e-10	3.987218e-09	0.1	6.940917e-10	1.859434e-11	0.1
9.151191e-10	4.1347493149875e-06	0.1	9.151191e-10	6.691718e-116	0.1	9.151191e-10	6.691718e-116	0.1	9.151191e-10	7.819118e-09	0.1	9.151191e-10	6.691718e-116	0.1	9.151191e-10	1.273299e-06	0.1	9.151191e-10	1.081984e-09	0.1	9.151191e-10	8.83392e-07	0.1	9.151191e-10	1.600584e-06	0.1	9.151191e-10	1.482277e-06	0.1	9.151191e-10	6.117243e-07	0.1	9.151191e-10	5.013431e-09	0.1	9.151191e-10	2.06828e-11	0.1
1.136147e-09	3.349389457371e-06	0.1	1.136147e-09	9.892935e-116	0.1	1.136147e-09	9.892935e-116	0.1	1.136147e-09	9.31662e-09	0.1	1.136147e-09	9.892935e-116	0.1	1.136147e-09	1.515584e-06	0.1	1.136147e-09	1.397177e-09	0.1	1.136147e-09	1.034591e-06	0.1	1.136147e-09	1.992978e-06	0.1	1.136147e-09	1.488524e-06	0.1	1.136147e-09	6.022478e-07	0.1	1.136147e-09	5.922778e-09	0.1	1.136147e-09	2.162769e-11	0.1
