	T[K]	N7a	N7b	N7c
600 0.00002 0.99172 0.00603
700 0.00013 0.98369 0.01384
800 0.00053 0.97004 0.02708
900 0.00142 0.95534 0.04107
1000 0.00277 0.94320 0.05214
1100 0.00364 0.94295 0.05174
1200 0.00331 0.95708 0.03861
1300 0.00265 0.96941 0.02739
1400 0.00206 0.97750 0.02011
1500 0.00166 0.98239 0.01575
1600 0.00158 0.98371 0.01457
1700 0.00217 0.97958 0.01812
1800 0.02231 0.83160 0.14508
1900 0.03414 0.74567 0.21825
2000 0.04397 0.67711 0.27727
