	T[K]	W4	W5	W1
600 0.44260 0.55488 0.00125
700 0.42955 0.56640 0.00287
800 0.41896 0.57442 0.00534
900 0.41057 0.57945 0.00865
1000 0.40182 0.58428 0.01263
1100 0.39504 0.58639 0.01724
1200 0.38866 0.58761 0.02232
1300 0.38315 0.58780 0.02772
1400 0.37734 0.58789 0.03333
1500 0.37261 0.58688 0.03923
1600 0.36809 0.58577 0.04485
1700 0.41386 0.58478 0.00000
1800 0.00000 0.99850 0.00000
1900 0.00000 0.99862 0.00000
2000 0.00000 0.99872 0.00000
2100 0.00000 0.99834 0.00000
2200 0.00000 0.99795 0.00000
2300 0.00000 0.99783 0.00000
2400 0.00000 0.99869 0.00000
2500 0.00000 0.99839 0.00000
