	T[K]	W4	W5	W1
600 0.44293 0.55465 0.00125
700 0.42961 0.56631 0.00286
800 0.41921 0.57427 0.00534
900 0.41052 0.57957 0.00862
1000 0.40206 0.58396 0.01267
1100 0.39549 0.58598 0.01726
1200 0.38896 0.58732 0.02233
1300 0.38308 0.58794 0.02772
1400 0.41119 0.58741 0.00000
1500 0.00000 0.99861 0.00000
1600 0.00000 0.99852 0.00000
1700 0.00000 0.99774 0.00000
1800 0.00000 0.99833 0.00000
1900 0.00000 0.99772 0.00000
2000 0.00000 0.99869 0.00000
2100 0.00000 0.99846 0.00000
2200 0.00000 0.99818 0.00000
2300 0.00000 0.99817 0.00000
2400 0.00000 0.99816 0.00000
2500 0.00000 0.99814 0.00000
