Batch	m_SP	5	Nphln	N1a_L	N7a_L	Flvln	Azln							
3.727537e-08	9.844522553790001e-06	0.1	3.727537e-08	9.31447003e-11	0.1	3.727537e-08	1.54010465e-07	0.1	3.727537e-08	2.226704e-11	0.1	3.727537e-08	9.610287e-12	0.1
7.528797e-08	9.689264106390002e-06	0.1	7.528797e-08	1.866511529e-10	0.1	7.528797e-08	3.0916596e-07	0.1	7.528797e-08	4.469133e-11	0.1	7.528797e-08	1.929401e-11	0.1
1.513132e-07	9.38605413852e-06	0.1	1.513132e-07	3.6926306500000003e-10	0.1	1.513132e-07	6.1217472e-07	0.1	1.513132e-07	8.848453e-11	0.1	1.513132e-07	3.82057e-11	0.1
2.843573e-07	8.87809021821e-06	0.1	2.843573e-07	6.751912989999999e-10	0.1	2.843573e-07	1.1198024599999999e-06	0.1	2.843573e-07	1.618509e-10	0.1	2.843573e-07	6.988828e-11	0.1
4.866852e-07	8.157792421260001e-06	0.1	4.866852e-07	1.1089997380000002e-09	0.1	4.866852e-07	1.83962252e-06	0.1	4.866852e-07	2.658849e-10	0.1	4.866852e-07	1.148144e-10	0.1
7.380732e-07	7.343709562170001e-06	0.1	7.380732e-07	1.5992920029999998e-09	0.1	7.380732e-07	2.6531659999999998e-06	0.1	7.380732e-07	3.834646e-10	0.1	7.380732e-07	1.655902e-10	0.1
1.162525e-06	6.1493095062900005e-06	0.1	1.162525e-06	2.318634735e-09	0.1	1.162525e-06	3.8467745e-06	0.1	1.162525e-06	5.559743e-10	0.1	1.162525e-06	2.400869e-10	0.1
1.586977e-06	5.14917050778e-06	0.1	1.586977e-06	2.9209822700000004e-09	0.1	1.586977e-06	4.8462519e-06	0.1	1.586977e-06	7.004265e-10	0.1	1.586977e-06	3.024672e-10	0.1
2.154506e-06	4.06127538684e-06	0.1	2.154506e-06	3.57618107e-09	0.1	2.154506e-06	5.9334252e-06	0.1	2.154506e-06	8.575533e-10	0.1	2.154506e-06	3.70321e-10	0.1
2.757804e-06	3.155668443e-06	0.1	2.757804e-06	4.12159441e-09	0.1	2.757804e-06	6.8384322999999995e-06	0.1	2.757804e-06	9.883521e-10	0.1	2.757804e-06	4.268053e-10	0.1
3.361101e-06	2.45199847977e-06	0.1	3.361101e-06	4.5453890400000004e-09	0.1	3.361101e-06	7.5416369e-06	0.1	3.361101e-06	1.089985e-09	0.1	3.361101e-06	4.706943e-10	0.1
3.964399e-06	1.9052369474400002e-06	0.1	3.964399e-06	4.87468309e-09	0.1	3.964399e-06	8.088035900000001e-06	0.1	3.964399e-06	1.168954e-09	0.1	3.964399e-06	5.047968e-10	0.1
4.567697e-06	1.48039619589e-06	0.1	4.567697e-06	5.130549350000001e-09	0.1	4.567697e-06	8.5125952e-06	0.1	4.567697e-06	1.230315e-09	0.1	4.567697e-06	5.312948e-10	0.1
5.170995e-06	1.1502884970000001e-06	0.1	5.170995e-06	5.32936139e-09	0.1	5.170995e-06	8.842483199999999e-06	0.1	5.170995e-06	1.277993e-09	0.1	5.170995e-06	5.518842e-10	0.1
5.774292e-06	8.937901620090001e-07	0.1	5.774292e-06	5.483840970000001e-09	0.1	5.774292e-06	9.0988123e-06	0.1	5.774292e-06	1.31504e-09	0.1	5.774292e-06	5.678824e-10	0.1
6.37759e-06	6.94487455056e-07	0.1	6.37759e-06	5.60387346e-09	0.1	6.37759e-06	9.2979829e-06	0.1	6.37759e-06	1.343826e-09	0.1	6.37759e-06	5.803132e-10	0.1
6.980888e-06	5.39626503681e-07	0.1	6.980888e-06	5.6971406199999995e-09	0.1	6.980888e-06	9.4527418e-06	0.1	6.980888e-06	1.366192e-09	0.1	6.980888e-06	5.899722e-10	0.1
7.705256e-06	3.9859621399800006e-07	0.1	7.705256e-06	5.782077749999999e-09	0.1	7.705256e-06	9.593678799999999e-06	0.1	7.705256e-06	1.386562e-09	0.1	7.705256e-06	5.987685e-10	0.1
8.429625e-06	2.9442395573100003e-07	0.1	8.429625e-06	5.844816490000001e-09	0.1	8.429625e-06	9.6977814e-06	0.1	8.429625e-06	1.401608e-09	0.1	8.429625e-06	6.052659e-10	0.1
9.153994e-06	2.1747682521000002e-07	0.1	9.153994e-06	5.8911590600000005e-09	0.1	9.153994e-06	9.774676699999999e-06	0.1	9.153994e-06	1.412721e-09	0.1	9.153994e-06	6.100652e-10	0.1
9.908026e-06	1.5865921339200002e-07	0.1	9.908026e-06	5.92658256e-09	0.1	9.908026e-06	9.8334557e-06	0.1	9.908026e-06	1.421216e-09	0.1	9.908026e-06	6.137337e-10	0.1
1.078071e-05	1.10145798531e-07	0.1	1.078071e-05	5.9558004199999994e-09	0.1	1.078071e-05	9.8819377e-06	0.1	1.078071e-05	1.428223e-09	0.1	1.078071e-05	6.167596e-10	0.1
