Batch	m_SP	7	P1	W4_L	W3	R	P2_L	P3	P4											
6.611058e-05	9.99989900001e-06	0.1	6.611058e-05	3.089472e-15	0.1	6.611058e-05	1.888075e-14	0.1	6.611058e-05	4.287467e-14	0.1	6.611058e-05	9.5723698e-13	0.1	6.611058e-05	5.450957e-14	0.1	6.611058e-05	7.495478e-14	0.1
0.004973951	9.99981500085e-06	0.1	0.004973951	2.309922e-15	0.1	0.004973951	1.552363e-14	0.1	0.004973951	3.234197e-12	0.1	0.004973951	7.2115257e-11	0.1	0.004973951	4.109532e-12	0.1	0.004973951	5.69542e-12	0.1
0.05048451	9.99903600864e-06	0.1	0.05048451	2.30521e-15	0.1	0.05048451	1.535091e-14	0.1	0.05048451	3.283671e-11	0.1	0.05048451	7.3183259e-10	0.1	0.05048451	4.171565e-11	0.1	0.05048451	5.781043e-11	0.1
0.1548734	9.99725102649e-06	0.1	0.1548734	2.30916e-15	0.1	0.1548734	1.534837e-14	0.1	0.1548734	1.010053e-10	0.1	0.1548734	2.24242611e-09	0.1	0.1548734	1.281116e-10	0.1	0.1548734	1.773366e-10	0.1
0.4248352	9.992674072260002e-06	0.1	0.4248352	2.338987e-15	0.1	0.4248352	1.534276e-14	0.1	0.4248352	2.82316e-10	0.1	0.4248352	6.1034276e-09	0.1	0.4248352	3.541554e-10	0.1	0.4248352	4.864152e-10	0.1
0.7652581	9.9870601284e-06	0.1	0.7652581	2.413659e-15	0.1	0.7652581	1.533763e-14	0.1	0.7652581	5.325768e-10	0.1	0.7652581	1.0780876500000001e-08	0.1	0.7652581	6.499826e-10	0.1	0.7652581	8.762519e-10	0.1
1.31219	9.978663212370002e-06	0.1	1.31219	2.598004e-15	0.1	1.31219	1.533339e-14	0.1	1.31219	1.021085e-09	0.1	1.31219	1.75507062e-08	0.1	1.31219	1.162198e-09	0.1	1.31219	1.503239e-09	0.1
1.98583	9.96970730193e-06	0.1	1.98583	2.873141e-15	0.1	1.98583	1.533281e-14	0.1	1.98583	1.821037e-09	0.1	1.98583	2.4245739500000002e-08	0.1	1.98583	1.848609e-09	0.1	1.98583	2.277167e-09	0.1
2.388868	9.965128347720002e-06	0.1	2.388868	3.034171e-15	0.1	2.388868	1.533374e-14	0.1	2.388868	2.41418e-09	0.1	2.388868	2.7346912600000002e-08	0.1	2.388868	2.269416e-09	0.1	2.388868	2.741098e-09	0.1
2.929817	9.95982340077e-06	0.1	2.929817	3.225631e-15	0.1	2.929817	1.533546e-14	0.1	2.929817	3.337414e-09	0.1	2.929817	3.05577588e-08	0.1	2.929817	2.816902e-09	0.1	2.929817	3.364521e-09	0.1
3.75515	9.95324546655e-06	0.1	3.75515	3.448314e-15	0.1	3.75515	1.533792e-14	0.1	3.75515	4.979341e-09	0.1	3.75515	3.3800255e-08	0.1	3.75515	3.559206e-09	0.1	3.75515	4.316167e-09	0.1
4.894448	9.9462075422892e-06	0.1	4.894448	3.635763e-15	0.1	4.894448	1.534018e-14	0.1	4.894448	7.553083e-09	0.1	4.894448	3.6174515e-08	0.1	4.894448	4.336637e-09	0.1	4.894448	5.627301e-09	0.1
5.758824	9.941817586628199e-06	0.1	5.758824	3.717046e-15	0.1	5.758824	1.534139e-14	0.1	5.758824	9.62324e-09	0.1	5.758824	3.7093102e-08	0.1	5.758824	4.747762e-09	0.1	5.758824	6.617389e-09	0.1
6.720917	9.9374876303612e-06	0.1	6.720917	3.773622e-15	0.1	6.720917	1.534279e-14	0.1	6.720917	1.19524e-08	0.1	6.720917	3.7676859e-08	0.1	6.720917	5.069898e-09	0.1	6.720917	7.712379e-09	0.1
7.829585	9.9329536761546e-06	0.1	7.829585	3.816046e-15	0.1	7.829585	1.534497e-14	0.1	7.829585	1.458829e-08	0.1	7.829585	3.807112e-08	0.1	7.829585	5.323253e-09	0.1	7.829585	8.96265e-09	0.1
