Batch	m_SP	2	Pr1	W1	
2.160038000000e+05	9.804083958180e-06	1.000000000000e-01	2.160038000000e+05	1.953081000000e-07	1.000000000000e-01
4.355143000000e+05	9.609265906380e-06	1.000000000000e-01	4.355143000000e+05	3.901373000000e-07	1.000000000000e-01
8.118180000000e+05	9.284256156510e-06	1.000000000000e-01	8.118180000000e+05	7.151657000000e-07	1.000000000000e-01
1.438991000000e+06	8.766817330950e-06	1.000000000000e-01	1.438991000000e+06	1.232634000000e-06	1.000000000000e-01
2.066164000000e+06	8.278217217000e-06	1.000000000000e-01	2.066164000000e+06	1.721263000000e-06	1.000000000000e-01
2.693337000000e+06	7.816847830740e-06	1.000000000000e-01	2.693337000000e+06	2.182658000000e-06	1.000000000000e-01
3.346960000000e+06	7.363362365640e-06	1.000000000000e-01	3.346960000000e+06	2.636170000000e-06	1.000000000000e-01
4.106386000000e+06	6.869406305250e-06	1.000000000000e-01	4.106386000000e+06	3.130153000000e-06	1.000000000000e-01
5.047458000000e+06	6.303025969110e-06	1.000000000000e-01	5.047458000000e+06	3.696565000000e-06	1.000000000000e-01
6.033941000000e+06	5.759379405630e-06	1.000000000000e-01	6.033941000000e+06	4.240242000000e-06	1.000000000000e-01
7.020424000000e+06	5.262624373230e-06	1.000000000000e-01	7.020424000000e+06	4.737025000000e-06	1.000000000000e-01
8.006906000000e+06	4.808714912370e-06	1.000000000000e-01	8.006906000000e+06	5.190959000000e-06	1.000000000000e-01
9.154971000000e+06	4.329514704420e-06	1.000000000000e-01	9.154971000000e+06	5.670185000000e-06	1.000000000000e-01
1.034343000000e+07	3.883697162640e-06	1.000000000000e-01	1.034343000000e+07	6.116026000000e-06	1.000000000000e-01
1.153189000000e+07	3.483786161790e-06	1.000000000000e-01	1.153189000000e+07	6.515958000000e-06	1.000000000000e-01
1.289655000000e+07	3.075113248560e-06	1.000000000000e-01	1.289655000000e+07	6.924652000000e-06	1.000000000000e-01
1.437866000000e+07	2.685383145900e-06	1.000000000000e-01	1.437866000000e+07	7.314401000000e-06	1.000000000000e-01
1.586078000000e+07	2.345046549300e-06	1.000000000000e-01	1.586078000000e+07	7.654753000000e-06	1.000000000000e-01
1.734289000000e+07	2.047843521360e-06	1.000000000000e-01	1.734289000000e+07	7.951970000000e-06	1.000000000000e-01
1.882501000000e+07	1.788307116750e-06	1.000000000000e-01	1.882501000000e+07	8.211517000000e-06	1.000000000000e-01
2.030712000000e+07	1.561664383200e-06	1.000000000000e-01	2.030712000000e+07	8.438170000000e-06	1.000000000000e-01
2.178924000000e+07	1.363745362410e-06	1.000000000000e-01	2.178924000000e+07	8.636096000000e-06	1.000000000000e-01
2.384469000000e+07	1.130087699010e-06	1.000000000000e-01	2.384469000000e+07	8.869761000000e-06	1.000000000000e-01
2.628235000000e+07	9.043026568830e-07	1.000000000000e-01	2.628235000000e+07	9.095553000000e-06	1.000000000000e-01
2.911924000000e+07	6.976909230210e-07	1.000000000000e-01	2.911924000000e+07	9.302168000000e-06	1.000000000000e-01
3.222228000000e+07	5.253452464950e-07	1.000000000000e-01	3.222228000000e+07	9.474514000000e-06	1.000000000000e-01
3.558477000000e+07	3.863005369560e-07	1.000000000000e-01	3.558477000000e+07	9.613557000000e-06	1.000000000000e-01
3.933645000000e+07	2.741286586860e-07	1.000000000000e-01	3.933645000000e+07	9.725724000000e-06	1.000000000000e-01
4.308813000000e+07	1.945303546770e-07	1.000000000000e-01	4.308813000000e+07	9.805315000000e-06	1.000000000000e-01
4.683981000000e+07	1.380466195200e-07	1.000000000000e-01	4.683981000000e+07	9.861790000000e-06	1.000000000000e-01
