Batch	m_SP	5	C5H5	T1a_L	T4a_L	N1a_L	N7a_L							
1.937467e-10	0.9858889	0.1	1.937467e-10	0.014110825099999998	0.1	1.937467e-10	6.559007459e-10	0.1	1.937467e-10	1.181591225e-07	0.1	1.937467e-10	4.6298098e-12	0.1
3.125171e-10	0.9774337	0.1	3.125171e-10	0.022565828000000003	0.1	3.125171e-10	1.0490079341e-09	0.1	3.125171e-10	1.88958357e-07	0.1	3.125171e-10	7.4039289e-12	0.1
4.686291e-10	0.9665383	0.1	4.686291e-10	0.033460972000000005	0.1	4.686291e-10	1.5556844914e-09	0.1	4.686291e-10	2.8019044000000003e-07	0.1	4.686291e-10	1.0978668700000001e-11	0.1
6.527978e-10	0.953993	0.1	6.527978e-10	0.04600596199999999	0.1	6.527978e-10	2.1392600827e-09	0.1	6.527978e-10	3.85237799e-07	0.1	6.527978e-10	1.5094738700000002e-11	0.1
8.650486e-10	0.9399328	0.1	8.650486e-10	0.060065837999999996	0.1	8.650486e-10	2.79353979e-09	0.1	8.650486e-10	5.02970383e-07	0.1	8.650486e-10	1.9707857e-11	0.1
1.077299e-09	0.926281	0.1	1.077299e-09	0.0737173	0.1	1.077299e-09	3.429066561e-09	0.1	1.077299e-09	6.17282903e-07	0.1	1.077299e-09	2.4186974e-11	0.1
1.307456e-09	0.9119188	0.1	1.307456e-09	0.08807922200000001	0.1	1.307456e-09	4.097952455e-09	0.1	1.307456e-09	7.375446060000001e-07	0.1	1.307456e-09	2.8899215e-11	0.1
1.564471e-09	0.896398	0.1	1.564471e-09	0.103599707	0.1	1.564471e-09	4.821153678e-09	0.1	1.564471e-09	8.67507795e-07	0.1	1.564471e-09	3.3991599e-11	0.1
1.821486e-09	0.8813966	0.1	1.821486e-09	0.11860072800000002	0.1	1.821486e-09	5.520524548e-09	0.1	1.821486e-09	9.931211319999999e-07	0.1	1.821486e-09	3.8913547e-11	0.1
2.078501e-09	0.8668891	0.1	2.078501e-09	0.13310792999999999	0.1	2.078501e-09	6.197249573e-09	0.1	2.078501e-09	1.1145993519999999e-06	0.1	2.078501e-09	4.3673486e-11	0.1
2.376897e-09	0.8506336	0.1	2.376897e-09	0.149363026	0.1	2.376897e-09	6.955981755e-09	0.1	2.376897e-09	1.250714223e-06	0.1	2.376897e-09	4.9006947999999997e-11	0.1
2.685639e-09	0.8344441	0.1	2.685639e-09	0.165552217	0.1	2.685639e-09	7.712174027000001e-09	0.1	2.685639e-09	1.386276879e-06	0.1	2.685639e-09	5.4318792e-11	0.1
2.99438e-09	0.8188593	0.1	2.99438e-09	0.18113669500000001	0.1	2.99438e-09	8.440663336e-09	0.1	2.99438e-09	1.51677544e-06	0.1	2.99438e-09	5.9432243e-11	0.1
3.303122e-09	0.8038459	0.1	3.303122e-09	0.196149687	0.1	3.303122e-09	9.142984002e-09	0.1	3.303122e-09	1.64248863e-06	0.1	3.303122e-09	6.435820200000001e-11	0.1
3.674092e-09	0.786519	0.1	3.674092e-09	0.21347618800000004	0.1	3.674092e-09	9.954248352e-09	0.1	3.674092e-09	1.7875753e-06	0.1	3.674092e-09	7.004327e-11	0.1
4.045061e-09	0.7699233	0.1	4.045061e-09	0.230071488	0.1	4.045061e-09	1.0732054293e-08	0.1	4.045061e-09	1.92653836e-06	0.1	4.045061e-09	7.548845500000001e-11	0.1
4.416031e-09	0.7540135	0.1	4.416031e-09	0.245980947	0.1	4.416031e-09	1.1478491936e-08	0.1	4.416031e-09	2.05975893e-06	0.1	4.416031e-09	8.070863e-11	0.1
4.787001e-09	0.7387479	0.1	4.787001e-09	0.26124621000000003	0.1	4.787001e-09	1.2195473276000001e-08	0.1	4.787001e-09	2.18758431e-06	0.1	4.787001e-09	8.5717453e-11	0.1
5.234461e-09	0.7211376	0.1	5.234461e-09	0.2788562	0.1	5.234461e-09	1.3023601853e-08	0.1	5.234461e-09	2.33504489e-06	0.1	5.234461e-09	9.149566600000001e-11	0.1
5.681922e-09	0.7043472	0.1	5.681922e-09	0.29564616	0.1	5.681922e-09	1.3814267712e-08	0.1	5.681922e-09	2.4756376100000003e-06	0.1	5.681922e-09	9.700483900000001e-11	0.1
6.129382e-09	0.688321	0.1	6.129382e-09	0.3116720599999999	0.1	6.129382e-09	1.4570043124e-08	0.1	6.129382e-09	2.60983342e-06	0.1	6.129382e-09	1.02263344e-10	0.1
6.576842e-09	0.6730078	0.1	6.576842e-09	0.3269849	0.1	6.576842e-09	1.5293274219000003e-08	0.1	6.576842e-09	2.73805716e-06	0.1	6.576842e-09	1.07287909e-10	0.1
7.115293e-09	0.6554604	0.1	7.115293e-09	0.34453188999999995	0.1	7.115293e-09	1.6123439886e-08	0.1	7.115293e-09	2.88498979e-06	0.1	7.115293e-09	1.13045611e-10	0.1
7.653745e-09	0.6388047	0.1	7.653745e-09	0.36118713999999996	0.1	7.653745e-09	1.6912939816e-08	0.1	7.653745e-09	3.02445572e-06	0.1	7.653745e-09	1.18510752e-10	0.1
8.192196e-09	0.6229746	0.1	8.192196e-09	0.37701694	0.1	8.192196e-09	1.7664816824e-08	0.1	8.192196e-09	3.1570083800000003e-06	0.1	8.192196e-09	1.2370508e-10	0.1
8.730647e-09	0.6079101	0.1	8.730647e-09	0.39208120999999996	0.1	8.730647e-09	1.8381816069000002e-08	0.1	8.730647e-09	3.28315063e-06	0.1	8.730647e-09	1.28648198e-10	0.1
9.377604e-09	0.5907462	0.1	9.377604e-09	0.4092446	0.1	9.377604e-09	1.9200662009e-08	0.1	9.377604e-09	3.4268716699999997e-06	0.1	9.377604e-09	1.34280352e-10	0.1
1.002456e-08	0.5745249	0.1	1.002456e-08	0.4254655599999999	0.1	1.002456e-08	1.9976610853e-08	0.1	1.002456e-08	3.5626995600000003e-06	0.1	1.002456e-08	1.3960311000000001e-10	0.1
1.067152e-08	0.5591707	0.1	1.067152e-08	0.44081945	0.1	1.067152e-08	2.0713121571e-08	0.1	1.067152e-08	3.69126798e-06	0.1	1.067152e-08	1.4464157e-10	0.1
1.131847e-08	0.5446158	0.1	1.131847e-08	0.45537395999999997	0.1	1.131847e-08	2.1413294497000002e-08	0.1	1.131847e-08	3.81314264e-06	0.1	1.131847e-08	1.49417731e-10	0.1
1.207406e-08	0.528548	0.1	1.207406e-08	0.47144150000000007	0.1	1.207406e-08	2.2188731534e-08	0.1	1.207406e-08	3.94768665e-06	0.1	1.207406e-08	1.5469041799999998e-10	0.1
1.28568e-08	0.5128728	0.1	1.28568e-08	0.48711625	0.1	1.28568e-08	2.2947982972999997e-08	0.1	1.28568e-08	4.07894194e-06	0.1	1.28568e-08	1.5983436199999998e-10	0.1
1.363954e-08	0.4981006	0.1	1.363954e-08	0.5018881000000001	0.1	1.363954e-08	2.3666254919e-08	0.1	1.363954e-08	4.20263628e-06	0.1	1.363954e-08	1.6468213799999997e-10	0.1
1.442228e-08	0.4841556	0.1	1.442228e-08	0.51583276	0.1	1.442228e-08	2.4347009907e-08	0.1	1.442228e-08	4.319404649999999e-06	0.1	1.442228e-08	1.69258446e-10	0.1
1.530256e-08	0.4693771	0.1	1.530256e-08	0.53061097	0.1	1.530256e-08	2.5071606147999997e-08	0.1	1.530256e-08	4.443151350000001e-06	0.1	1.530256e-08	1.74108505e-10	0.1
1.624787e-08	0.4544797	0.1	1.624787e-08	0.54550814	0.1	1.624787e-08	2.5805666396000002e-08	0.1	1.624787e-08	4.56789483e-06	0.1	1.624787e-08	1.78997561e-10	0.1
1.719319e-08	0.4404988	0.1	1.719319e-08	0.55948871	0.1	1.719319e-08	2.6498235199e-08	0.1	1.719319e-08	4.68496257e-06	0.1	1.719319e-08	1.83586084e-10	0.1
1.81385e-08	0.4273524	0.1	1.81385e-08	0.57263474	0.1	1.81385e-08	2.7153055398000002e-08	0.1	1.81385e-08	4.795043830000001e-06	0.1	1.81385e-08	1.8790070800000001e-10	0.1
1.916153e-08	0.4139816	0.1	1.916153e-08	0.5860052400000001	0.1	1.916153e-08	2.7822994115999996e-08	0.1	1.916153e-08	4.90700307e-06	0.1	1.916153e-08	1.92289239e-10	0.1
2.030114e-08	0.4000392	0.1	2.030114e-08	0.59994727	0.1	2.030114e-08	2.8526274067000003e-08	0.1	2.030114e-08	5.023749789999999e-06	0.1	2.030114e-08	1.9686550200000002e-10	0.1
2.144075e-08	0.3870052	0.1	2.144075e-08	0.61298103	0.1	2.144075e-08	2.9188545619e-08	0.1	2.144075e-08	5.13288894e-06	0.1	2.144075e-08	2.0114371100000002e-10	0.1
2.258036e-08	0.3747938	0.1	2.258036e-08	0.6251921699999999	0.1	2.258036e-08	2.9813731955e-08	0.1	2.258036e-08	5.23514069e-06	0.1	2.258036e-08	2.05152073e-10	0.1
2.376642e-08	0.362877	0.1	2.376642e-08	0.63710867	0.1	2.376642e-08	3.0428670240000004e-08	0.1	2.376642e-08	5.334925280000001e-06	0.1	2.376642e-08	2.09063881e-10	0.1
2.513827e-08	0.3500052	0.1	2.513827e-08	0.6499802300000002	0.1	2.513827e-08	3.1098906579999996e-08	0.1	2.513827e-08	5.442707850000001e-06	0.1	2.513827e-08	2.13289441e-10	0.1
2.651012e-08	0.3380153	0.1	2.651012e-08	0.66196992	0.1	2.651012e-08	3.172947229e-08	0.1	2.651012e-08	5.5431046799999995e-06	0.1	2.651012e-08	2.17225629e-10	0.1
2.788197e-08	0.3268196	0.1	2.788197e-08	0.6731653100000001	0.1	2.788197e-08	3.2324344900000005e-08	0.1	2.788197e-08	5.6368520599999995e-06	0.1	2.788197e-08	2.2090129999999998e-10	0.1
2.925382e-08	0.3163417	0.1	2.925382e-08	0.68364296	0.1	2.925382e-08	3.288698019e-08	0.1	2.925382e-08	5.72458739e-06	0.1	2.925382e-08	2.2434147e-10	0.1
3.090335e-08	0.3045996	0.1	3.090335e-08	0.6953847400000001	0.1	3.090335e-08	3.352507837e-08	0.1	3.090335e-08	5.82290968e-06	0.1	3.090335e-08	2.2819694e-10	0.1
3.255288e-08	0.293698	0.1	3.255288e-08	0.7062860999999999	0.1	3.255288e-08	3.412551676e-08	0.1	3.255288e-08	5.91419333e-06	0.1	3.255288e-08	2.3177680000000001e-10	0.1
3.420241e-08	0.2835498	0.1	3.420241e-08	0.71643412	0.1	3.420241e-08	3.46922471e-08	0.1	3.420241e-08	5.99916899e-06	0.1	3.420241e-08	2.3510942999999997e-10	0.1
3.585194e-08	0.2740794	0.1	3.585194e-08	0.72590429	0.1	3.585194e-08	3.522868048e-08	0.1	3.585194e-08	6.07846922e-06	0.1	3.585194e-08	2.3821972e-10	0.1
3.776744e-08	0.2638463	0.1	3.776744e-08	0.73613718	0.1	3.776744e-08	3.5817476280000004e-08	0.1	3.776744e-08	6.16415609e-06	0.1	3.776744e-08	2.4158081e-10	0.1
3.974942e-08	0.2540324	0.1	3.974942e-08	0.7459508	0.1	3.974942e-08	3.6392196790000004e-08	0.1	3.974942e-08	6.2463322000000006e-06	0.1	3.974942e-08	2.4480459e-10	0.1
4.173141e-08	0.2449225	0.1	4.173141e-08	0.75506061	0.1	4.173141e-08	3.693556913e-08	0.1	4.173141e-08	6.3226144700000004e-06	0.1	4.173141e-08	2.4779737999999997e-10	0.1
4.371339e-08	0.2364432	0.1	4.371339e-08	0.7635396699999999	0.1	4.371339e-08	3.7450910679999996e-08	0.1	4.371339e-08	6.39361425e-06	0.1	4.371339e-08	2.5058327e-10	0.1
4.593461e-08	0.2276122	0.1	4.593461e-08	0.7723704700000001	0.1	4.593461e-08	3.799862137e-08	0.1	4.593461e-08	6.46756128e-06	0.1	4.593461e-08	2.5348521e-10	0.1
4.831532e-08	0.2188512	0.1	4.831532e-08	0.7811312100000001	0.1	4.831532e-08	3.855447708e-08	0.1	4.831532e-08	6.54092116e-06	0.1	4.831532e-08	2.5636441999999997e-10	0.1
5.069603e-08	0.2107397	0.1	5.069603e-08	0.7892425599999999	0.1	5.069603e-08	3.908158736e-08	0.1	5.069603e-08	6.60884246e-06	0.1	5.069603e-08	2.5903062e-10	0.1
5.307674e-08	0.203208	0.1	5.307674e-08	0.79677422	0.1	5.307674e-08	3.958310938e-08	0.1	5.307674e-08	6.671909e-06	0.1	5.307674e-08	2.6150656e-10	0.1
5.564904e-08	0.1956528	0.1	5.564904e-08	0.80432924	0.1	5.564904e-08	4.009932543e-08	0.1	5.564904e-08	6.73517241e-06	0.1	5.564904e-08	2.6399075e-10	0.1
5.850872e-08	0.1878867	0.1	5.850872e-08	0.81209502	0.1	5.850872e-08	4.0645346469999996e-08	0.1	5.850872e-08	6.80020091e-06	0.1	5.850872e-08	2.6654478e-10	0.1
