	T[K]	T4a	T4b	T4c	T4d	T4e	T4f	T4g	T4h
600 0.41947 0.35472 0.02078 0.00182 0.00021 0.19788 0.00013 0.00005
700 0.38199 0.35327 0.02927 0.00274 0.00043 0.22699 0.00031 0.00011
800 0.35367 0.35057 0.03749 0.00377 0.00074 0.24811 0.00058 0.00021
900 0.33177 0.34762 0.04515 0.00490 0.00113 0.26332 0.00094 0.00033
1000 0.31454 0.34482 0.05213 0.00608 0.00161 0.27414 0.00139 0.00047
1100 0.30056 0.34181 0.05830 0.00731 0.00216 0.28121 0.00190 0.00063
1200 0.29032 0.33958 0.06369 0.00855 0.00278 0.28569 0.00246 0.00080
1300 0.28354 0.33782 0.06806 0.00976 0.00342 0.28728 0.00303 0.00096
1400 0.28026 0.33695 0.07114 0.01085 0.00405 0.28594 0.00357 0.00110
1500 0.27966 0.33747 0.07291 0.01177 0.00461 0.28221 0.00403 0.00122
1600 0.27951 0.33949 0.07389 0.01253 0.00509 0.27768 0.00438 0.00130
1700 0.27717 0.34239 0.07516 0.01326 0.00553 0.27435 0.00467 0.00135
1800 0.27114 0.34499 0.07771 0.01415 0.00606 0.27343 0.00501 0.00142
1900 0.26152 0.34628 0.08208 0.01533 0.00679 0.27491 0.00549 0.00152
2000 0.24943 0.34580 0.08825 0.01686 0.00781 0.27796 0.00619 0.00167
