Batch	m_SP	5	W2	W1	Pr1	Pr2	Pr3							
3.515703e-07	0.987043	0.1	3.515703e-07	0.003624092	0.1	3.515703e-07	0.004634656	0.1	3.515703e-07	2.965494e-05	0.1	3.515703e-07	2.153516e-06	0.1
7.331386e-07	0.9732369	0.1	7.331386e-07	0.007485675	0.1	7.331386e-07	0.009573029	0.1	7.331386e-07	6.125352e-05	0.1	7.331386e-07	4.447931e-06	0.1
1.355592e-06	0.9512702	0.1	1.355592e-06	0.01362976	0.1	1.355592e-06	0.01743037	0.1	1.355592e-06	0.0001115301	0.1	1.355592e-06	8.097411e-06	0.1
2.287467e-06	0.9196156	0.1	2.287467e-06	0.02248358	0.1	2.287467e-06	0.02875305	0.1	2.287467e-06	0.0001839825	0.1	2.287467e-06	1.335192e-05	0.1
3.773766e-06	0.8719839	0.1	3.773766e-06	0.03580623	0.1	3.773766e-06	0.04579069	0.1	3.773766e-06	0.0002930109	0.1	3.773766e-06	2.124045e-05	0.1
6.245292e-06	0.799773	0.1	6.245292e-06	0.05600372	0.1	6.245292e-06	0.07162018	0.1	6.245292e-06	0.0004583245	0.1	6.245292e-06	3.312425e-05	0.1
9.236638e-06	0.7224909	0.1	9.236638e-06	0.07761972	0.1	9.236638e-06	0.09926372	0.1	9.236638e-06	0.0006352983	0.1	9.236638e-06	4.566478e-05	0.1
1.332204e-05	0.6317755	0.1	1.332204e-05	0.1029933	0.1	1.332204e-05	0.1317125	0.1	1.332204e-05	0.0008431422	0.1	1.332204e-05	5.997676e-05	0.1
1.740743e-05	0.5549797	0.1	1.740743e-05	0.1244737	0.1	1.740743e-05	0.1591825	0.1	1.740743e-05	0.001019237	0.1	1.740743e-05	7.153177e-05	0.1
2.149283e-05	0.4894161	0.1	2.149283e-05	0.1428128	0.1	2.149283e-05	0.1826351	0.1	2.149283e-05	0.001169732	0.1	2.149283e-05	8.077473e-05	0.1
2.557823e-05	0.4330365	0.1	2.557823e-05	0.1585833	0.1	2.557823e-05	0.2028027	0.1	2.557823e-05	0.001299307	0.1	2.557823e-05	8.807338e-05	0.1
3.015867e-05	0.378795	0.1	3.015867e-05	0.1737562	0.1	3.015867e-05	0.2222059	0.1	3.015867e-05	0.001424158	0.1	3.015867e-05	9.432452e-05	0.1
3.506913e-05	0.3292885	0.1	3.506913e-05	0.187605	0.1	3.506913e-05	0.2399158	0.1	3.506913e-05	0.001538326	0.1	3.506913e-05	9.915519e-05	0.1
3.99796e-05	0.2871142	0.1	3.99796e-05	0.1994033	0.1	3.99796e-05	0.2550031	0.1	3.99796e-05	0.001635797	0.1	3.99796e-05	0.0001024137	0.1
4.489006e-05	0.2509853	0.1	4.489006e-05	0.2095108	0.1	4.489006e-05	0.2679281	0.1	4.489006e-05	0.001719497	0.1	4.489006e-05	0.0001044081	0.1
4.980052e-05	0.2198871	0.1	4.980052e-05	0.2182112	0.1	4.980052e-05	0.2790537	0.1	4.980052e-05	0.001791726	0.1	4.980052e-05	0.0001053923	0.1
5.471099e-05	0.1930089	0.1	5.471099e-05	0.2257314	0.1	5.471099e-05	0.2886699	0.1	5.471099e-05	0.001854326	0.1	5.471099e-05	0.0001055748	0.1
5.962145e-05	0.1696955	0.1	5.962145e-05	0.2322545	0.1	5.962145e-05	0.2970111	0.1	5.962145e-05	0.00190878	0.1	5.962145e-05	0.0001051265	0.1
6.453192e-05	0.1494118	0.1	6.453192e-05	0.2379302	0.1	6.453192e-05	0.3042685	0.1	6.453192e-05	0.001956303	0.1	6.453192e-05	0.0001041866	0.1
6.944238e-05	0.1317167	0.1	6.944238e-05	0.2428819	0.1	6.944238e-05	0.3106	0.1	6.944238e-05	0.001997895	0.1	6.944238e-05	0.0001028685	0.1
7.435285e-05	0.1162437	0.1	7.435285e-05	0.2472119	0.1	7.435285e-05	0.3161366	0.1	7.435285e-05	0.002034388	0.1	7.435285e-05	0.0001012638	0.1
7.926331e-05	0.1026862	0.1	7.926331e-05	0.2510061	0.1	7.926331e-05	0.3209879	0.1	7.926331e-05	0.002066478	0.1	7.926331e-05	9.944649e-05	0.1
8.417378e-05	0.09078574	0.1	8.417378e-05	0.2543367	0.1	8.417378e-05	0.3252465	0.1	8.417378e-05	0.002094753	0.1	8.417378e-05	9.747617e-05	0.1
8.908424e-05	0.08032341	0.1	8.908424e-05	0.257265	0.1	8.908424e-05	0.3289907	0.1	8.908424e-05	0.002119712	0.1	8.908424e-05	9.540053e-05	0.1
9.399471e-05	0.07111272	0.1	9.399471e-05	0.2598431	0.1	9.399471e-05	0.3322871	0.1	9.399471e-05	0.002141778	0.1	9.399471e-05	9.325766e-05	0.1
9.890517e-05	0.06299405	0.1	9.890517e-05	0.2621157	0.1	9.890517e-05	0.3351927	0.1	9.890517e-05	0.002161318	0.1	9.890517e-05	9.107781e-05	0.1
0.0001038156	0.05583029	0.1	0.0001038156	0.2641211	0.1	0.0001038156	0.3377568	0.1	0.0001038156	0.002178643	0.1	0.0001038156	8.888492e-05	0.1
0.0001087261	0.04950313	0.1	0.0001087261	0.2658923	0.1	0.0001087261	0.3400215	0.1	0.0001087261	0.002194025	0.1	0.0001087261	8.669777e-05	0.1
0.0001136366	0.04391022	0.1	0.0001136366	0.2674582	0.1	0.0001136366	0.3420236	0.1	0.0001136366	0.002207698	0.1	0.0001136366	8.453099e-05	0.1
0.000118547	0.03896269	0.1	0.000118547	0.2688434	0.1	0.000118547	0.3437947	0.1	0.000118547	0.002219866	0.1	0.000118547	8.239587e-05	0.1
0.0001234575	0.03458323	0.1	0.0001234575	0.2700696	0.1	0.0001234575	0.3453626	0.1	0.0001234575	0.002230707	0.1	0.0001234575	8.030098e-05	0.1
0.000128368	0.03070436	0.1	0.000128368	0.2711557	0.1	0.000128368	0.3467513	0.1	0.000128368	0.002240376	0.1	0.000128368	7.825272e-05	0.1
0.0001332784	0.02726712	0.1	0.0001332784	0.2721183	0.1	0.0001332784	0.347982	0.1	0.0001332784	0.00224901	0.1	0.0001332784	7.625572e-05	0.1
0.0001381889	0.02421983	0.1	0.0001381889	0.2729716	0.1	0.0001381889	0.3490732	0.1	0.0001381889	0.002256727	0.1	0.0001381889	7.431321e-05	0.1
0.0001430994	0.02151718	0.1	0.0001430994	0.2737285	0.1	0.0001430994	0.3500411	0.1	0.0001430994	0.002263632	0.1	0.0001430994	7.24273e-05	0.1
0.0001480098	0.01911932	0.1	0.0001480098	0.2744001	0.1	0.0001480098	0.3508999	0.1	0.0001480098	0.002269817	0.1	0.0001480098	7.05992e-05	0.1
0.0001529203	0.01699123	0.1	0.0001529203	0.2749962	0.1	0.0001529203	0.3516621	0.1	0.0001529203	0.002275365	0.1	0.0001529203	6.882938e-05	0.1
0.0001578307	0.01510201	0.1	0.0001578307	0.2755254	0.1	0.0001578307	0.3523389	0.1	0.0001578307	0.002280345	0.1	0.0001578307	6.711778e-05	0.1
0.0001627412	0.01342444	0.1	0.0001627412	0.2759953	0.1	0.0001627412	0.3529399	0.1	0.0001627412	0.002284822	0.1	0.0001627412	6.546387e-05	0.1
