	T[K]	W1	W2
300 0.99991 0.00009
400 0.99990 0.00010
500 0.99996 0.00004
600 0.99989 0.00011
700 0.99989 0.00011
800 0.99990 0.00010
900 0.99992 0.00008
1000 0.99991 0.00009
1100 0.99985 0.00015
1200 0.99986 0.00014
1300 0.99981 0.00019
1400 0.99978 0.00022
1500 0.99968 0.00032
1600 0.99938 0.00062
1700 0.99906 0.00094
1800 0.99859 0.00141
1900 0.99787 0.00213
2000 1.00000 0.00000
2100 1.00000 0.00000
2200 1.00000 0.00000
2300 1.00000 0.00000
2400 1.00000 0.00000
2500 1.00000 0.00000
