	T[K]	W1	W2
300 0.99999 0.00001
400 0.99990 0.00010
500 0.99992 0.00008
600 0.99999 0.00001
700 0.99994 0.00006
800 0.99995 0.00005
900 0.99996 0.00004
1000 0.99984 0.00016
1100 0.99988 0.00012
1200 0.99985 0.00015
1300 0.99990 0.00010
1400 0.99975 0.00025
1500 0.99967 0.00033
1600 0.99939 0.00061
1700 0.99899 0.00101
1800 0.99853 0.00147
1900 0.99782 0.00218
2000 0.99698 0.00302
2100 0.99580 0.00420
2200 1.00000 0.00000
2300 1.00000 0.00000
2400 1.00000 0.00000
2500 1.00000 0.00000
