Batch	m_SP	2	Pr2	Pr1	
2.003000000000e-01	9.999900000000e-06	1.000000000000e-01	2.003000000000e-01	3.898799000000e-18	1.000000000000e-01
2.874399000000e+02	9.999900000000e-06	1.000000000000e-01	2.874399000000e+02	1.119514000000e-13	1.000000000000e-01
1.941509000000e+03	9.999899000010e-06	1.000000000000e-01	1.941509000000e+03	1.048422000000e-12	1.000000000000e-01
5.473217000000e+04	9.999869000310e-06	1.000000000000e-01	5.473217000000e+04	3.090741000000e-11	1.000000000000e-01
8.374734000000e+04	9.999852000480e-06	1.000000000000e-01	8.374734000000e+04	4.734845000000e-11	1.000000000000e-01
1.611211000000e+05	9.999808000920e-06	1.000000000000e-01	1.611211000000e+05	9.129812000000e-11	1.000000000000e-01
4.319294000000e+05	9.999654002460e-06	1.000000000000e-01	4.319294000000e+05	2.451484000000e-10	1.000000000000e-01
1.128294000000e+06	9.999259006410e-06	1.000000000000e-01	1.128294000000e+06	6.407529000000e-10	1.000000000000e-01
2.985265000000e+06	9.998204016960e-06	1.000000000000e-01	2.985265000000e+06	1.695619000000e-09	1.000000000000e-01
7.318197000000e+06	9.995743041570e-06	1.000000000000e-01	7.318197000000e+06	4.156494000000e-09	1.000000000000e-01
1.598406000000e+07	9.990824090760e-06	1.000000000000e-01	1.598406000000e+07	9.075972000000e-09	1.000000000000e-01
3.331579000000e+07	9.980996189040e-06	1.000000000000e-01	3.331579000000e+07	1.890375000000e-08	1.000000000000e-01
6.797925000000e+07	9.961402384980e-06	1.000000000000e-01	6.797925000000e+07	3.849800000000e-08	1.000000000000e-01
1.303178000000e+08	9.926471741623e-06	1.000000000000e-01	1.303178000000e+08	7.342733000000e-08	1.000000000000e-01
2.289701000000e+08	9.872450287245e-06	1.000000000000e-01	2.289701000000e+08	1.274493000000e-07	1.000000000000e-01
3.532493000000e+08	9.807597961480e-06	1.000000000000e-01	3.532493000000e+08	1.923015000000e-07	1.000000000000e-01
4.995858000000e+08	9.737320704564e-06	1.000000000000e-01	4.995858000000e+08	2.625786000000e-07	1.000000000000e-01
6.606272000000e+08	9.669023408033e-06	1.000000000000e-01	6.606272000000e+08	3.308763000000e-07	1.000000000000e-01
8.441334000000e+08	9.603555121988e-06	1.000000000000e-01	8.441334000000e+08	3.963440000000e-07	1.000000000000e-01
1.061337000000e+09	9.542489802805e-06	1.000000000000e-01	1.061337000000e+09	4.574095000000e-07	1.000000000000e-01
1.325726000000e+09	9.488903365468e-06	1.000000000000e-01	1.325726000000e+09	5.109967000000e-07	1.000000000000e-01
1.590115000000e+09	9.452948742996e-06	1.000000000000e-01	1.590115000000e+09	5.469517000000e-07	1.000000000000e-01
1.854504000000e+09	9.429485046399e-06	1.000000000000e-01	1.854504000000e+09	5.704141000000e-07	1.000000000000e-01
2.128467000000e+09	9.414025210275e-06	1.000000000000e-01	2.128467000000e+09	5.858743000000e-07	1.000000000000e-01
2.356770000000e+09	9.405700298520e-06	1.000000000000e-01	2.356770000000e+09	5.941996000000e-07	1.000000000000e-01
2.688305000000e+09	9.398251377479e-06	1.000000000000e-01	2.688305000000e+09	6.016484000000e-07	1.000000000000e-01
2.895515000000e+09	9.395389407817e-06	1.000000000000e-01	2.895515000000e+09	6.045105000000e-07	1.000000000000e-01
3.174670000000e+09	9.392879434423e-06	1.000000000000e-01	3.174670000000e+09	6.070199000000e-07	1.000000000000e-01
3.511632000000e+09	9.391127452994e-06	1.000000000000e-01	3.511632000000e+09	6.087722000000e-07	1.000000000000e-01
3.908323000000e+09	9.390054464368e-06	1.000000000000e-01	3.908323000000e+09	6.098456000000e-07	1.000000000000e-01
4.389314000000e+09	9.389457470696e-06	1.000000000000e-01	4.389314000000e+09	6.104422000000e-07	1.000000000000e-01
