Batch	m_SP	11	W4_L	W2	W3	W6	R	P1	P2	P3	P4	P5	P6																			
1.098429e-08	0.9860195	0.1	1.098429e-08	1.086913e-108	0.1	1.098429e-08	6.797283e-06	0.1	1.098429e-08	1.086913e-108	0.1	1.098429e-08	0.0004766278	0.1	1.098429e-08	0.002753219	0.1	1.098429e-08	0.003180699	0.1	1.098429e-08	0.0004758934	0.1	1.098429e-08	4.376005e-07	0.1	1.098429e-08	9.998048e-05	0.1	1.098429e-08	4.361122e-11	0.1
1.703674e-08	0.9784413	0.1	1.703674e-08	1.676124e-108	0.1	1.703674e-08	1.048014e-05	0.1	1.703674e-08	1.676124e-108	0.1	1.703674e-08	0.0007362156	0.1	1.703674e-08	0.004252911	0.1	1.703674e-08	0.004896424	0.1	1.703674e-08	0.0007334967	0.1	1.703674e-08	6.988837e-07	0.1	1.703674e-08	0.0001543802	0.1	1.703674e-08	1.523641e-10	0.1
2.544563e-08	0.9680573	0.1	2.544563e-08	2.483577e-108	0.1	2.544563e-08	1.553147e-05	0.1	2.544563e-08	2.483577e-108	0.1	2.544563e-08	0.001094629	0.1	2.544563e-08	0.006323956	0.1	2.544563e-08	0.007228859	0.1	2.544563e-08	0.001085675	0.1	2.544563e-08	1.107984e-06	0.1	2.544563e-08	0.0002293696	0.1	2.544563e-08	4.888519e-10	0.1
3.587214e-08	0.955411	0.1	3.587214e-08	3.467153e-108	0.1	3.587214e-08	2.170143e-05	0.1	3.587214e-08	3.467153e-108	0.1	3.587214e-08	0.00153739	0.1	3.587214e-08	0.008883316	0.1	3.587214e-08	0.01002681	0.1	3.587214e-08	0.001512695	0.1	3.587214e-08	1.722347e-06	0.1	3.587214e-08	0.000321716	0.1	3.587214e-08	1.328613e-09	0.1
4.680306e-08	0.9424192	0.1	4.680306e-08	4.477935e-108	0.1	4.680306e-08	2.807491e-05	0.1	4.680306e-08	4.477935e-108	0.1	4.680306e-08	0.002002167	0.1	4.680306e-08	0.01157132	0.1	4.680306e-08	0.01283389	0.1	4.680306e-08	0.001948291	0.1	4.680306e-08	2.535922e-06	0.1	4.680306e-08	0.0004181614	0.1	4.680306e-08	2.866041e-09	0.1
5.773397e-08	0.9296931	0.1	5.773397e-08	5.468464e-108	0.1	5.773397e-08	3.436707e-05	0.1	5.773397e-08	5.468464e-108	0.1	5.773397e-08	0.002470054	0.1	5.773397e-08	0.01427892	0.1	5.773397e-08	0.0154983	0.1	5.773397e-08	0.002370859	0.1	5.773397e-08	3.563841e-06	0.1	5.773397e-08	0.0005145685	0.1	5.773397e-08	5.219001e-09	0.1
6.866489e-08	0.9172258	0.1	6.866489e-08	6.439333e-108	0.1	6.866489e-08	4.059182e-05	0.1	6.866489e-08	6.439333e-108	0.1	6.866489e-08	0.002943192	0.1	6.866489e-08	0.01701861	0.1	6.866489e-08	0.01800922	0.1	6.866489e-08	0.002779734	0.1	6.866489e-08	4.840672e-06	0.1	6.866489e-08	0.0006111755	0.1	6.866489e-08	8.499131e-09	0.1
7.95958e-08	0.9050107	0.1	7.95958e-08	7.391116e-108	0.1	7.95958e-08	4.676078e-05	0.1	7.95958e-08	7.391116e-108	0.1	7.95958e-08	0.003423307	0.1	7.95958e-08	0.01980038	0.1	7.95958e-08	0.02035878	0.1	7.95958e-08	0.003174264	0.1	7.95958e-08	6.393759e-06	0.1	7.95958e-08	0.0007081107	0.1	7.95958e-08	1.278314e-08	0.1
9.052672e-08	0.8930411	0.1	9.052672e-08	8.324363e-108	0.1	9.052672e-08	5.288331e-05	0.1	9.052672e-08	8.324363e-108	0.1	9.052672e-08	0.003911709	0.1	9.052672e-08	0.02263177	0.1	9.052672e-08	0.02254203	0.1	9.052672e-08	0.003553824	0.1	9.052672e-08	8.243264e-06	0.1	9.052672e-08	0.0008053973	0.1	9.052672e-08	1.811343e-08	0.1
1.014576e-07	0.8813105	0.1	1.014576e-07	9.239606e-108	0.1	1.014576e-07	5.896661e-05	0.1	1.014576e-07	9.239606e-108	0.1	1.014576e-07	0.004409308	0.1	1.014576e-07	0.02551794	0.1	1.014576e-07	0.0245568	0.1	1.014576e-07	0.003917833	0.1	1.014576e-07	1.040245e-05	0.1	1.014576e-07	0.0009029618	0.1	1.014576e-07	2.450007e-08	0.1
1.141471e-07	0.8679838	0.1	1.141471e-07	1.028019e-107	0.1	1.141471e-07	6.598614e-05	0.1	1.141471e-07	1.028019e-107	0.1	1.141471e-07	0.00499918	0.1	1.141471e-07	0.028941	0.1	1.141471e-07	0.02668501	0.1	1.141471e-07	0.004320218	0.1	1.141471e-07	1.330612e-05	0.1	1.141471e-07	0.00101636	0.1	1.141471e-07	3.321246e-08	0.1
1.272763e-07	0.8545147	0.1	1.272763e-07	1.133283e-107	0.1	1.272763e-07	7.320585e-05	0.1	1.272763e-07	1.133283e-107	0.1	1.272763e-07	0.005623534	0.1	1.272763e-07	0.03256595	0.1	1.272763e-07	0.02865326	0.1	1.272763e-07	0.004713037	0.1	1.272763e-07	1.676009e-05	0.1	1.272763e-07	0.001133473	0.1	1.272763e-07	4.361978e-08	0.1
1.433291e-07	0.8384719	0.1	1.433291e-07	1.258789e-107	0.1	1.433291e-07	8.197707e-05	0.1	1.433291e-07	1.258789e-107	0.1	1.433291e-07	0.006405803	0.1	1.433291e-07	0.03711031	0.1	1.433291e-07	0.03074958	0.1	1.433291e-07	0.005160077	0.1	1.433291e-07	2.159079e-05	0.1	1.433291e-07	0.001275645	0.1	1.433291e-07	5.809185e-08	0.1
1.593819e-07	0.8228797	0.1	1.593819e-07	1.380909e-107	0.1	1.593819e-07	9.068547e-05	0.1	1.593819e-07	1.380909e-107	0.1	1.593819e-07	0.007207254	0.1	1.593819e-07	0.04176948	0.1	1.593819e-07	0.03252513	0.1	1.593819e-07	0.00557006	0.1	1.593819e-07	2.705818e-05	0.1	1.593819e-07	0.00141573	0.1	1.593819e-07	7.421936e-08	0.1
1.754347e-07	0.8077198	0.1	1.754347e-07	1.499776e-107	0.1	1.754347e-07	9.932592e-05	0.1	1.754347e-07	1.499776e-107	0.1	1.754347e-07	0.008025377	0.1	1.754347e-07	0.0465302	0.1	1.754347e-07	0.03400596	0.1	1.754347e-07	0.005943009	0.1	1.754347e-07	3.311575e-05	0.1	1.754347e-07	0.001552671	0.1	1.754347e-07	9.168153e-08	0.1
1.914875e-07	0.7929746	0.1	1.914875e-07	1.615516e-107	0.1	1.914875e-07	0.0001078905	0.1	1.914875e-07	1.615516e-107	0.1	1.914875e-07	0.00885707	0.1	1.914875e-07	0.05137641	0.1	1.914875e-07	0.03522051	0.1	1.914875e-07	0.006279483	0.1	1.914875e-07	3.970832e-05	0.1	1.914875e-07	0.001685459	0.1	1.914875e-07	1.101435e-07	0.1
2.075403e-07	0.7786273	0.1	2.075403e-07	1.728248e-107	0.1	2.075403e-07	0.0001163694	0.1	2.075403e-07	1.728248e-107	0.1	2.075403e-07	0.009698872	0.1	2.075403e-07	0.05629072	0.1	2.075403e-07	0.03619796	0.1	2.075403e-07	0.006580537	0.1	2.075403e-07	4.677614e-05	0.1	2.075403e-07	0.001813194	0.1	2.075403e-07	1.292769e-07	0.1
2.235931e-07	0.7646618	0.1	2.235931e-07	1.838086e-107	0.1	2.235931e-07	0.0001247527	0.1	2.235931e-07	1.838086e-107	0.1	2.235931e-07	0.01054717	0.1	2.235931e-07	0.06125541	0.1	2.235931e-07	0.03696696	0.1	2.235931e-07	0.006847647	0.1	2.235931e-07	5.425817e-05	0.1	2.235931e-07	0.001935121	0.1	2.235931e-07	1.487743e-07	0.1
2.396459e-07	0.7510631	0.1	2.396459e-07	1.945137e-107	0.1	2.396459e-07	0.0001330299	0.1	2.396459e-07	1.945137e-107	0.1	2.396459e-07	0.01139836	0.1	2.396459e-07	0.0662533	0.1	2.396459e-07	0.03755475	0.1	2.396459e-07	0.00708262	0.1	2.396459e-07	6.209462e-05	0.1	2.396459e-07	0.00205065	0.1	2.396459e-07	1.683596e-07	0.1
2.556987e-07	0.7378167	0.1	2.556987e-07	2.049502e-107	0.1	2.556987e-07	0.0001411918	0.1	2.556987e-07	2.049502e-107	0.1	2.556987e-07	0.01224896	0.1	2.556987e-07	0.07126828	0.1	2.556987e-07	0.03798655	0.1	2.556987e-07	0.007287507	0.1	2.556987e-07	7.022864e-05	0.1	2.556987e-07	0.002159358	0.1	2.556987e-07	1.87793e-07	0.1
2.717515e-07	0.7249089	0.1	2.717515e-07	2.151278e-107	0.1	2.717515e-07	0.0001492296	0.1	2.717515e-07	2.151278e-107	0.1	2.717515e-07	0.01309567	0.1	2.717515e-07	0.07628567	0.1	2.717515e-07	0.03828528	0.1	2.717515e-07	0.007464515	0.1	2.717515e-07	7.860752e-05	0.1	2.717515e-07	0.002260983	0.1	2.717515e-07	2.068734e-07	0.1
2.878043e-07	0.7123269	0.1	2.878043e-07	2.250556e-107	0.1	2.878043e-07	0.000157136	0.1	2.878043e-07	2.250556e-107	0.1	2.878043e-07	0.01393548	0.1	2.878043e-07	0.08129237	0.1	2.878043e-07	0.03847138	0.1	2.878043e-07	0.007615921	0.1	2.878043e-07	8.718332e-05	0.1	2.878043e-07	0.002355407	0.1	2.878043e-07	2.254375e-07	0.1
3.072841e-07	0.6974789	0.1	3.072841e-07	2.367798e-107	0.1	3.072841e-07	0.0001665449	0.1	3.072841e-07	2.367798e-107	0.1	3.072841e-07	0.01494139	0.1	3.072841e-07	0.08733723	0.1	3.072841e-07	0.03857172	0.1	3.072841e-07	0.007768557	0.1	3.072841e-07	9.779304e-05	0.1	3.072841e-07	0.002460334	0.1	3.072841e-07	2.470902e-07	0.1
3.267639e-07	0.6830722	0.1	3.267639e-07	2.481638e-107	0.1	3.267639e-07	0.0001757428	0.1	3.267639e-07	2.481638e-107	0.1	3.267639e-07	0.01592882	0.1	3.267639e-07	0.09333235	0.1	3.267639e-07	0.03856032	0.1	3.267639e-07	0.00789085	0.1	3.267639e-07	0.000108563	0.1	3.267639e-07	0.002554886	0.1	3.267639e-07	2.676313e-07	0.1
3.479236e-07	0.6679006	0.1	3.479236e-07	2.601603e-107	0.1	3.479236e-07	0.0001854876	0.1	3.479236e-07	2.601603e-107	0.1	3.479236e-07	0.01697621	0.1	3.479236e-07	0.09977189	0.1	3.479236e-07	0.03844817	0.1	3.479236e-07	0.007993713	0.1	3.479236e-07	0.0001203779	0.1	3.479236e-07	0.002646287	0.1	3.479236e-07	2.885628e-07	0.1
3.71603e-07	0.6514846	0.1	3.71603e-07	2.731495e-107	0.1	3.71603e-07	0.0001960831	0.1	3.71603e-07	2.731495e-107	0.1	3.71603e-07	0.01811262	0.1	3.71603e-07	0.1068721	0.1	3.71603e-07	0.0382284	0.1	3.71603e-07	0.008077181	0.1	3.71603e-07	0.0001336717	0.1	3.71603e-07	0.002735411	0.1	3.71603e-07	3.102004e-07	0.1
3.952825e-07	0.6356335	0.1	3.952825e-07	2.856997e-107	0.1	3.952825e-07	0.0002063491	0.1	3.952825e-07	2.856997e-107	0.1	3.952825e-07	0.01920721	0.1	3.952825e-07	0.1138462	0.1	3.952825e-07	0.03793498	0.1	3.952825e-07	0.008132656	0.1	3.952825e-07	0.0001469777	0.1	3.952825e-07	0.00281167	0.1	3.952825e-07	3.299327e-07	0.1
4.18962e-07	0.6203196	0.1	4.18962e-07	2.978316e-107	0.1	4.18962e-07	0.0002162862	0.1	4.18962e-07	2.978316e-107	0.1	4.18962e-07	0.0202568	0.1	4.18962e-07	0.1206844	0.1	4.18962e-07	0.03758893	0.1	4.18962e-07	0.008165074	0.1	4.18962e-07	0.0001602439	0.1	4.18962e-07	0.002876219	0.1	4.18962e-07	3.477988e-07	0.1
4.426415e-07	0.6055169	0.1	4.426415e-07	3.095647e-107	0.1	4.426415e-07	0.0002258978	0.1	4.426415e-07	3.095647e-107	0.1	4.426415e-07	0.02125912	0.1	4.426415e-07	0.1273804	0.1	4.426415e-07	0.03720638	0.1	4.426415e-07	0.008178683	0.1	4.426415e-07	0.0001734312	0.1	4.426415e-07	0.002930227	0.1	4.426415e-07	3.638784e-07	0.1
4.66321e-07	0.5912013	0.1	4.66321e-07	3.209171e-107	0.1	4.66321e-07	0.0002351893	0.1	4.66321e-07	3.209171e-107	0.1	4.66321e-07	0.02221268	0.1	4.66321e-07	0.1339307	0.1	4.66321e-07	0.03679958	0.1	4.66321e-07	0.008177082	0.1	4.66321e-07	0.0001865101	0.1	4.66321e-07	0.002974832	0.1	4.66321e-07	3.782774e-07	0.1
