	T[K]	N1a	N1b	N1c
600 0.00001 0.95268 0.04237
700 0.00004 0.92744 0.06762
800 0.00013 0.90030 0.09471
900 0.00039 0.87294 0.12183
1000 0.00094 0.84640 0.14784
1100 0.00184 0.81876 0.17328
1200 0.00300 0.79405 0.19682
1300 0.00436 0.76973 0.21977
1400 0.00587 0.74555 0.24244
1500 0.00759 0.72138 0.26489
1600 0.00966 0.69701 0.28720
1700 0.01156 0.67280 0.30952
1800 0.01491 0.64958 0.32942
1900 0.01951 0.62638 0.34803
2000 0.02654 0.60554 0.36189
