	T[K]	T4a	T4b	T4c	T4d	T4e	T4f	T4g	T4h
700 0.02586 0.16772 0.06326 0.13993 0.48849 0.05847 0.05315 0.00079
800 0.03366 0.17413 0.07219 0.14461 0.43258 0.07177 0.06706 0.00163
900 0.04080 0.17719 0.07902 0.14663 0.38950 0.08319 0.07944 0.00284
1000 0.04705 0.17783 0.08403 0.14699 0.35546 0.09264 0.09021 0.00439
1100 0.05242 0.17694 0.08762 0.14671 0.32889 0.10037 0.09976 0.00625
1200 0.05687 0.17479 0.08994 0.14625 0.30807 0.10643 0.10835 0.00839
1300 0.06044 0.17170 0.09120 0.14587 0.29179 0.11100 0.11626 0.01077
1400 0.06328 0.16810 0.09164 0.14557 0.27889 0.11440 0.12361 0.01337
1500 0.06564 0.16456 0.09159 0.14521 0.26834 0.11708 0.13038 0.01613
1600 0.06770 0.16143 0.09129 0.14450 0.25913 0.11941 0.13641 0.01897
1700 0.06965 0.15892 0.09091 0.14340 0.25084 0.12165 0.14165 0.02184
1800 0.07141 0.15675 0.09032 0.14207 0.24357 0.12367 0.14633 0.02471
1900 0.07289 0.15460 0.08940 0.14073 0.23753 0.12529 0.15071 0.02759
2000 0.07410 0.15251 0.08827 0.13929 0.23241 0.12653 0.15473 0.03042
