Batch	m_SP	12	N7a_L	N1b	N1c	N1a	N_2	N3	N4	N5	N6	Flvln	Nphln	Azln																					
1.967268e-12	1.0	0.1	1.967268e-12	0.0	0.1	1.967268e-12	0.0	0.1	1.967268e-12	0.0	0.1	1.967268e-12	0.0	0.1	1.967268e-12	0.0	0.1	1.967268e-12	0.0	0.1	1.967268e-12	0.0	0.1	1.967268e-12	0.0	0.1	1.967268e-12	0.0	0.1	1.967268e-12	0.0	0.1	1.967268e-12	0.0	0.1
2.18441e-12	1.0	0.1	2.18441e-12	0.0	0.1	2.18441e-12	0.0	0.1	2.18441e-12	0.0	0.1	2.18441e-12	0.0	0.1	2.18441e-12	0.0	0.1	2.18441e-12	0.0	0.1	2.18441e-12	0.0	0.1	2.18441e-12	0.0	0.1	2.18441e-12	0.0	0.1	2.18441e-12	0.0	0.1	2.18441e-12	0.0	0.1
2.401552e-12	0.99999994	0.1	2.401552e-12	0.0	0.1	2.401552e-12	0.0	0.1	2.401552e-12	0.0	0.1	2.401552e-12	0.0	0.1	2.401552e-12	0.0	0.1	2.401552e-12	0.0	0.1	2.401552e-12	0.0	0.1	2.401552e-12	0.0	0.1	2.401552e-12	0.0	0.1	2.401552e-12	0.0	0.1	2.401552e-12	0.0	0.1
2.618694e-12	1.00000006	0.1	2.618694e-12	0.0	0.1	2.618694e-12	0.0	0.1	2.618694e-12	0.0	0.1	2.618694e-12	0.0	0.1	2.618694e-12	0.0	0.1	2.618694e-12	0.0	0.1	2.618694e-12	0.0	0.1	2.618694e-12	0.0	0.1	2.618694e-12	0.0	0.1	2.618694e-12	0.0	0.1	2.618694e-12	0.0	0.1
2.835836e-12	0.9999999599999999	0.1	2.835836e-12	0.0	0.1	2.835836e-12	0.0	0.1	2.835836e-12	0.0	0.1	2.835836e-12	0.0	0.1	2.835836e-12	0.0	0.1	2.835836e-12	0.0	0.1	2.835836e-12	0.0	0.1	2.835836e-12	0.0	0.1	2.835836e-12	0.0	0.1	2.835836e-12	0.0	0.1	2.835836e-12	0.0	0.1
3.052978e-12	0.9999999799999999	0.1	3.052978e-12	0.0	0.1	3.052978e-12	0.0	0.1	3.052978e-12	0.0	0.1	3.052978e-12	0.0	0.1	3.052978e-12	0.0	0.1	3.052978e-12	0.0	0.1	3.052978e-12	0.0	0.1	3.052978e-12	0.0	0.1	3.052978e-12	0.0	0.1	3.052978e-12	0.0	0.1	3.052978e-12	0.0	0.1
3.27012e-12	0.99999999	0.1	3.27012e-12	0.0	0.1	3.27012e-12	0.0	0.1	3.27012e-12	0.0	0.1	3.27012e-12	0.0	0.1	3.27012e-12	0.0	0.1	3.27012e-12	0.0	0.1	3.27012e-12	0.0	0.1	3.27012e-12	0.0	0.1	3.27012e-12	0.0	0.1	3.27012e-12	0.0	0.1	3.27012e-12	0.0	0.1
3.487262e-12	0.9999999500000001	0.1	3.487262e-12	0.0	0.1	3.487262e-12	0.0	0.1	3.487262e-12	0.0	0.1	3.487262e-12	0.0	0.1	3.487262e-12	0.0	0.1	3.487262e-12	0.0	0.1	3.487262e-12	0.0	0.1	3.487262e-12	0.0	0.1	3.487262e-12	0.0	0.1	3.487262e-12	0.0	0.1	3.487262e-12	0.0	0.1
3.704404e-12	0.9999999500000001	0.1	3.704404e-12	0.0	0.1	3.704404e-12	0.0	0.1	3.704404e-12	0.0	0.1	3.704404e-12	0.0	0.1	3.704404e-12	0.0	0.1	3.704404e-12	0.0	0.1	3.704404e-12	0.0	0.1	3.704404e-12	0.0	0.1	3.704404e-12	0.0	0.1	3.704404e-12	0.0	0.1	3.704404e-12	0.0	0.1
3.921546e-12	0.9999999799999999	0.1	3.921546e-12	0.0	0.1	3.921546e-12	0.0	0.1	3.921546e-12	0.0	0.1	3.921546e-12	0.0	0.1	3.921546e-12	0.0	0.1	3.921546e-12	0.0	0.1	3.921546e-12	0.0	0.1	3.921546e-12	0.0	0.1	3.921546e-12	0.0	0.1	3.921546e-12	0.0	0.1	3.921546e-12	0.0	0.1
