Batch	m_SP	2	P2_L	W4_L	
3.402613e-11	9.7884092701386e-06	0.1	3.402613e-11	4.942074e-118	0.1
7.184027e-11	9.5602389232101e-06	0.1	7.184027e-11	1.0356092999999999e-117	0.1
1.632252e-10	9.036652937412001e-06	0.1	1.632252e-10	2.3109723e-117	0.1
3.00313e-10	8.3189738020837e-06	0.1	3.00313e-10	4.14051e-117	0.1
3.851779e-10	7.9115311072368e-06	0.1	3.851779e-10	5.225439e-117	0.1
5.063956e-10	7.3733607824940004e-06	0.1	5.063956e-10	6.715485e-117	0.1
6.848547e-10	6.664274383995e-06	0.1	6.848547e-10	8.789394000000001e-117	0.1
8.95416e-10	5.9367292646856e-06	0.1	8.95416e-10	1.1067491999999999e-116	0.1
1.141928e-09	5.2091534982558e-06	0.1	1.141928e-09	1.3524468e-116	0.1
1.442365e-09	4.468115081665e-06	0.1	1.442365e-09	1.6246221e-116	0.1
1.742802e-09	3.8537444977974e-06	0.1	1.742802e-09	1.8704109e-116	0.1
2.043239e-09	3.3392498451312003e-06	0.1	2.043239e-09	2.0930751e-116	0.1
2.343676e-09	2.90452370901737e-06	0.1	2.343676e-09	2.295417e-116	0.1
2.644113e-09	2.5343183318938e-06	0.1	2.644113e-09	2.47986e-116	0.1
2.957371e-09	2.20442205854322e-06	0.1	2.957371e-09	2.6553861e-116	0.1
3.32191e-09	1.87935801623325e-06	0.1	3.32191e-09	2.8407791999999995e-116	0.1
3.68645e-09	1.6059081939113e-06	0.1	3.68645e-09	3.008559e-116	0.1
4.0809e-09	1.3572923232770798e-06	0.1	4.0809e-09	3.173061e-116	0.1
4.520218e-09	1.12738916849295e-06	0.1	4.520218e-09	3.3385140000000005e-116	0.1
4.959536e-09	9.3764928869306e-07	0.1	4.959536e-09	3.4881810000000003e-116	0.1
5.490817e-09	7.512146141444e-07	0.1	5.490817e-09	3.6516840000000005e-116	0.1
6.022098e-09	6.0235001086608e-07	0.1	6.022098e-09	3.799485e-116	0.1
6.663724e-09	4.6163282759584006e-07	0.1	6.663724e-09	3.961251e-116	0.1
7.305349e-09	3.5392585887915e-07	0.1	7.305349e-09	4.1085630000000004e-116	0.1
8.086382e-09	2.561866666502e-07	0.1	8.086382e-09	4.272939e-116	0.1
8.867415e-09	1.85451261933931e-07	0.1	8.867415e-09	4.42491e-116	0.1
9.745294e-09	1.28969976580164e-07	0.1	9.745294e-09	4.584792e-116	0.1
