Batch	m_SP	4	N1a_L	T1a_L	T4a_L	N7a_L					
1.532336e-11	9.7356434032376e-06	0.1	1.532336e-11	2.21819533e-07	0.1	1.532336e-11	3.1299731300000003e-12	0.1	1.532336e-11	8.730323e-18	0.1
3.278938e-11	9.443046980940521e-06	0.1	3.278938e-11	4.67506604e-07	0.1	3.278938e-11	6.600227218999999e-12	0.1	3.278938e-11	3.9063704e-17	0.1
7.324331e-11	8.798684972973257e-06	0.1	7.324331e-11	1.0085221499999998e-06	0.1	7.324331e-11	1.4256039090000001e-11	0.1	7.324331e-11	1.84832001e-16	0.1
1.460604e-10	7.74761904534716e-06	0.1	1.460604e-10	1.89084919e-06	0.1	1.460604e-10	2.679028635999999e-11	0.1	1.460604e-10	6.6877736e-16	0.1
2.37338e-10	6.605612152174814e-06	0.1	2.37338e-10	2.8492341499999998e-06	0.1	2.37338e-10	4.04917214e-11	0.1	2.37338e-10	1.57193082e-15	0.1
3.355289e-10	5.564341805740307e-06	0.1	3.355289e-10	3.7227282799999996e-06	0.1	3.355289e-10	5.308653053e-11	0.1	3.355289e-10	2.7793551e-15	0.1
4.496469e-10	4.558604393176897e-06	0.1	4.496469e-10	4.565965569999999e-06	0.1	4.496469e-10	6.538326495e-11	0.1	4.496469e-10	4.3436712000000004e-15	0.1
5.743832e-10	3.66603073173788e-06	0.1	5.743832e-10	5.31377915e-06	0.1	5.743832e-10	7.645703107e-11	0.1	5.743832e-10	6.114291e-15	0.1
6.991195e-10	2.94823709088477e-06	0.1	6.991195e-10	5.91459725e-06	0.1	6.991195e-10	8.552997918000002e-11	0.1	6.991195e-10	7.8481736e-15	0.1
8.238557e-10	2.370996063817804e-06	0.1	8.238557e-10	6.3972086e-06	0.1	8.238557e-10	9.299423654e-11	0.1	8.238557e-10	9.4836707e-15	0.1
9.536581e-10	1.889985062460684e-06	0.1	9.536581e-10	6.798781599999999e-06	0.1	9.536581e-10	9.939220745e-11	0.1	9.536581e-10	1.1045873099999999e-14	0.1
1.103725e-09	1.454172170049594e-06	0.1	1.103725e-09	7.1618942e-06	0.1	1.103725e-09	1.0541285623000001e-10	0.1	1.103725e-09	1.2655168e-14	0.1
1.253792e-09	1.118862695825904e-06	0.1	1.253792e-09	7.4405011e-06	0.1	1.253792e-09	1.1028406961999998e-10	0.1	1.253792e-09	1.40525781e-14	0.1
1.403858e-09	8.608779287265831e-07	0.1	1.403858e-09	7.6541008e-06	0.1	1.403858e-09	1.1427127401e-10	0.1	1.403858e-09	1.5250385999999998e-14	0.1
1.553925e-09	6.623851774124915e-07	0.1	1.553925e-09	7.8176937e-06	0.1	1.553925e-09	1.1757862511000003e-10	0.1	1.553925e-09	1.6267718e-14	0.1
1.728622e-09	4.8820520336245e-07	0.1	1.728622e-09	7.9603258e-06	0.1	1.728622e-09	1.2077911110000002e-10	0.1	1.728622e-09	1.7253502e-14	0.1
1.909477e-09	3.559845235681992e-07	0.1	1.909477e-09	8.0675752e-06	0.1	1.909477e-09	1.2354352225e-10	0.1	1.909477e-09	1.8083652e-14	0.1
2.090331e-09	2.5957867197957364e-07	0.1	2.090331e-09	8.1447445e-06	0.1	2.090331e-09	1.2589971551e-10	0.1	2.090331e-09	1.8754486e-14	0.1
2.27849e-09	1.8688685575671983e-07	0.1	2.27849e-09	8.2018531e-06	0.1	2.27849e-09	1.2803687518000002e-10	0.1	2.27849e-09	1.9315967e-14	0.1
2.495866e-09	1.27864765561406e-07	0.1	2.495866e-09	8.246891e-06	0.1	2.495866e-09	1.3022250371999997e-10	0.1	2.495866e-09	1.9828265e-14	0.1
