Batch	m_SP	4	N1a_L	T1a_L	T4a_L	N7a_L					
6.384057e-12	9.784639353299002e-06	0.1	6.384057e-12	2.10488588e-07	0.1	6.384057e-12	5.363491955e-14	0.1	6.384057e-12	8.1224087e-24	0.1
1.423869e-11	9.52625745004042e-06	0.1	1.423869e-11	4.63259694e-07	0.1	1.423869e-11	1.1804479302e-13	0.1	1.423869e-11	3.9589661e-23	0.1
2.956861e-11	9.041461108161179e-06	0.1	2.956861e-11	9.375279699999999e-07	0.1	2.956861e-11	2.388981038e-13	0.1	2.956861e-11	1.64085107e-22	0.1
5.680204e-11	8.24026972030942e-06	0.1	5.680204e-11	1.7213223100000002e-06	0.1	5.680204e-11	4.3863333730000003e-13	0.1	5.680204e-11	5.646534e-22	0.1
9.465392e-11	7.2432281181884285e-06	0.1	9.465392e-11	2.69671256e-06	0.1	9.465392e-11	6.872098797999998e-13	0.1	9.465392e-11	1.42469605e-21	0.1
1.477791e-10	6.043986739424658e-06	0.1	1.477791e-10	3.86991505e-06	0.1	1.477791e-10	9.862289012e-13	0.1	1.477791e-10	3.0437555e-21	0.1
2.009043e-10	5.043304461542737e-06	0.1	2.009043e-10	4.8488703000000005e-06	0.1	2.009043e-10	1.2357725352e-12	0.1	2.009043e-10	4.9457297000000006e-21	0.1
2.814818e-10	3.832540420389134e-06	0.1	2.814818e-10	6.0333467e-06	0.1	2.814818e-10	1.5377628833999999e-12	0.1	2.814818e-10	8.0325859e-21	0.1
3.620594e-10	2.9124537002468333e-06	0.1	3.620594e-10	6.9334601e-06	0.1	3.620594e-10	1.7673164836999999e-12	0.1	3.620594e-10	1.1072884299999999e-20	0.1
4.426369e-10	2.2132589442662095e-06	0.1	4.426369e-10	7.6174749e-06	0.1	4.426369e-10	1.9418198016e-12	0.1	4.426369e-10	1.38853569e-20	0.1
5.232144e-10	1.6819237424540961e-06	0.1	5.232144e-10	8.1372755e-06	0.1	5.232144e-10	2.0744868192e-12	0.1	5.232144e-10	1.63889532e-20	0.1
6.03792e-10	1.278147410900754e-06	0.1	6.03792e-10	8.5322884e-06	0.1	6.03792e-10	2.175359163e-12	0.1	6.03792e-10	1.8561224e-20	0.1
6.843695e-10	9.713070443013649e-07	0.1	6.843695e-10	8.832466899999999e-06	0.1	6.843695e-10	2.2520681862e-12	0.1	6.843695e-10	2.0412353e-20	0.1
7.649471e-10	7.381299996728139e-07	0.1	7.649471e-10	9.060580500000001e-06	0.1	7.649471e-10	2.3104136653e-12	0.1	7.649471e-10	2.1969079e-20	0.1
8.455246e-10	5.60931779249172e-07	0.1	8.455246e-10	9.2339333e-06	0.1	8.455246e-10	2.354803423e-12	0.1	8.455246e-10	2.326514e-20	0.1
9.261022e-10	4.262732271068724e-07	0.1	9.261022e-10	9.3656667e-06	0.1	9.261022e-10	2.388586914e-12	0.1	9.261022e-10	2.4335707e-20	0.1
1.02346e-09	3.0594159265498946e-07	0.1	1.02346e-09	9.4833836e-06	0.1	1.02346e-09	2.418841001e-12	0.1	1.02346e-09	2.5376057000000002e-20	0.1
1.120818e-09	2.1957876801928727e-07	0.1	1.120818e-09	9.567869199999999e-06	0.1	1.120818e-09	2.4406246181000002e-12	0.1	1.120818e-09	2.6189083e-20	0.1
1.218177e-09	1.5759532861005558e-07	0.1	1.218177e-09	9.628504700000002e-06	0.1	1.218177e-09	2.4563284352000003e-12	0.1	1.218177e-09	2.6819961999999997e-20	0.1
1.323811e-09	1.0996446967284181e-07	0.1	1.323811e-09	9.6750981e-06	0.1	1.323811e-09	2.4684730944e-12	0.1	1.323811e-09	2.7341746e-20	0.1
