Batch	m_SP	2	Pr1	W1	
1.607265000000e+10	9.893907059940e-06	1.000000000000e-01	1.607265000000e+10	8.368416000000e-08	1.000000000000e-01
1.949069000000e+10	9.871998279030e-06	1.000000000000e-01	1.949069000000e+10	1.055417000000e-07	1.000000000000e-01
2.384157000000e+10	9.844190557110e-06	1.000000000000e-01	2.384157000000e+10	1.333738000000e-07	1.000000000000e-01
2.899779000000e+10	9.811340885610e-06	1.000000000000e-01	2.899779000000e+10	1.662879000000e-07	1.000000000000e-01
3.517888000000e+10	9.772107277950e-06	1.000000000000e-01	3.517888000000e+10	2.056090000000e-07	1.000000000000e-01
4.331189000000e+10	9.720723791790e-06	1.000000000000e-01	4.331189000000e+10	2.571103000000e-07	1.000000000000e-01
5.636113000000e+10	9.638842610610e-06	1.000000000000e-01	5.636113000000e+10	3.391784000000e-07	1.000000000000e-01
7.920642000000e+10	9.497152027530e-06	1.000000000000e-01	7.920642000000e+10	4.811938000000e-07	1.000000000000e-01
1.248970000000e+11	9.219987799200e-06	1.000000000000e-01	1.248970000000e+11	7.589925000000e-07	1.000000000000e-01
2.162781000000e+11	8.689691102220e-06	1.000000000000e-01	2.162781000000e+11	1.290505000000e-06	1.000000000000e-01
3.632996000000e+11	7.899764001570e-06	1.000000000000e-01	3.632996000000e+11	2.082241000000e-06	1.000000000000e-01
5.595137000000e+11	6.956247436830e-06	1.000000000000e-01	5.595137000000e+11	3.027919000000e-06	1.000000000000e-01
8.463710000000e+11	5.775872240700e-06	1.000000000000e-01	8.463710000000e+11	4.210998000000e-06	1.000000000000e-01
1.133228000000e+12	4.795790041620e-06	1.000000000000e-01	1.133228000000e+12	5.193325000000e-06	1.000000000000e-01
1.543384000000e+12	3.676133238300e-06	1.000000000000e-01	1.543384000000e+12	6.315547000000e-06	1.000000000000e-01
1.984364000000e+12	2.762131378410e-06	1.000000000000e-01	1.984364000000e+12	7.231641000000e-06	1.000000000000e-01
2.425344000000e+12	2.075380245990e-06	1.000000000000e-01	2.425344000000e+12	7.919966000000e-06	1.000000000000e-01
2.866324000000e+12	1.559375406090e-06	1.000000000000e-01	2.866324000000e+12	8.437152000000e-06	1.000000000000e-01
3.307305000000e+12	1.171666283220e-06	1.000000000000e-01	3.307305000000e+12	8.825750000000e-06	1.000000000000e-01
3.748285000000e+12	8.803535963760e-07	1.000000000000e-01	3.748285000000e+12	9.117730000000e-06	1.000000000000e-01
4.189265000000e+12	6.614702852310e-07	1.000000000000e-01	4.189265000000e+12	9.337115000000e-06	1.000000000000e-01
4.630245000000e+12	4.970081298690e-07	1.000000000000e-01	4.630245000000e+12	9.501953000000e-06	1.000000000000e-01
5.071225000000e+12	3.734364655980e-07	1.000000000000e-01	5.071225000000e+12	9.625808000000e-06	1.000000000000e-01
5.547905000000e+12	2.741698582740e-07	1.000000000000e-01	5.547905000000e+12	9.725302000000e-06	1.000000000000e-01
6.078133000000e+12	1.944228557520e-07	1.000000000000e-01	6.078133000000e+12	9.805232000000e-06	1.000000000000e-01
6.608361000000e+12	1.378716212700e-07	1.000000000000e-01	6.608361000000e+12	9.861913000000e-06	1.000000000000e-01
