Batch	m_SP	5	N1a_L	N7a_L	Nphln	Flvln	Azln							
4.424791e-12	0.989931361	0.1	4.424791e-12	0.0060961376	0.1	4.424791e-12	2.923383e-06	0.1	4.424791e-12	0.001741318	0.1	4.424791e-12	9.115652e-08	0.1
4.844227e-12	0.988981575	0.1	4.844227e-12	0.006705004400000001	0.1	4.844227e-12	3.263828e-06	0.1	4.844227e-12	0.001905557	0.1	4.844227e-12	9.98172e-08	0.1
5.31458e-12	0.987917529	0.1	5.31458e-12	0.0073873488000000005	0.1	5.31458e-12	3.657272e-06	0.1	5.31458e-12	0.002089563	0.1	5.31458e-12	1.09521e-07	0.1
5.841623e-12	0.986726312	0.1	5.841623e-12	0.0081512853	0.1	5.841623e-12	4.112716e-06	0.1	5.841623e-12	0.002295533	0.1	5.841623e-12	1.203839e-07	0.1
6.406461e-12	0.9854511530000001	0.1	6.406461e-12	0.0089691697	0.1	6.406461e-12	4.61784e-06	0.1	6.406461e-12	0.002516024	0.1	6.406461e-12	1.320131e-07	0.1
7.090687e-12	0.9839084500000002	0.1	7.090687e-12	0.0099587154	0.1	7.090687e-12	5.253208e-06	0.1	7.090687e-12	0.002782772	0.1	7.090687e-12	1.460828e-07	0.1
7.87471e-12	0.982143328	0.1	7.87471e-12	0.0110909218	0.1	7.87471e-12	6.01273e-06	0.1	7.87471e-12	0.003087959	0.1	7.87471e-12	1.621807e-07	0.1
8.773215e-12	0.980124026	0.1	8.773215e-12	0.0123862355	0.1	8.773215e-12	6.924311e-06	0.1	8.773215e-12	0.003437096	0.1	8.773215e-12	1.805978e-07	0.1
9.863528e-12	0.9776785640000001	0.1	9.863528e-12	0.013954873400000001	0.1	9.863528e-12	8.089227e-06	0.1	9.863528e-12	0.003859885	0.1	9.863528e-12	2.029014e-07	0.1
1.127117e-11	0.97452943	0.1	1.127117e-11	0.0159748618	0.1	1.127117e-11	9.687855e-06	0.1	1.127117e-11	0.004404298	0.1	1.127117e-11	2.316229e-07	0.1
1.302246e-11	0.970624277	0.1	1.302246e-11	0.018479833299999998	0.1	1.302246e-11	1.182463e-05	0.1	1.302246e-11	0.005079376	0.1	1.302246e-11	2.672409e-07	0.1
1.517023e-11	0.965854059	0.1	1.517023e-11	0.0215395395	0.1	1.517023e-11	1.466696e-05	0.1	1.517023e-11	0.005903894	0.1	1.517023e-11	3.107479e-07	0.1
1.783517e-11	0.9599649418	0.1	1.783517e-11	0.0253170871	0.1	1.783517e-11	1.852963e-05	0.1	1.783517e-11	0.006921761	0.1	1.783517e-11	3.644637e-07	0.1
2.050011e-11	0.954108164	0.1	2.050011e-11	0.0290736938	0.1	2.050011e-11	2.275954e-05	0.1	2.050011e-11	0.007933883	0.1	2.050011e-11	4.178833e-07	0.1
2.316505e-11	0.9482839493999999	0.1	2.316505e-11	0.032809353	0.1	2.316505e-11	2.735166e-05	0.1	2.316505e-11	0.008940269	0.1	2.316505e-11	4.710069e-07	0.1
2.582999e-11	0.9424923311	0.1	2.582999e-11	0.036524099000000004	0.1	2.582999e-11	3.2301e-05	0.1	2.582999e-11	0.009940925	0.1	2.582999e-11	5.238347e-07	0.1
2.849493e-11	0.936733187	0.1	2.849493e-11	0.040217961	0.1	2.849493e-11	3.76026e-05	0.1	2.849493e-11	0.01093586	0.1	2.849493e-11	5.763668e-07	0.1
3.169843e-11	0.9298530293999999	0.1	3.169843e-11	0.044630695	0.1	3.169843e-11	4.443491e-05	0.1	3.169843e-11	0.01212431	0.1	3.169843e-11	6.391243e-07	0.1
3.490193e-11	0.9230195363	0.1	3.490193e-11	0.049013327999999995	0.1	3.490193e-11	5.176076e-05	0.1	3.490193e-11	0.01330452	0.1	3.490193e-11	7.014556e-07	0.1
3.810542e-11	0.9162329362	0.1	3.810542e-11	0.053365921999999996	0.1	3.810542e-11	5.95718e-05	0.1	3.810542e-11	0.01447653	0.1	3.810542e-11	7.633616e-07	0.1
4.130892e-11	0.9094928538	0.1	4.130892e-11	0.057688549	0.1	4.130892e-11	6.785981e-05	0.1	4.130892e-11	0.01564035	0.1	4.130892e-11	8.248431e-07	0.1
4.503075e-11	0.9017204825999999	0.1	4.503075e-11	0.062673057	0.1	4.503075e-11	7.807707e-05	0.1	4.503075e-11	0.01698222	0.1	4.503075e-11	8.957406e-07	0.1
4.888217e-11	0.8937433456000001	0.1	4.888217e-11	0.06778874200000001	0.1	4.888217e-11	8.930292e-05	0.1	4.888217e-11	0.01835926	0.1	4.888217e-11	9.685064e-07	0.1
5.273358e-11	0.8858329159999999	0.1	5.273358e-11	0.072861523	0.1	5.273358e-11	0.0001011792	0.1	5.273358e-11	0.01972458	0.1	5.273358e-11	1.040664e-06	0.1
5.674583e-11	0.8776627306	0.1	5.674583e-11	0.07810064900000001	0.1	5.674583e-11	0.0001142285	0.1	5.674583e-11	0.02113452	0.1	5.674583e-11	1.115189e-06	0.1
6.140143e-11	0.8682725929999999	0.1	6.140143e-11	0.08412195	0.1	6.140143e-11	0.0001302166	0.1	6.140143e-11	0.02275475	0.1	6.140143e-11	1.200843e-06	0.1
6.605702e-11	0.8589785376999999	0.1	6.605702e-11	0.090081341	0.1	6.605702e-11	0.0001470917	0.1	6.605702e-11	0.02435812	0.1	6.605702e-11	1.285619e-06	0.1
7.090955e-11	0.8493931189	0.1	7.090955e-11	0.09622732399999999	0.1	7.090955e-11	0.0001656002	0.1	7.090955e-11	0.02601148	0.1	7.090955e-11	1.373051e-06	0.1
7.654989e-11	0.8383811644	0.1	7.654989e-11	0.10328759900000001	0.1	7.654989e-11	0.00018826	0.1	7.654989e-11	0.02791054	0.1	7.654989e-11	1.473493e-06	0.1
8.219022e-11	0.8275076413	0.1	8.219022e-11	0.110258754	0.1	8.219022e-11	0.000212115	0.1	8.219022e-11	0.02978536	0.1	8.219022e-11	1.572669e-06	0.1
8.856241e-11	0.8153883407	0.1	8.856241e-11	0.11802813499999999	0.1	8.856241e-11	0.0002404555	0.1	8.856241e-11	0.03187454	0.1	8.856241e-11	1.683204e-06	0.1
9.54225e-11	0.8025351665	0.1	9.54225e-11	0.126267489	0.1	9.54225e-11	0.0002725555	0.1	9.54225e-11	0.03408974	0.1	9.54225e-11	1.800428e-06	0.1
1.03146e-10	0.7883022752	0.1	1.03146e-10	0.135390558	0.1	1.03146e-10	0.0003105886	0.1	1.03146e-10	0.03654212	0.1	1.03146e-10	1.930227e-06	0.1
1.114452e-10	0.7732863276999999	0.1	1.114452e-10	0.145014789	0.1	1.114452e-10	0.0003535916	0.1	1.114452e-10	0.03912876	0.1	1.114452e-10	2.06716e-06	0.1
1.211416e-10	0.75610132	0.1	1.211416e-10	0.156028253	0.1	1.211416e-10	0.0004064949	0.1	1.211416e-10	0.04208818	0.1	1.211416e-10	2.22386e-06	0.1
1.319998e-10	0.7373088135999999	0.1	1.319998e-10	0.168070479	0.1	1.319998e-10	0.0004689437	0.1	1.319998e-10	0.04532338	0.1	1.319998e-10	2.395202e-06	0.1
1.440766e-10	0.7169562998	0.1	1.440766e-10	0.181110887	0.1	1.440766e-10	0.0005421178	0.1	1.440766e-10	0.0488259	0.1	1.440766e-10	2.580747e-06	0.1
