Batch	m_SP	11	N1a_L	N3	N4	N5	N6	N7a	N7c	N7b	Flvln	Nphln	Azln																			
3.563882e-11	0.9563998002	0.1	3.563882e-11	0.0002384212	0.1	3.563882e-11	1.44583e-06	0.1	3.563882e-11	0.0005611167	0.1	3.563882e-11	3.994992e-06	0.1	3.563882e-11	0.00601981	0.1	3.563882e-11	0.02418609	0.1	3.563882e-11	0.004023874	0.1	3.563882e-11	0.004256404	0.1	3.563882e-11	2.595921e-05	0.1	3.563882e-11	3.552945e-07	0.1
3.813679e-11	0.9534624324000001	0.1	3.813679e-11	0.0002372807	0.1	3.813679e-11	1.438913e-06	0.1	3.813679e-11	0.0005978835	0.1	3.813679e-11	3.975935e-06	0.1	3.813679e-11	0.006021575	0.1	3.813679e-11	0.02597093	0.1	3.813679e-11	0.004559851	0.1	3.813679e-11	0.004543081	0.1	3.813679e-11	2.887121e-05	0.1	3.813679e-11	3.869414e-07	0.1
4.081771e-11	0.9503262561	0.1	4.081771e-11	0.0002360672	0.1	4.081771e-11	1.431551e-06	0.1	4.081771e-11	0.0006369542	0.1	4.081771e-11	3.955667e-06	0.1	4.081771e-11	0.006015306	0.1	4.081771e-11	0.02784706	0.1	4.081771e-11	0.005169565	0.1	4.081771e-11	0.004849135	0.1	4.081771e-11	3.213995e-05	0.1	4.081771e-11	4.217779e-07	0.1
4.349863e-11	0.9472070427	0.1	4.349863e-11	0.0002348644	0.1	4.349863e-11	1.424254e-06	0.1	4.349863e-11	0.0006756264	0.1	4.349863e-11	3.935587e-06	0.1	4.349863e-11	0.006002793	0.1	4.349863e-11	0.02968113	0.1	4.349863e-11	0.005814152	0.1	4.349863e-11	0.005153526	0.1	4.349863e-11	3.555538e-05	0.1	4.349863e-11	4.575112e-07	0.1
4.617954e-11	0.9441043986000002	0.1	4.617954e-11	0.0002336723	0.1	4.617954e-11	1.417021e-06	0.1	4.617954e-11	0.0007139039	0.1	4.617954e-11	3.915692e-06	0.1	4.617954e-11	0.005985719	0.1	4.617954e-11	0.03147244	0.1	4.617954e-11	0.00649276	0.1	4.617954e-11	0.005456271	0.1	4.617954e-11	3.911575e-05	0.1	4.617954e-11	4.941368e-07	0.1
4.930531e-11	0.9405079010999999	0.1	4.930531e-11	0.0002322958	0.1	4.930531e-11	1.408669e-06	0.1	4.930531e-11	0.0007580397	0.1	4.930531e-11	3.892726e-06	0.1	4.930531e-11	0.005961695	0.1	4.930531e-11	0.03350663	0.1	4.930531e-11	0.007325792	0.1	4.930531e-11	0.00580719	0.1	4.930531e-11	4.344762e-05	0.1	4.930531e-11	5.379607e-07	0.1
5.254228e-11	0.9368068692	0.1	5.254228e-11	0.0002308853	0.1	5.254228e-11	1.400109e-06	0.1	5.254228e-11	0.0008031923	0.1	5.254228e-11	3.869198e-06	0.1	5.254228e-11	0.005933581	0.1	5.254228e-11	0.03555166	0.1	5.254228e-11	0.008234558	0.1	5.254228e-11	0.006168279	0.1	5.254228e-11	4.813608e-05	0.1	5.254228e-11	5.846108e-07	0.1
5.577925e-11	0.9331294166999999	0.1	5.577925e-11	0.0002294897	0.1	5.577925e-11	1.39164e-06	0.1	5.577925e-11	0.0008477883	0.1	5.577925e-11	3.845926e-06	0.1	5.577925e-11	0.005903275	0.1	5.577925e-11	0.03753465	0.1	5.577925e-11	0.009188769	0.1	5.577925e-11	0.006527038	0.1	5.577925e-11	5.302779e-05	0.1	5.577925e-11	6.325447e-07	0.1
5.941954e-11	0.929021555	0.1	5.941954e-11	0.0002279378	0.1	5.941954e-11	1.382223e-06	0.1	5.941954e-11	0.0008972842	0.1	5.941954e-11	3.820051e-06	0.1	5.941954e-11	0.005867531	0.1	5.941954e-11	0.03969168	0.1	5.941954e-11	0.01031437	0.1	5.941954e-11	0.006927742	0.1	5.941954e-11	5.876846e-05	0.1	5.941954e-11	6.87979e-07	0.1
6.332871e-11	0.9246428195	0.1	6.332871e-11	0.0002262915	0.1	6.332871e-11	1.372232e-06	0.1	6.332871e-11	0.0009496718	0.1	6.332871e-11	3.792608e-06	0.1	6.332871e-11	0.005828	0.1	6.332871e-11	0.04192368	0.1	6.332871e-11	0.01158277	0.1	6.332871e-11	0.007354831	0.1	6.332871e-11	6.52113e-05	0.1	6.332871e-11	7.493026e-07	0.1
6.723788e-11	0.920297281	0.1	6.723788e-11	0.0002246658	0.1	6.723788e-11	1.362367e-06	0.1	6.723788e-11	0.001001279	0.1	6.723788e-11	3.765512e-06	0.1	6.723788e-11	0.005787873	0.1	6.723788e-11	0.04407043	0.1	6.723788e-11	0.01291059	0.1	6.723788e-11	0.007778636	0.1	6.723788e-11	7.193778e-05	0.1	6.723788e-11	8.124778e-07	0.1
7.182108e-11	0.9152440863	0.1	7.182108e-11	0.0002227853	0.1	7.182108e-11	1.350956e-06	0.1	7.182108e-11	0.001060805	0.1	7.182108e-11	3.734175e-06	0.1	7.182108e-11	0.005740584	0.1	7.182108e-11	0.04648189	0.1	7.182108e-11	0.01453985	0.1	7.182108e-11	0.008271383	0.1	7.182108e-11	8.017928e-05	0.1	7.182108e-11	8.88895e-07	0.1
7.657278e-11	0.9100519421	0.1	7.657278e-11	0.000220864	0.1	7.657278e-11	1.339297e-06	0.1	7.657278e-11	0.001121421	0.1	7.657278e-11	3.702163e-06	0.1	7.657278e-11	0.005691665	0.1	7.657278e-11	0.04886575	0.1	7.657278e-11	0.01630788	0.1	7.657278e-11	0.008777602	0.1	7.657278e-11	8.91215e-05	0.1	7.657278e-11	9.70788e-07	0.1
8.191658e-11	0.9042690483	0.1	8.191658e-11	0.0002187369	0.1	8.191658e-11	1.32639e-06	0.1	8.191658e-11	0.001188278	0.1	8.191658e-11	3.666726e-06	0.1	8.191658e-11	0.005637083	0.1	8.191658e-11	0.05141055	0.1	8.191658e-11	0.0183873	0.1	8.191658e-11	0.009341335	0.1	8.191658e-11	9.965229e-05	0.1	8.191658e-11	1.066114e-06	0.1
8.765513e-11	0.8981238152	0.1	8.765513e-11	0.0002164911	0.1	8.765513e-11	1.312764e-06	0.1	8.765513e-11	0.001258555	0.1	8.765513e-11	3.629317e-06	0.1	8.765513e-11	0.005579185	0.1	8.765513e-11	0.05398947	0.1	8.765513e-11	0.02072174	0.1	8.765513e-11	0.009940253	0.1	8.765513e-11	0.0001115084	0.1	8.765513e-11	1.172269e-06	0.1
9.417045e-11	0.8912268993000001	0.1	9.417045e-11	0.000213988	0.1	9.417045e-11	1.297577e-06	0.1	9.417045e-11	0.001336476	0.1	9.417045e-11	3.587629e-06	0.1	9.417045e-11	0.005514486	0.1	9.417045e-11	0.05673329	0.1	9.417045e-11	0.02349158	0.1	9.417045e-11	0.01061227	0.1	9.417045e-11	0.0001256405	0.1	9.417045e-11	1.297521e-06	0.1
1.012036e-10	0.8838754781	0.1	1.012036e-10	0.0002113399	0.1	1.012036e-10	1.28151e-06	0.1	1.012036e-10	0.00141841	0.1	1.012036e-10	3.54353e-06	0.1	1.012036e-10	0.00544595	0.1	1.012036e-10	0.05948664	0.1	1.012036e-10	0.02661429	0.1	1.012036e-10	0.01132837	0.1	1.012036e-10	0.0001416764	0.1	1.012036e-10	1.438337e-06	0.1
1.095547e-10	0.8752704459	0.1	1.095547e-10	0.0002082657	0.1	1.095547e-10	1.262858e-06	0.1	1.095547e-10	0.001512832	0.1	1.095547e-10	3.492341e-06	0.1	1.095547e-10	0.005366345	0.1	1.095547e-10	0.06249114	0.1	1.095547e-10	0.03048684	0.1	1.095547e-10	0.01216633	0.1	1.095547e-10	0.000161739	0.1	1.095547e-10	1.613047e-06	0.1
1.19035e-10	0.8656605477	0.1	1.19035e-10	0.0002048642	0.1	1.19035e-10	1.242223e-06	0.1	1.19035e-10	0.001616357	0.1	1.19035e-10	3.43571e-06	0.1	1.19035e-10	0.005278263	0.1	1.19035e-10	0.06557662	0.1	1.19035e-10	0.03507993	0.1	1.19035e-10	0.01310175	0.1	1.19035e-10	0.0001858147	0.1	1.19035e-10	1.821176e-06	0.1
1.297149e-10	0.8550311959	0.1	1.297149e-10	0.0002011401	0.1	1.297149e-10	1.21963e-06	0.1	1.297149e-10	0.001728464	0.1	1.297149e-10	3.373713e-06	0.1	1.297149e-10	0.005181846	0.1	1.297149e-10	0.06866975	0.1	1.297149e-10	0.04047805	0.1	1.297149e-10	0.01413589	0.1	1.297149e-10	0.0002145301	0.1	1.297149e-10	2.067995e-06	0.1
1.432949e-10	0.8418067373	0.1	1.432949e-10	0.0001965615	0.1	1.432949e-10	1.191855e-06	0.1	1.432949e-10	0.001864359	0.1	1.432949e-10	3.297498e-06	0.1	1.432949e-10	0.005063342	0.1	1.432949e-10	0.07206961	0.1	1.432949e-10	0.04763997	0.1	1.432949e-10	0.01542168	0.1	1.432949e-10	0.0002533717	0.1	1.432949e-10	2.400511e-06	0.1
1.587834e-10	0.827107523	0.1	1.587834e-10	0.0001915419	0.1	1.587834e-10	1.161406e-06	0.1	1.587834e-10	0.002010653	0.1	1.587834e-10	3.213947e-06	0.1	1.587834e-10	0.004933471	0.1	1.587834e-10	0.07529533	0.1	1.587834e-10	0.05615084	0.1	1.587834e-10	0.01684968	0.1	1.587834e-10	0.0003006847	0.1	1.587834e-10	2.8049e-06	0.1
1.755442e-10	0.8116422148	0.1	1.755442e-10	0.0001863383	0.1	1.755442e-10	1.129842e-06	0.1	1.755442e-10	0.002159043	0.1	1.755442e-10	3.127337e-06	0.1	1.755442e-10	0.004798886	0.1	1.755442e-10	0.07809838	0.1	1.755442e-10	0.06569267	0.1	1.755442e-10	0.01835059	0.1	1.755442e-10	0.0003552788	0.1	1.755442e-10	3.272166e-06	0.1
1.92305e-10	0.7966159595	0.1	1.92305e-10	0.0001813576	0.1	1.92305e-10	1.099631e-06	0.1	1.92305e-10	0.002297663	0.1	1.92305e-10	3.044433e-06	0.1	1.92305e-10	0.004670102	0.1	1.92305e-10	0.08028003	0.1	1.92305e-10	0.07550248	0.1	1.92305e-10	0.01980725	0.1	1.92305e-10	0.0004131671	0.1	1.92305e-10	3.769669e-06	0.1
2.090657e-10	0.7820094277	0.1	2.090657e-10	0.0001765861	0.1	2.090657e-10	1.070689e-06	0.1	2.090657e-10	0.00242704	0.1	2.090657e-10	2.965009e-06	0.1	2.090657e-10	0.004546761	0.1	2.090657e-10	0.08192441	0.1	2.090657e-10	0.08551194	0.1	2.090657e-10	0.02122147	0.1	2.090657e-10	0.0004741223	0.1	2.090657e-10	4.296799e-06	0.1
2.265088e-10	0.7672350231	0.1	2.265088e-10	0.0001718295	0.1	2.265088e-10	1.041839e-06	0.1	2.265088e-10	0.0025524	0.1	2.265088e-10	2.885828e-06	0.1	2.265088e-10	0.004423832	0.1	2.265088e-10	0.08314435	0.1	2.265088e-10	0.09607756	0.1	2.265088e-10	0.02265005	0.1	2.265088e-10	0.0005405847	0.1	2.265088e-10	4.876187e-06	0.1
2.466808e-10	0.7506671375	0.1	2.466808e-10	0.0001665785	0.1	2.466808e-10	1.00999e-06	0.1	2.466808e-10	0.002686247	0.1	2.466808e-10	2.798407e-06	0.1	2.466808e-10	0.004288154	0.1	2.466808e-10	0.08402355	0.1	2.466808e-10	0.1084123	0.1	2.466808e-10	0.02424951	0.1	2.466808e-10	0.0006209989	0.1	2.466808e-10	5.584504e-06	0.1
2.668529e-10	0.7346286843	0.1	2.668529e-10	0.0001615786	0.1	2.668529e-10	9.796656e-07	0.1	2.668529e-10	0.002808885	0.1	2.668529e-10	2.715155e-06	0.1	2.668529e-10	0.00415899	0.1	2.668529e-10	0.08442428	0.1	2.668529e-10	0.1208014	0.1	2.668529e-10	0.02579506	0.1	2.668529e-10	0.0007049088	0.1	2.668529e-10	6.332875e-06	0.1
2.870249e-10	0.719093623	0.1	2.870249e-10	0.0001568137	0.1	2.870249e-10	9.507664e-07	0.1	2.870249e-10	0.002921026	0.1	2.870249e-10	2.635804e-06	0.1	2.870249e-10	0.004035919	0.1	2.870249e-10	0.08442874	0.1	2.870249e-10	0.1331837	0.1	2.870249e-10	0.02728917	0.1	2.870249e-10	0.0007920051	0.1	2.870249e-10	7.120259e-06	0.1
3.071969e-10	0.7040381169000001	0.1	3.071969e-10	0.000152269	0.1	3.071969e-10	9.232034e-07	0.1	3.071969e-10	0.003023336	0.1	3.071969e-10	2.560107e-06	0.1	3.071969e-10	0.003918558	0.1	3.071969e-10	0.08410682	0.1	3.071969e-10	0.1455092	0.1	3.071969e-10	0.02873414	0.1	3.071969e-10	0.0008819987	0.1	3.071969e-10	7.945632e-06	0.1
3.27369e-10	0.6894398317000001	0.1	3.27369e-10	0.000147931	0.1	3.27369e-10	8.968943e-07	0.1	3.27369e-10	0.003116435	0.1	3.27369e-10	2.487839e-06	0.1	3.27369e-10	0.003806552	0.1	3.27369e-10	0.08351786	0.1	3.27369e-10	0.1577369	0.1	3.27369e-10	0.03013215	0.1	3.27369e-10	0.0009746194	0.1	3.27369e-10	8.80799e-06	0.1
3.507823e-10	0.6730410612	0.1	3.507823e-10	0.0001431386	0.1	3.507823e-10	8.678297e-07	0.1	3.507823e-10	0.003213711	0.1	3.507823e-10	2.407984e-06	0.1	3.507823e-10	0.003682836	0.1	3.507823e-10	0.08256551	0.1	3.507823e-10	0.1717634	0.1	3.507823e-10	0.03169859	0.1	3.507823e-10	0.001085084	0.1	3.507823e-10	9.853995e-06	0.1
3.750058e-10	0.6566601985	0.1	3.750058e-10	0.0001384364	0.1	3.750058e-10	8.393127e-07	0.1	3.750058e-10	0.003303019	0.1	3.750058e-10	2.329613e-06	0.1	3.750058e-10	0.003561472	0.1	3.750058e-10	0.08134261	0.1	3.750058e-10	0.186047	0.1	3.750058e-10	0.03325872	0.1	3.750058e-10	0.001202348	0.1	3.750058e-10	1.098566e-05	0.1
3.992294e-10	0.6408434275999999	0.1	3.992294e-10	0.0001339765	0.1	3.992294e-10	8.122654e-07	0.1	3.992294e-10	0.00338166	0.1	3.992294e-10	2.255261e-06	0.1	3.992294e-10	0.003446383	0.1	3.992294e-10	0.0799371	0.1	3.992294e-10	0.2000648	0.1	3.992294e-10	0.03476034	0.1	3.992294e-10	0.00132227	0.1	3.992294e-10	1.216605e-05	0.1
4.23453e-10	0.6255612962999999	0.1	4.23453e-10	0.000129742	0.1	4.23453e-10	7.865859e-07	0.1	4.23453e-10	0.003450437	0.1	4.23453e-10	2.184647e-06	0.1	4.23453e-10	0.003337133	0.1	4.23453e-10	0.07839768	0.1	4.23453e-10	0.2137923	0.1	4.23453e-10	0.03620631	0.1	4.23453e-10	0.001444501	0.1	4.23453e-10	1.339361e-05	0.1
4.476766e-10	0.6107864359999999	0.1	4.476766e-10	0.0001257176	0.1	4.476766e-10	7.621803e-07	0.1	4.476766e-10	0.003510095	0.1	4.476766e-10	2.117517e-06	0.1	4.476766e-10	0.003233321	0.1	4.476766e-10	0.07676387	0.1	4.476766e-10	0.2272123	0.1	4.476766e-10	0.0375993	0.1	4.476766e-10	0.001568724	0.1	4.476766e-10	1.466684e-05	0.1
4.719002e-10	0.596493351	0.1	4.719002e-10	0.0001218888	0.1	4.719002e-10	7.389622e-07	0.1	4.719002e-10	0.003561324	0.1	4.719002e-10	2.053633e-06	0.1	4.719002e-10	0.003134577	0.1	4.719002e-10	0.0750676	0.1	4.719002e-10	0.2403136	0.1	4.719002e-10	0.0389418	0.1	4.719002e-10	0.001694643	0.1	4.719002e-10	1.598429e-05	0.1
4.990633e-10	0.5810096381	0.1	4.990633e-10	0.0001178122	0.1	4.990633e-10	7.14241e-07	0.1	4.990633e-10	0.003609532	0.1	4.990633e-10	1.985591e-06	0.1	4.990633e-10	0.003029461	0.1	4.990633e-10	0.07312276	0.1	4.990633e-10	0.2546179	0.1	4.990633e-10	0.04039004	0.1	4.990633e-10	0.001837526	0.1	4.990633e-10	1.751251e-05	0.1
5.28186e-10	0.5650134685	0.1	5.28186e-10	0.0001136773	0.1	5.28186e-10	6.891672e-07	0.1	5.28186e-10	0.003651278	0.1	5.28186e-10	1.916552e-06	0.1	5.28186e-10	0.002922867	0.1	5.28186e-10	0.07101837	0.1	5.28186e-10	0.2694967	0.1	5.28186e-10	0.04187896	0.1	5.28186e-10	0.001992309	0.1	5.28186e-10	1.920868e-05	0.1
5.573087e-10	0.5496085714000001	0.1	5.573087e-10	0.0001097679	0.1	5.573087e-10	6.654616e-07	0.1	5.573087e-10	0.003683655	0.1	5.573087e-10	1.851254e-06	0.1	5.573087e-10	0.002822111	0.1	5.573087e-10	0.06892019	0.1	5.573087e-10	0.283904	0.1	5.573087e-10	0.04330527	0.1	5.573087e-10	0.002148356	0.1	5.573087e-10	2.09624e-05	0.1
