Batch	m_SP	7	W4_L	W3	R	P1	P2_L	P3	P4											
5.136308	0.98902736	0.1	5.136308	7.547521e-07	0.1	5.136308	4.67217e-08	0.1	5.136308	0.004714629	0.1	5.136308	1.5577349090000001e-07	0.1	5.136308	3.920996e-09	0.1	5.136308	5.392374e-13	0.1
5.817504	0.987709313	0.1	5.817504	8.521119e-07	0.1	5.817504	4.667508e-08	0.1	5.817504	0.005374192	0.1	5.817504	1.5561806110000002e-07	0.1	5.817504	3.917084e-09	0.1	5.817504	6.126103e-13	0.1
6.660977	0.9860809079999999	0.1	6.660977	9.71765e-07	0.1	6.660977	4.661748e-08	0.1	6.660977	0.006189058	0.1	6.660977	1.554260358e-07	0.1	6.660977	3.91225e-09	0.1	6.660977	7.039718e-13	0.1
7.713394	0.9840547759999999	0.1	7.713394	1.119673e-06	0.1	7.713394	4.654581e-08	0.1	7.713394	0.007202966	0.1	7.713394	1.551870598e-07	0.1	7.713394	3.906234e-09	0.1	7.713394	8.187052e-13	0.1
9.168848	0.981263051	0.1	9.168848	1.321713e-06	0.1	9.168848	4.644702e-08	0.1	9.168848	0.008600038	0.1	9.168848	1.5485770129999998e-07	0.1	9.168848	3.897944e-09	0.1	9.168848	9.786094e-13	0.1
11.78866	0.976267645	0.1	11.78866	1.678152e-06	0.1	11.78866	4.62702e-08	0.1	11.78866	0.01109988	0.1	11.78866	1.542681537e-07	0.1	11.78866	3.883104e-09	0.1	11.78866	1.269489e-12	0.1
16.44612	0.9674802659999999	0.1	16.44612	2.289434e-06	0.1	16.44612	4.595896e-08	0.1	16.44612	0.01549737	0.1	16.44612	1.532304134e-07	0.1	16.44612	3.856985e-09	0.1	16.44612	1.793272e-12	0.1
24.66674	0.9522552710000001	0.1	24.66674	3.301543e-06	0.1	24.66674	4.541913e-08	0.1	24.66674	0.02311642	0.1	24.66674	1.514306038e-07	0.1	24.66674	3.81168e-09	0.1	24.66674	2.7218e-12	0.1
34.48658	0.934530916	0.1	34.48658	4.405857e-06	0.1	34.48658	4.478972e-08	0.1	34.48658	0.03198618	0.1	34.48658	1.4933209969999998e-07	0.1	34.48658	3.758859e-09	0.1	34.48658	3.798812e-12	0.1
48.23435	0.9105272889999999	0.1	48.23435	5.777351e-06	0.1	48.23435	4.39356e-08	0.1	48.23435	0.04399839	0.1	48.23435	1.4648439549999998e-07	0.1	48.23435	3.687179e-09	0.1	48.23435	5.166553e-12	0.1
68.70639	0.876435329	0.1	68.70639	7.487485e-06	0.1	68.70639	4.271887e-08	0.1	68.70639	0.06105928	0.1	68.70639	1.424277366e-07	0.1	68.70639	3.585068e-09	0.1	68.70639	6.767908e-12	0.1
92.50793	0.839102644	0.1	92.50793	9.053418e-06	0.1	92.50793	4.138121e-08	0.1	92.50793	0.079742	0.1	92.50793	1.3796782490000001e-07	0.1	92.50793	3.472808e-09	0.1	92.50793	7.966302e-12	0.1
129.2026	0.78592877	0.1	129.2026	1.076356e-05	0.1	129.2026	3.946532e-08	0.1	129.2026	0.1063525	0.1	129.2026	1.315801201e-07	0.1	129.2026	3.312021e-09	0.1	129.2026	8.846673e-12	0.1
165.8973	0.7374756339999999	0.1	165.8973	1.182998e-05	0.1	165.8973	3.770721e-08	0.1	165.8973	0.1306007	0.1	165.8973	1.2571842400000002e-07	0.1	165.8973	3.164477e-09	0.1	165.8973	9.134012e-12	0.1
