Batch	m_SP	4	W1	Pr1	Pr2	Pr3					
0.5648255	0.9882435	0.1	0.5648255	0.00259716	0.1	0.5648255	0.003279033	0.1	0.5648255	1.482804e-06	0.1
0.6849647	0.9857697	0.1	0.6849647	0.003143964	0.1	0.6849647	0.003969158	0.1	0.6849647	1.480144e-06	0.1
0.844062	0.9825079	0.1	0.844062	0.003864936	0.1	0.844062	0.004879101	0.1	0.844062	1.476494e-06	0.1
1.130437	0.9766771	0.1	1.130437	0.005153726	0.1	1.130437	0.006505692	0.1	1.130437	1.469943e-06	0.1
1.639548	0.9664382	0.1	1.639548	0.007416864	0.1	1.639548	0.009362018	0.1	1.639548	1.458431e-06	0.1
2.657771	0.9464347	0.1	2.657771	0.0118383	0.1	2.657771	0.01494237	0.1	2.657771	1.435912e-06	0.1
4.301166	0.9154232	0.1	4.301166	0.01869284	0.1	4.301166	0.02359365	0.1	4.301166	1.400927e-06	0.1
6.763074	0.8717019	0.1	6.763074	0.02835652	0.1	6.763074	0.0357907	0.1	6.763074	1.351439e-06	0.1
10.27533	0.8144395	0.1	10.27533	0.04101279	0.1	10.27533	0.05176572	0.1	10.27533	1.2863e-06	0.1
16.68096	0.7231629	0.1	16.68096	0.06118533	0.1	16.68096	0.07723161	0.1	16.68096	1.181566e-06	0.1
24.38133	0.6315412	0.1	24.38133	0.08143039	0.1	24.38133	0.1027976	0.1	24.38133	1.075035e-06	0.1
34.02383	0.5380494	0.1	34.02383	0.1020814	0.1	34.02383	0.1288927	0.1	34.02383	9.643992e-07	0.1
43.66633	0.4623401	0.1	43.66633	0.1187949	0.1	43.66633	0.150034	0.1	43.66633	8.728734e-07	0.1
53.30883	0.4000767	0.1	53.30883	0.1325292	0.1	53.30883	0.1674314	0.1	53.30883	7.958506e-07	0.1
62.95134	0.3482176	0.1	62.95134	0.1439568	0.1	62.95134	0.1819334	0.1	62.95134	7.301037e-07	0.1
72.59384	0.304566	0.1	72.59384	0.1535636	0.1	72.59384	0.1941526	0.1	72.59384	6.73305e-07	0.1
84.17984	0.2607056	0.1	84.17984	0.1631995	0.1	84.17984	0.2064469	0.1	84.17984	6.144968e-07	0.1
95.76583	0.2242798	0.1	95.76583	0.1711835	0.1	95.76583	0.2166759	0.1	95.76583	5.639424e-07	0.1
107.3518	0.1937577	0.1	107.3518	0.1778546	0.1	107.3518	0.225266	0.1	107.3518	5.200281e-07	0.1
118.9378	0.167991	0.1	118.9378	0.1834671	0.1	118.9378	0.2325368	0.1	118.9378	4.815533e-07	0.1
125.3101	0.1555195	0.1	125.3101	0.1861753	0.1	125.3101	0.2360644	0.1	125.3101	4.623601e-07	0.1
128.2066	0.1502044	0.1	128.2066	0.1873274	0.1	128.2066	0.2375699	0.1	128.2066	4.540556e-07	0.1
131.6232	0.1441998	0.1	131.6232	0.1886274	0.1	131.6232	0.2392722	0.1	131.6232	4.445702e-07	0.1
134.3716	0.1395676	0.1	134.3716	0.1896289	0.1	134.3716	0.2405867	0.1	134.3716	4.371771e-07	0.1
137.3958	0.1346647	0.1	137.3958	0.1906877	0.1	137.3958	0.2419794	0.1	137.3958	4.292748e-07	0.1
140.8337	0.1293264	0.1	140.8337	0.1918388	0.1	140.8337	0.2434975	0.1	140.8337	4.205731e-07	0.1
145.2934	0.1227541	0.1	145.2934	0.1932534	0.1	145.2934	0.2453691	0.1	145.2934	4.097173e-07	0.1
151.0182	0.114861	0.1	151.0182	0.1949479	0.1	151.0182	0.2476212	0.1	151.0182	3.964483e-07	0.1
159.6792	0.1039766	0.1	159.6792	0.1972754	0.1	159.6792	0.2507359	0.1	159.6792	3.776918e-07	0.1
164.8829	0.09799213	0.1	164.8829	0.1985497	0.1	164.8829	0.2524538	0.1	164.8829	3.671259e-07	0.1
170.8458	0.09159974	0.1	170.8458	0.1999061	0.1	170.8458	0.2542936	0.1	170.8458	3.556194e-07	0.1
177.9474	0.08458069	0.1	177.9474	0.2013886	0.1	177.9474	0.2563207	0.1	177.9474	3.426905e-07	0.1
185.049	0.07814939	0.1	185.049	0.2027396	0.1	185.049	0.2581853	0.1	185.049	3.305504e-07	0.1
194.0237	0.07077778	0.1	194.0237	0.2042778	0.1	194.0237	0.260333	0.1	194.0237	3.162403e-07	0.1
204.2472	0.0632944	0.1	204.2472	0.2058253	0.1	204.2472	0.2625272	0.1	204.2472	3.01225e-07	0.1
214.4706	0.05666609	0.1	214.4706	0.2071812	0.1	214.4706	0.2644854	0.1	214.4706	2.874493e-07	0.1
224.694	0.05078675	0.1	224.694	0.2083692	0.1	224.694	0.2662372	0.1	224.694	2.74801e-07	0.1
234.9175	0.04556514	0.1	234.9175	0.2094095	0.1	234.9175	0.2678076	0.1	234.9175	2.631769e-07	0.1
245.613	0.04072088	0.1	245.613	0.2103592	0.1	245.613	0.2692801	0.1	245.613	2.52021e-07	0.1
258.1967	0.03572769	0.1	258.1967	0.2113178	0.1	258.1967	0.2708181	0.1	258.1967	2.400837e-07	0.1
269.522	0.0318018	0.1	269.522	0.2120529	0.1	269.522	0.272046	0.1	269.522	2.303477e-07	0.1
275.8139	0.02982681	0.1	275.8139	0.2124149	0.1	275.8139	0.2726714	0.1	275.8139	2.253134e-07	0.1
282.1058	0.02798574	0.1	282.1058	0.2127469	0.1	282.1058	0.27326	0.1	282.1058	2.205374e-07	0.1
288.658	0.02620059	0.1	288.658	0.2130629	0.1	288.658	0.2738366	0.1	288.658	2.158166e-07	0.1
296.2519	0.02428748	0.1	296.2519	0.213394	0.1	296.2519	0.2744621	0.1	296.2519	2.1066e-07	0.1
305.21	0.02222746	0.1	305.21	0.2137403	0.1	305.21	0.2751458	0.1	305.21	2.049788e-07	0.1
316.2147	0.01995938	0.1	316.2147	0.2141066	0.1	316.2147	0.2759135	0.1	316.2147	1.985558e-07	0.1
327.2193	0.01794876	0.1	327.2193	0.2144149	0.1	327.2193	0.2766105	0.1	327.2193	1.927027e-07	0.1
338.224	0.0161655	0.1	338.224	0.2146721	0.1	338.224	0.277245	0.1	338.224	1.873707e-07	0.1
349.2287	0.01458321	0.1	349.2287	0.2148839	0.1	349.2287	0.2778243	0.1	349.2287	1.825195e-07	0.1
360.2333	0.0131787	0.1	360.2333	0.2150557	0.1	360.2333	0.2783548	0.1	360.2333	1.781065e-07	0.1
371.238	0.01193156	0.1	371.238	0.215192	0.1	371.238	0.2788421	0.1	371.238	1.741008e-07	0.1
382.2427	0.0108238	0.1	382.2427	0.2152969	0.1	382.2427	0.279291	0.1	382.2427	1.704614e-07	0.1
