	T[K]	N1a	N1b	N1c
600 0.00006 0.97823 0.02171
700 0.00025 0.95901 0.03831
800 0.00071 0.93783 0.05869
900 0.00160 0.91350 0.08179
1000 0.00303 0.88769 0.10664
1100 0.00509 0.86052 0.13214
1200 0.00778 0.83264 0.15725
1300 0.01106 0.80541 0.18120
1400 0.01486 0.77930 0.20332
1500 0.01907 0.75540 0.22339
1600 0.02354 0.73313 0.24109
1700 0.02818 0.71304 0.25675
1800 0.03281 0.69473 0.27062
1900 0.03733 0.67788 0.28300
2000 0.04161 0.66254 0.29432
