Batch	m_SP	7	W3	R	W4_L	P1	P2_L	P3	P4											
5.096393e-08	0.9875928	0.1	5.096393e-08	4.059412e-06	0.1	5.096393e-08	1.252232e-05	0.1	5.096393e-08	0.003962465	0.1	5.096393e-08	3.1233459e-05	0.1	5.096393e-08	5.038921e-06	0.1	5.096393e-08	0.002176125	0.1
7.992936e-08	0.9806372	0.1	7.992936e-08	6.333067e-06	0.1	7.992936e-08	1.953653e-05	0.1	7.992936e-08	0.006188206	0.1	7.992936e-08	4.8727319e-05	0.1	7.992936e-08	7.861194e-06	0.1	7.992936e-08	0.003394961	0.1
1.119201e-07	0.9730361	0.1	1.119201e-07	8.81648e-06	0.1	1.119201e-07	2.719816e-05	0.1	1.119201e-07	0.008623097	0.1	1.119201e-07	6.783516899999999e-05	0.1	1.119201e-07	1.094384e-05	0.1	1.119201e-07	0.004726239	0.1
1.506706e-07	0.9639421	0.1	1.506706e-07	1.178633e-05	0.1	1.506706e-07	3.636084e-05	0.1	1.506706e-07	0.01153889	0.1	1.506706e-07	9.0685853e-05	0.1	1.506706e-07	1.463029e-05	0.1	1.506706e-07	0.006318281	0.1
1.995607e-07	0.952644	0.1	1.995607e-07	1.54746e-05	0.1	1.995607e-07	4.774035e-05	0.1	1.995607e-07	0.01516434	0.1	1.995607e-07	0.00011906426200000001	0.1	1.995607e-07	1.920851e-05	0.1	1.995607e-07	0.008295441	0.1
2.484508e-07	0.9415387	0.1	2.484508e-07	1.909888e-05	0.1	2.484508e-07	5.892273e-05	0.1	2.484508e-07	0.01873011	0.1	2.484508e-07	0.00014695058500000001	0.1	2.484508e-07	2.370731e-05	0.1	2.484508e-07	0.0102383	0.1
2.973409e-07	0.9306226	0.1	2.973409e-07	2.266077e-05	0.1	2.973409e-07	6.991275e-05	0.1	2.973409e-07	0.02223654	0.1	2.973409e-07	0.00017435681500000002	0.1	2.973409e-07	2.812866e-05	0.1	2.973409e-07	0.01214772	0.1
3.46231e-07	0.9198916	0.1	3.46231e-07	2.616179e-05	0.1	3.46231e-07	8.071507e-05	0.1	3.46231e-07	0.02568435	0.1	3.46231e-07	0.000201294621	0.1	3.46231e-07	3.247444e-05	0.1	3.46231e-07	0.0140245	0.1
3.951212e-07	0.9093419	0.1	3.951212e-07	2.960342e-05	0.1	3.951212e-07	9.133423e-05	0.1	3.951212e-07	0.02907452	0.1	3.951212e-07	0.000227775556	0.1	3.951212e-07	3.674652e-05	0.1	3.951212e-07	0.01586944	0.1
4.498971e-07	0.8977322	0.1	4.498971e-07	3.339062e-05	0.1	4.498971e-07	0.0001030197	0.1	4.498971e-07	0.03280573	0.1	4.498971e-07	0.00025691543	0.1	4.498971e-07	4.144754e-05	0.1	4.498971e-07	0.01789964	0.1
5.085969e-07	0.8855312	0.1	5.085969e-07	3.737059e-05	0.1	5.085969e-07	0.0001153	0.1	5.085969e-07	0.03672731	0.1	5.085969e-07	0.00028753858	0.1	5.085969e-07	4.638785e-05	0.1	5.085969e-07	0.02003317	0.1
5.721936e-07	0.872585	0.1	5.721936e-07	4.159352e-05	0.1	5.721936e-07	0.0001283299	0.1	5.721936e-07	0.04088859	0.1	5.721936e-07	0.00032003106	0.1	5.721936e-07	5.162974e-05	0.1	5.721936e-07	0.02229694	0.1
6.431355e-07	0.8584681	0.1	6.431355e-07	4.619826e-05	0.1	6.431355e-07	0.000142538	0.1	6.431355e-07	0.04542634	0.1	6.431355e-07	0.00035546148	0.1	6.431355e-07	5.734558e-05	0.1	6.431355e-07	0.02476539	0.1
7.205059e-07	0.8434492	0.1	7.205059e-07	5.109719e-05	0.1	7.205059e-07	0.0001576539	0.1	7.205059e-07	0.05025412	0.1	7.205059e-07	0.0003931554	0.1	7.205059e-07	6.342658e-05	0.1	7.205059e-07	0.02739155	0.1
8.07519e-07	0.8270114	0.1	8.07519e-07	5.645888e-05	0.1	8.07519e-07	0.0001741975	0.1	8.07519e-07	0.05553802	0.1	8.07519e-07	0.00043440992000000003	0.1	8.07519e-07	7.008201e-05	0.1	8.07519e-07	0.03026577	0.1
9.067815e-07	0.8088216	0.1	9.067815e-07	6.239204e-05	0.1	9.067815e-07	0.0001925045	0.1	9.067815e-07	0.06138515	0.1	9.067815e-07	0.00048006149	0.1	9.067815e-07	7.744679e-05	0.1	9.067815e-07	0.03344634	0.1
1.019158e-06	0.7889191	0.1	1.019158e-06	6.888386e-05	0.1	1.019158e-06	0.0002125352	0.1	1.019158e-06	0.06778286	0.1	1.019158e-06	0.00053001149	0.1	1.019158e-06	8.550504e-05	0.1	1.019158e-06	0.03692639	0.1
1.151324e-06	0.7664021	0.1	1.151324e-06	7.622846e-05	0.1	1.151324e-06	0.0002351973	0.1	1.151324e-06	0.07502101	0.1	1.151324e-06	0.00058652321	0.1	1.151324e-06	9.462184e-05	0.1	1.151324e-06	0.04086359	0.1
1.312795e-06	0.7401222	0.1	1.312795e-06	8.480044e-05	0.1	1.312795e-06	0.0002616464	0.1	1.312795e-06	0.08346875	0.1	1.312795e-06	0.00065247868	0.1	1.312795e-06	0.0001052622	0.1	1.312795e-06	0.04545874	0.1
1.506438e-06	0.7102677	0.1	1.506438e-06	9.453842e-05	0.1	1.506438e-06	0.0002916933	0.1	1.506438e-06	0.0930656	0.1	1.506438e-06	0.00072740581	0.1	1.506438e-06	0.0001173499	0.1	1.506438e-06	0.05067895	0.1
1.73735e-06	0.6768467	0.1	1.73735e-06	0.0001054397	0.1	1.73735e-06	0.0003253295	0.1	1.73735e-06	0.1038089	0.1	1.73735e-06	0.00081128337	0.1	1.73735e-06	0.0001308815	0.1	1.73735e-06	0.05652275	0.1
2.081611e-06	0.6309818	0.1	2.081611e-06	0.0001203999	0.1	2.081611e-06	0.0003714899	0.1	2.081611e-06	0.1185523	0.1	2.081611e-06	0.00092639225	0.1	2.081611e-06	0.0001494516	0.1	2.081611e-06	0.06454245	0.1
2.566065e-06	0.5734291	0.1	2.566065e-06	0.0001391725	0.1	2.566065e-06	0.0004294133	0.1	2.566065e-06	0.1370527	0.1	2.566065e-06	0.00107083359	0.1	2.566065e-06	0.0001727538	0.1	2.566065e-06	0.07460578	0.1
3.212357e-06	0.5072413	0.1	3.212357e-06	0.0001607616	0.1	3.212357e-06	0.0004960274	0.1	3.212357e-06	0.158329	0.1	3.212357e-06	0.00123694722	0.1	3.212357e-06	0.0001995523	0.1	3.212357e-06	0.08617901	0.1
4.132151e-06	0.4295092	0.1	4.132151e-06	0.0001861163	0.1	4.132151e-06	0.0005742602	0.1	4.132151e-06	0.1833162	0.1	4.132151e-06	0.001432035	0.1	4.132151e-06	0.0002310249	0.1	4.132151e-06	0.09977082	0.1
5.051945e-06	0.3665826	0.1	5.051945e-06	0.0002066418	0.1	5.051945e-06	0.0006375922	0.1	5.051945e-06	0.2035442	0.1	5.051945e-06	0.0015899641699999999	0.1	5.051945e-06	0.000256503	0.1	5.051945e-06	0.1107738	0.1
