Batch	m_SP	12	N7a_L	N1b	N1c	N1a	N_2	N3	N4	N5	N6	Flvln	Nphln	Azln																					
0.0	1.0000000301	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
2.771528e-14	0.99999858813	0.1	2.771528e-14	4.383051e-10	0.1	2.771528e-14	1.503344e-10	0.1	2.771528e-14	1.447394e-10	0.1	2.771528e-14	2.306641e-12	0.1	2.771528e-14	2.793944e-08	0.1	2.771528e-14	7.252578e-10	0.1	2.771528e-14	2.090281e-09	0.1	2.771528e-14	7.95877e-10	0.1	2.771528e-14	9.239575e-09	0.1	2.771528e-14	9.093638e-08	0.1	2.771528e-14	5.975248e-07	0.1
1.505706e-13	0.99999220539	0.1	1.505706e-13	2.394432e-09	0.1	1.505706e-13	7.990714e-10	0.1	1.505706e-13	7.893383e-10	0.1	1.505706e-13	1.309919e-11	0.1	1.505706e-13	1.412826e-07	0.1	1.505706e-13	3.672821e-09	0.1	1.505706e-13	1.161077e-08	0.1	1.505706e-13	4.265676e-09	0.1	1.505706e-13	5.019709e-08	0.1	1.505706e-13	4.940429e-07	0.1	1.505706e-13	3.246198e-06	0.1
3.268057e-13	0.9999832466899999	0.1	3.268057e-13	5.236206e-09	0.1	3.268057e-13	1.68126e-09	0.1	3.268057e-13	1.722589e-09	0.1	3.268057e-13	3.020519e-11	0.1	3.268057e-13	2.77498e-07	0.1	3.268057e-13	7.22776e-09	0.1	3.268057e-13	2.590565e-08	0.1	3.268057e-13	9.059065e-09	0.1	3.268057e-13	1.089521e-07	0.1	3.268057e-13	1.072314e-06	0.1	3.268057e-13	7.045661e-06	0.1
5.95363e-13	0.99996945315	0.1	5.95363e-13	9.640271e-09	0.1	5.95363e-13	2.923033e-09	0.1	5.95363e-13	3.164231e-09	0.1	5.95363e-13	5.997795e-11	0.1	5.95363e-13	4.372081e-07	0.1	5.95363e-13	1.141644e-08	0.1	5.95363e-13	4.883977e-08	0.1	5.95363e-13	1.58964e-08	0.1	5.95363e-13	1.984901e-07	0.1	5.95363e-13	1.953554e-06	0.1	5.95363e-13	1.283541e-05	0.1
9.834136e-13	0.9999497667899999	0.1	9.834136e-13	1.613983e-08	0.1	9.834136e-13	4.51916e-09	0.1	9.834136e-13	5.289034e-09	0.1	9.834136e-13	1.109798e-10	0.1	9.834136e-13	5.941013e-07	0.1	9.834136e-13	1.555863e-08	0.1	9.834136e-13	8.373448e-08	0.1	9.834136e-13	2.470916e-08	0.1	9.834136e-13	3.278748e-07	0.1	9.834136e-13	3.226959e-06	0.1	9.834136e-13	2.120109e-05	0.1
1.444528e-12	0.99992637168	0.1	1.444528e-12	2.403343e-08	0.1	1.444528e-12	6.14914e-09	0.1	1.444528e-12	7.878036e-09	0.1	1.444528e-12	1.84008e-10	0.1	1.444528e-12	7.070241e-07	0.1	1.444528e-12	1.856307e-08	0.1	1.444528e-12	1.269071e-07	0.1	1.444528e-12	3.355199e-08	0.1	1.444528e-12	4.816308e-07	0.1	1.444528e-12	4.740201e-06	0.1	1.444528e-12	3.114158e-05	0.1
2.057298e-12	0.9998952933699999	0.1	2.057298e-12	3.47369e-08	0.1	2.057298e-12	7.93844e-09	0.1	2.057298e-12	1.142589e-08	0.1	2.057298e-12	3.022709e-10	0.1	2.057298e-12	7.870098e-07	0.1	2.057298e-12	2.07089e-08	0.1	2.057298e-12	1.858246e-07	0.1	2.057298e-12	4.282572e-08	0.1	2.057298e-12	6.85972e-07	0.1	2.057298e-12	6.751228e-06	0.1	2.057298e-12	4.435088e-05	0.1
2.817875e-12	0.99985688436	0.1	2.817875e-12	4.824385e-08	0.1	2.817875e-12	9.678084e-09	0.1	2.817875e-12	1.599799e-08	0.1	2.817875e-12	4.833841e-10	0.1	2.817875e-12	8.313954e-07	0.1	2.817875e-12	2.19102e-08	0.1	2.817875e-12	2.600117e-07	0.1	2.817875e-12	5.112869e-08	0.1	2.817875e-12	9.396281e-07	0.1	2.817875e-12	9.247448e-06	0.1	2.817875e-12	6.074562e-05	0.1
3.765267e-12	0.9998090924999999	0.1	3.765267e-12	6.523355e-08	0.1	3.765267e-12	1.127852e-08	0.1	3.765267e-12	2.194824e-08	0.1	3.765267e-12	7.633442e-10	0.1	3.765267e-12	8.517814e-07	0.1	3.765267e-12	2.246671e-08	0.1	3.765267e-12	3.528175e-07	0.1	3.765267e-12	5.787172e-08	0.1	3.765267e-12	1.255627e-06	0.1	3.765267e-12	1.235691e-05	0.1	3.765267e-12	8.116598e-05	0.1
4.791287e-12	0.99975731752	0.1	4.791287e-12	8.364781e-08	0.1	4.791287e-12	1.249919e-08	0.1	4.791287e-12	2.870033e-08	0.1	4.791287e-12	1.136163e-09	0.1	4.791287e-12	8.586477e-07	0.1	4.791287e-12	2.265559e-08	0.1	4.791287e-12	4.531176e-07	0.1	4.791287e-12	6.224302e-08	0.1	4.791287e-12	1.597904e-06	0.1	4.791287e-12	1.572455e-05	0.1	4.791287e-12	0.0001032796	0.1
