	T[K]	N1a	N1b	N1c
600 0.00018 0.95747 0.03752
700 0.00058 0.93439 0.06021
800 0.00137 0.90857 0.08527
900 0.00266 0.88083 0.11090
1000 0.00447 0.85387 0.13605
1100 0.00677 0.82771 0.15991
1200 0.00949 0.80281 0.18208
1300 0.01254 0.77902 0.20231
1400 0.01583 0.75726 0.22078
1500 0.01928 0.73708 0.23749
1600 0.02283 0.71855 0.25263
1700 0.02642 0.70131 0.26635
1800 0.03006 0.68636 0.27931
1900 0.03361 0.67150 0.29062
2000 0.03710 0.65773 0.30091
