Batch	m_SP	4	Pr3	W1	Pr1	Pr2					
8.003979e-11	9.7371036805294e-06	0.1	8.003979e-11	8.999602e-08	0.1	8.003979e-11	1.058836e-07	0.1	8.003979e-11	6.449062e-08	0.1
1.714113e-10	9.4455357654064e-06	0.1	1.714113e-10	1.898447e-07	0.1	1.714113e-10	2.233735e-07	0.1	1.714113e-10	1.360453e-07	0.1
3.829568e-10	8.8035689204288e-06	0.1	3.829568e-10	4.096881e-07	0.1	3.829568e-10	4.821166e-07	0.1	3.829568e-10	2.936067e-07	0.1
7.637388e-10	7.7560138048155e-06	0.1	7.637388e-10	7.684203e-07	0.1	7.637388e-10	9.04522e-07	0.1	7.637388e-10	5.507617e-07	0.1
1.242024e-09	6.6150612952676e-06	0.1	1.242024e-09	1.159122e-06	0.1	1.242024e-09	1.364923e-06	0.1	1.242024e-09	8.309298e-07	0.1
1.757106e-09	5.5733761025208005e-06	0.1	1.757106e-09	1.515805e-06	0.1	1.757106e-09	1.785671e-06	0.1	1.757106e-09	1.086827e-06	0.1
2.356047e-09	4.5666333496175e-06	0.1	2.356047e-09	1.860483e-06	0.1	2.356047e-09	2.19281e-06	0.1	2.356047e-09	1.334274e-06	0.1
3.010894e-09	3.6729122112076e-06	0.1	3.010894e-09	2.1664e-06	0.1	3.010894e-09	2.554838e-06	0.1	3.010894e-09	1.554105e-06	0.1
3.665741e-09	2.9542108678915997e-06	0.1	3.665741e-09	2.412329e-06	0.1	3.665741e-09	2.846571e-06	0.1	3.665741e-09	1.731053e-06	0.1
4.320589e-09	2.376253355665e-06	0.1	4.320589e-09	2.610005e-06	0.1	4.320589e-09	3.081755e-06	0.1	4.320589e-09	1.873517e-06	0.1
5.002376e-09	1.894441014609e-06	0.1	5.002376e-09	2.774685e-06	0.1	5.002376e-09	3.278412e-06	0.1	5.002376e-09	1.992457e-06	0.1
5.79192e-09	1.4573292653088e-06	0.1	5.79192e-09	2.923927e-06	0.1	5.79192e-09	3.457549e-06	0.1	5.79192e-09	2.100582e-06	0.1
6.581464e-09	1.1212242843764e-06	0.1	6.581464e-09	3.038497e-06	0.1	6.581464e-09	3.596038e-06	0.1	6.581464e-09	2.183955e-06	0.1
7.371009e-09	8.627839952352e-07	0.1	7.371009e-09	3.126387e-06	0.1	7.371009e-09	3.703244e-06	0.1	7.371009e-09	2.248295e-06	0.1
8.160553e-09	6.640614084391901e-07	0.1	8.160553e-09	3.193747e-06	0.1	8.160553e-09	3.786373e-06	0.1	8.160553e-09	2.297998e-06	0.1
9.080056e-09	4.897330661958e-07	0.1	9.080056e-09	3.252541e-06	0.1	9.080056e-09	3.860128e-06	0.1	9.080056e-09	2.341884e-06	0.1
1.003205e-08	3.5750127263427e-07	0.1	1.003205e-08	3.296781e-06	0.1	1.003205e-08	3.916971e-06	0.1	1.003205e-08	2.375491e-06	0.1
1.098404e-08	2.6117131672015997e-07	0.1	1.098404e-08	3.328625e-06	0.1	1.098404e-08	3.959257e-06	0.1	1.098404e-08	2.400294e-06	0.1
1.19745e-08	1.8859910692392e-07	0.1	1.19745e-08	3.352185e-06	0.1	1.19745e-08	3.992006e-06	0.1	1.19745e-08	2.419316e-06	0.1
1.311884e-08	1.2972595948635e-07	0.1	1.311884e-08	3.370731e-06	0.1	1.311884e-08	4.01964e-06	0.1	1.311884e-08	2.435166e-06	0.1
