Batch	m_SP	18	T1a_L	C5H5	N1a	N1b	N1c	T2	T3	T4a	T4b	T4c	T4d	T4e	T4f	T4g	T4h	N7a	N7c	N7b																																	
0.0	1.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
5.306412e-13	0.99999999	0.1	5.306412e-13	0.0	0.1	5.306412e-13	0.0	0.1	5.306412e-13	0.0	0.1	5.306412e-13	0.0	0.1	5.306412e-13	0.0	0.1	5.306412e-13	0.0	0.1	5.306412e-13	0.0	0.1	5.306412e-13	0.0	0.1	5.306412e-13	0.0	0.1	5.306412e-13	0.0	0.1	5.306412e-13	0.0	0.1	5.306412e-13	0.0	0.1	5.306412e-13	0.0	0.1	5.306412e-13	0.0	0.1	5.306412e-13	0.0	0.1	5.306412e-13	0.0	0.1	5.306412e-13	0.0	0.1
2.443976e-11	0.99999998	0.1	2.443976e-11	0.0	0.1	2.443976e-11	0.0	0.1	2.443976e-11	0.0	0.1	2.443976e-11	0.0	0.1	2.443976e-11	0.0	0.1	2.443976e-11	0.0	0.1	2.443976e-11	0.0	0.1	2.443976e-11	0.0	0.1	2.443976e-11	0.0	0.1	2.443976e-11	0.0	0.1	2.443976e-11	0.0	0.1	2.443976e-11	0.0	0.1	2.443976e-11	0.0	0.1	2.443976e-11	0.0	0.1	2.443976e-11	0.0	0.1	2.443976e-11	0.0	0.1	2.443976e-11	0.0	0.1
9.078882e-11	0.99999993	0.1	9.078882e-11	0.0	0.1	9.078882e-11	0.0	0.1	9.078882e-11	0.0	0.1	9.078882e-11	0.0	0.1	9.078882e-11	0.0	0.1	9.078882e-11	0.0	0.1	9.078882e-11	0.0	0.1	9.078882e-11	0.0	0.1	9.078882e-11	0.0	0.1	9.078882e-11	0.0	0.1	9.078882e-11	0.0	0.1	9.078882e-11	0.0	0.1	9.078882e-11	0.0	0.1	9.078882e-11	0.0	0.1	9.078882e-11	0.0	0.1	9.078882e-11	0.0	0.1	9.078882e-11	0.0	0.1
1.748433e-10	0.99999998	0.1	1.748433e-10	0.0	0.1	1.748433e-10	0.0	0.1	1.748433e-10	0.0	0.1	1.748433e-10	0.0	0.1	1.748433e-10	0.0	0.1	1.748433e-10	0.0	0.1	1.748433e-10	0.0	0.1	1.748433e-10	0.0	0.1	1.748433e-10	0.0	0.1	1.748433e-10	0.0	0.1	1.748433e-10	0.0	0.1	1.748433e-10	0.0	0.1	1.748433e-10	0.0	0.1	1.748433e-10	0.0	0.1	1.748433e-10	0.0	0.1	1.748433e-10	0.0	0.1	1.748433e-10	0.0	0.1
3.721672e-10	1.00000006	0.1	3.721672e-10	0.0	0.1	3.721672e-10	0.0	0.1	3.721672e-10	0.0	0.1	3.721672e-10	0.0	0.1	3.721672e-10	0.0	0.1	3.721672e-10	0.0	0.1	3.721672e-10	0.0	0.1	3.721672e-10	0.0	0.1	3.721672e-10	0.0	0.1	3.721672e-10	0.0	0.1	3.721672e-10	0.0	0.1	3.721672e-10	0.0	0.1	3.721672e-10	0.0	0.1	3.721672e-10	0.0	0.1	3.721672e-10	0.0	0.1	3.721672e-10	0.0	0.1	3.721672e-10	0.0	0.1
5.694912e-10	1.00000008	0.1	5.694912e-10	0.0	0.1	5.694912e-10	0.0	0.1	5.694912e-10	0.0	0.1	5.694912e-10	0.0	0.1	5.694912e-10	0.0	0.1	5.694912e-10	0.0	0.1	5.694912e-10	0.0	0.1	5.694912e-10	0.0	0.1	5.694912e-10	0.0	0.1	5.694912e-10	0.0	0.1	5.694912e-10	0.0	0.1	5.694912e-10	0.0	0.1	5.694912e-10	0.0	0.1	5.694912e-10	0.0	0.1	5.694912e-10	0.0	0.1	5.694912e-10	0.0	0.1	5.694912e-10	0.0	0.1
8.761799e-10	1.00000011	0.1	8.761799e-10	0.0	0.1	8.761799e-10	0.0	0.1	8.761799e-10	0.0	0.1	8.761799e-10	0.0	0.1	8.761799e-10	0.0	0.1	8.761799e-10	0.0	0.1	8.761799e-10	0.0	0.1	8.761799e-10	0.0	0.1	8.761799e-10	0.0	0.1	8.761799e-10	0.0	0.1	8.761799e-10	0.0	0.1	8.761799e-10	0.0	0.1	8.761799e-10	0.0	0.1	8.761799e-10	0.0	0.1	8.761799e-10	0.0	0.1	8.761799e-10	0.0	0.1	8.761799e-10	0.0	0.1
1.23647e-09	0.99999996	0.1	1.23647e-09	0.0	0.1	1.23647e-09	0.0	0.1	1.23647e-09	0.0	0.1	1.23647e-09	0.0	0.1	1.23647e-09	0.0	0.1	1.23647e-09	0.0	0.1	1.23647e-09	0.0	0.1	1.23647e-09	0.0	0.1	1.23647e-09	0.0	0.1	1.23647e-09	0.0	0.1	1.23647e-09	0.0	0.1	1.23647e-09	0.0	0.1	1.23647e-09	0.0	0.1	1.23647e-09	0.0	0.1	1.23647e-09	0.0	0.1	1.23647e-09	0.0	0.1	1.23647e-09	0.0	0.1
1.632495e-09	0.99999993	0.1	1.632495e-09	0.0	0.1	1.632495e-09	0.0	0.1	1.632495e-09	0.0	0.1	1.632495e-09	0.0	0.1	1.632495e-09	0.0	0.1	1.632495e-09	0.0	0.1	1.632495e-09	0.0	0.1	1.632495e-09	0.0	0.1	1.632495e-09	0.0	0.1	1.632495e-09	0.0	0.1	1.632495e-09	0.0	0.1	1.632495e-09	0.0	0.1	1.632495e-09	0.0	0.1	1.632495e-09	0.0	0.1	1.632495e-09	0.0	0.1	1.632495e-09	0.0	0.1	1.632495e-09	0.0	0.1
