	T[K]	W4	W5	W1
600 0.99595 0.00000 0.00000
700 0.99596 0.00000 0.00000
800 0.28798 0.62851 0.07948
900 0.35825 0.56572 0.07201
1000 0.35593 0.56929 0.07079
1100 0.35384 0.56982 0.07238
1200 0.34791 0.57062 0.07753
1300 0.33698 0.57081 0.08831
1400 0.31796 0.56975 0.10844
1500 0.28032 0.56589 0.15002
1600 0.18091 0.55935 0.25605
1700 0.46466 0.53166 0.00000
1800 0.00000 0.99651 0.00000
1900 0.00000 0.99673 0.00000
2000 0.00000 0.99698 0.00000
2100 0.00000 0.99723 0.00000
2200 0.00000 0.99747 0.00000
2300 0.00000 0.99764 0.00000
2400 0.00000 0.99209 0.00000
2500 0.00000 0.99507 0.00000
