	T[K]	W4	W5	W1
600 0.97122 0.00000 0.02590
700 0.35439 0.64296 0.00000
800 0.37609 0.56666 0.05477
900 0.36487 0.57946 0.05330
1000 0.35854 0.57688 0.05659
1100 0.34904 0.57615 0.06694
1200 0.33040 0.57468 0.08998
1300 0.27983 0.56537 0.14991
1400 0.42141 0.57373 0.00000
1500 0.00000 0.99518 0.00000
1600 0.00000 0.99521 0.00000
1700 0.00000 0.99524 0.00000
1800 0.00000 0.99526 0.00000
1900 0.00000 0.99447 0.00000
2000 0.00000 0.99446 0.00000
2100 0.00000 0.99446 0.00000
2200 0.00000 0.99446 0.00000
2300 0.00000 0.99396 0.00000
2400 0.00000 0.99396 0.00000
2500 0.00000 0.99395 0.00000
