	T[K]	W4	W5	W1
600 0.00000 0.99448 0.00000
700 0.81177 0.08582 0.09690
800 0.44442 0.51116 0.03891
900 0.36492 0.58388 0.04567
1000 0.35486 0.58051 0.05911
1100 0.32331 0.57303 0.09813
1200 0.40198 0.59249 0.00000
1300 0.00000 0.99446 0.00000
1400 0.00000 0.99446 0.00000
1500 0.00000 0.99396 0.00000
1600 0.00000 0.99396 0.00000
1700 0.00000 0.99397 0.00000
1800 0.00000 0.99400 0.00000
1900 0.00000 0.99409 0.00000
2000 0.00000 0.99456 0.00000
2100 0.00000 0.99463 0.00000
2200 0.00000 0.99525 0.00000
2300 0.00000 0.99580 0.00000
2400 0.33217 0.33217 0.33217
2500 0.33237 0.33237 0.33237
