	T[K]	W4	W5	W1
600 0.44203 0.55529 0.00125
700 0.42974 0.56573 0.00288
800 0.41879 0.57439 0.00534
900 0.40974 0.58024 0.00860
1000 0.40155 0.58445 0.01266
1100 0.39488 0.58648 0.01723
1200 0.00031 0.00044 0.99925
1300 0.78290 0.00000 0.21647
1400 0.46112 0.00000 0.53693
1500 0.45519 0.00000 0.54421
1600 0.56950 0.00000 0.43050
1700 0.55120 0.00000 0.44880
1800 0.04118 0.00000 0.95869
1900 0.63415 0.00000 0.36575
2000 0.40138 0.00000 0.59862
2100 0.45598 0.00000 0.54402
2200 0.11302 0.00000 0.88693
2300 0.84107 0.00000 0.15885
