Batch	m_SP	7	P2_L	R	W4_L	W3	P1	P3	P4											
2.191716e-11	9.705574914022999e-06	0.1	2.191716e-11	1.169152e-08	0.1	2.191716e-11	1.660633e-07	0.1	2.191716e-11	1.951644e-10	0.1	2.191716e-11	8.322403e-08	0.1	2.191716e-11	1.396406e-08	0.1	2.191716e-11	1.256527e-11	0.1
4.682983e-11	9.4007681006484e-06	0.1	4.682983e-11	2.458888e-08	0.1	4.682983e-11	3.492473e-07	0.1	4.682983e-11	4.104486e-10	0.1	4.682983e-11	1.750199e-07	0.1	4.682983e-11	2.936837e-08	0.1	4.682983e-11	2.642638e-11	0.1
1.048092e-10	8.727969945780799e-06	0.1	1.048092e-10	5.306019e-08	0.1	1.048092e-10	7.536051e-07	0.1	1.048092e-10	8.85659e-10	0.1	1.048092e-10	3.77617e-07	0.1	1.048092e-10	6.337394e-08	0.1	1.048092e-10	5.702468e-11	0.1
2.091721e-10	7.6360431669984e-06	0.1	2.091721e-10	9.92775e-08	0.1	2.091721e-10	1.409916e-06	0.1	2.091721e-10	1.656956e-09	0.1	2.091721e-10	7.063534e-07	0.1	2.091721e-10	1.185753e-07	0.1	2.091721e-10	1.066932e-10	0.1
3.096532e-10	6.7141123292406005e-06	0.1	3.096532e-10	1.383092e-07	0.1	3.096532e-10	1.964104e-06	0.1	3.096532e-10	2.308223e-09	0.1	3.096532e-10	9.838373e-07	0.1	3.096532e-10	1.651944e-07	0.1	3.096532e-10	1.486378e-10	0.1
3.869179e-10	6.0816844573617995e-06	0.1	3.869179e-10	1.650897e-07	0.1	3.869179e-10	2.344298e-06	0.1	3.869179e-10	2.755007e-09	0.1	3.869179e-10	1.174144e-06	0.1	3.869179e-10	1.971811e-07	0.1	3.869179e-10	1.774161e-10	0.1
4.934824e-10	5.306055386728e-06	0.1	4.934824e-10	1.979408e-07	0.1	4.934824e-10	2.810617e-06	0.1	4.934824e-10	3.302993e-09	0.1	4.934824e-10	1.407493e-06	0.1	4.934824e-10	2.364186e-07	0.1	4.934824e-10	2.127167e-10	0.1
6.434574e-10	4.3791750939651006e-06	0.1	6.434574e-10	2.372083e-07	0.1	6.434574e-10	3.367928e-06	0.1	6.434574e-10	3.95789e-09	0.1	6.434574e-10	1.686266e-06	0.1	6.434574e-10	2.833203e-07	0.1	6.434574e-10	2.549105e-10	0.1
8.475606e-10	3.3723827941866002e-06	0.1	8.475606e-10	2.798756e-07	0.1	8.475606e-10	3.973368e-06	0.1	8.475606e-10	4.669323e-09	0.1	8.475606e-10	1.988966e-06	0.1	8.475606e-10	3.342831e-07	0.1	8.475606e-10	3.007551e-10	0.1
1.051664e-09	2.59716556246e-06	0.1	1.051664e-09	3.127407e-07	0.1	1.051664e-09	4.439616e-06	0.1	1.051664e-09	5.217181e-09	0.1	1.051664e-09	2.221952e-06	0.1	1.051664e-09	3.735383e-07	0.1	1.051664e-09	3.360656e-10	0.1
1.255767e-09	2.00022219392548e-06	0.1	1.255767e-09	3.38056e-07	0.1	1.255767e-09	4.798687e-06	0.1	1.255767e-09	5.639092e-09	0.1	1.255767e-09	2.401298e-06	0.1	1.255767e-09	4.03776e-07	0.1	1.255767e-09	3.632632e-10	0.1
1.45987e-09	1.54053492094242e-06	0.1	1.45987e-09	3.575562e-07	0.1	1.45987e-09	5.075229e-06	0.1	1.45987e-09	5.964025e-09	0.1	1.45987e-09	2.539364e-06	0.1	1.45987e-09	4.270681e-07	0.1	1.45987e-09	3.842124e-10	0.1
1.663974e-09	1.1865278092327e-06	0.1	1.663974e-09	3.725773e-07	0.1	1.663974e-09	5.288217e-06	0.1	1.663974e-09	6.214279e-09	0.1	1.663974e-09	2.64566e-06	0.1	1.663974e-09	4.450102e-07	0.1	1.663974e-09	4.00349e-10	0.1
1.868077e-09	9.1389448854964e-07	0.1	1.868077e-09	3.841483e-07	0.1	1.868077e-09	5.452261e-06	0.1	1.868077e-09	6.407026e-09	0.1	1.868077e-09	2.727502e-06	0.1	1.868077e-09	4.588313e-07	0.1	1.868077e-09	4.127789e-10	0.1
2.08891e-09	6.890205143532e-07	0.1	2.08891e-09	3.936944e-07	0.1	2.08891e-09	5.587581e-06	0.1	2.08891e-09	6.566022e-09	0.1	2.08891e-09	2.794992e-06	0.1	2.08891e-09	4.702339e-07	0.1	2.08891e-09	4.230332e-10	0.1
2.33484e-09	5.030854281472799e-07	0.1	2.33484e-09	4.015892e-07	0.1	2.33484e-09	5.699478e-06	0.1	2.33484e-09	6.6975e-09	0.1	2.33484e-09	2.850784e-06	0.1	2.33484e-09	4.796641e-07	0.1	2.33484e-09	4.315135e-10	0.1
2.580769e-09	3.6733594087315004e-07	0.1	2.580769e-09	4.073543e-07	0.1	2.580769e-09	5.781179e-06	0.1	2.580769e-09	6.793501e-09	0.1	2.580769e-09	2.891509e-06	0.1	2.580769e-09	4.865504e-07	0.1	2.580769e-09	4.377059e-10	0.1
2.826698e-09	2.68222980258941e-07	0.1	2.826698e-09	4.115642e-07	0.1	2.826698e-09	5.840835e-06	0.1	2.826698e-09	6.863601e-09	0.1	2.826698e-09	2.921238e-06	0.1	2.826698e-09	4.915791e-07	0.1	2.826698e-09	4.422278e-10	0.1
3.11225e-09	1.8618183186223903e-07	0.1	3.11225e-09	4.150496e-07	0.1	3.11225e-09	5.890219e-06	0.1	3.11225e-09	6.921637e-09	0.1	3.11225e-09	2.945843e-06	0.1	3.11225e-09	4.957424e-07	0.1	3.11225e-09	4.459713e-10	0.1
3.407708e-09	1.2761146382186998e-07	0.1	3.407708e-09	4.175383e-07	0.1	3.407708e-09	5.925477e-06	0.1	3.407708e-09	6.963077e-09	0.1	3.407708e-09	2.963408e-06	0.1	3.407708e-09	4.987151e-07	0.1	3.407708e-09	4.486442e-10	0.1
