Batch	m_SP	4	W1	Pr1	Pr2	Pr3					
219.7962	0.1248544	0.1	219.7962	0.04191248	0.1	219.7962	0.3956601	0.1	219.7962	3.340392e-08	0.1
235.5811	0.1126693	0.1	235.5811	0.0397131	0.1	235.5811	0.403952	0.1	235.5811	3.155764e-08	0.1
243.4735	0.1071003	0.1	243.4735	0.03867893	0.1	243.4735	0.4077707	0.1	243.4735	3.069329e-08	0.1
252.8639	0.1008864	0.1	252.8639	0.03750083	0.1	252.8639	0.4120558	0.1	252.8639	2.970698e-08	0.1
264.5011	0.09375716	0.1	264.5011	0.03611443	0.1	264.5011	0.4170068	0.1	264.5011	2.854513e-08	0.1
282.4406	0.08387707	0.1	282.4406	0.03412286	0.1	282.4406	0.4239385	0.1	282.4406	2.687881e-08	0.1
300.3802	0.07517803	0.1	300.3802	0.03229005	0.1	300.3802	0.4301208	0.1	300.3802	2.534376e-08	0.1
318.3198	0.06750003	0.1	318.3198	0.03059852	0.1	318.3198	0.4356513	0.1	318.3198	2.393131e-08	0.1
336.2593	0.06070802	0.1	336.2593	0.02903338	0.1	336.2593	0.4406125	0.1	336.2593	2.262378e-08	0.1
346.1261	0.05730781	0.1	346.1261	0.02822172	0.1	346.1261	0.4431243	0.1	346.1261	2.194474e-08	0.1
350.611	0.05583469	0.1	350.611	0.02786362	0.1	350.611	0.4442189	0.1	350.611	2.16486e-08	0.1
355.0958	0.05440475	0.1	355.0958	0.02751204	0.1	355.0958	0.4452855	0.1	355.0958	2.135181e-08	0.1
359.5807	0.05301656	0.1	359.5807	0.02716684	0.1	359.5807	0.4463248	0.1	359.5807	2.106525e-08	0.1
365.6967	0.05118833	0.1	365.6967	0.02670607	0.1	365.6967	0.4476997	0.1	365.6967	2.068154e-08	0.1
375.4269	0.04842632	0.1	375.4269	0.0259959	0.1	375.4269	0.4497909	0.1	375.4269	2.00898e-08	0.1
390.0955	0.04457851	0.1	390.0955	0.02497557	0.1	390.0955	0.4527351	0.1	390.0955	1.924035e-08	0.1
407.4541	0.04046913	0.1	407.4541	0.02384075	0.1	407.4541	0.4559246	0.1	407.4541	1.829669e-08	0.1
427.7247	0.03620857	0.1	427.7247	0.02260673	0.1	427.7247	0.4592889	0.1	427.7247	1.727209e-08	0.1
444.1504	0.03313083	0.1	444.1504	0.02167267	0.1	444.1504	0.4617618	0.1	444.1504	1.64978e-08	0.1
464.5725	0.02971435	0.1	464.5725	0.02058644	0.1	464.5725	0.4645563	0.1	464.5725	1.559868e-08	0.1
487.6587	0.02633014	0.1	487.6587	0.01944986	0.1	487.6587	0.467385	0.1	487.6587	1.466088e-08	0.1
510.745	0.02338313	0.1	510.745	0.018401	0.1	510.745	0.4699074	0.1	510.745	1.379488e-08	0.1
533.8312	0.0208115	0.1	533.8312	0.01743142	0.1	533.8312	0.4721628	0.1	533.8312	1.300003e-08	0.1
556.9175	0.01856293	0.1	556.9175	0.01653372	0.1	556.9175	0.4741848	0.1	556.9175	1.226497e-08	0.1
580.0037	0.01659299	0.1	580.0037	0.01570134	0.1	580.0037	0.4760021	0.1	580.0037	1.158538e-08	0.1
603.09	0.01486383	0.1	603.09	0.01492846	0.1	603.09	0.4776396	0.1	603.09	1.095643e-08	0.1
626.1763	0.01334317	0.1	626.1763	0.01420988	0.1	626.1763	0.4791185	0.1	626.1763	1.037369e-08	0.1
649.2625	0.01200337	0.1	649.2625	0.01354096	0.1	649.2625	0.4804573	0.1	649.2625	9.832928e-09	0.1
672.3488	0.01082075	0.1	672.3488	0.01291753	0.1	672.3488	0.4816721	0.1	672.3488	9.331857e-09	0.1
