	T[K]	W4	W5	W1
600 0.44286 0.55456 0.00125
700 0.42945 0.56609 0.00286
800 0.41913 0.57416 0.00534
900 0.41045 0.57948 0.00862
1000 0.40200 0.58388 0.01267
1100 0.39539 0.58583 0.01725
1200 0.38893 0.58728 0.02233
1300 0.38302 0.58785 0.02772
1400 0.41126 0.58751 0.00000
1500 0.00000 0.99907 0.00000
1600 0.00000 0.99916 0.00000
1700 0.00000 0.99907 0.00000
1800 0.00000 0.99908 0.00000
1900 0.00000 0.99900 0.00000
2000 0.00000 0.99903 0.00000
2100 0.00000 0.99869 0.00000
2200 0.00000 0.99889 0.00000
2300 0.00000 0.99863 0.00000
2400 0.00000 0.99889 0.00000
2500 0.00000 0.99871 0.00000
