	T[K]	W4	W5	W1
600 0.44208 0.55536 0.00125
700 0.42981 0.56582 0.00288
800 0.41882 0.57442 0.00534
900 0.40973 0.58022 0.00860
1000 0.40150 0.58438 0.01265
1100 0.39488 0.58648 0.01723
1200 0.41000 0.58862 0.00000
1300 0.00000 0.99879 0.00000
1400 0.00000 0.99889 0.00000
1500 0.00000 0.99894 0.00000
1600 0.00000 0.99901 0.00000
1700 0.00000 0.99883 0.00000
1800 0.00000 0.99882 0.00000
1900 0.00000 0.99840 0.00000
2000 0.00000 0.99864 0.00000
2100 0.00000 0.99832 0.00000
2200 0.00000 0.99864 0.00000
2300 0.00000 0.99846 0.00000
