Batch	m_SP	2	P2_L	W4_L	
2.792121e-10	9.781372412285998e-06	0.1	2.792121e-10	3.125097e-09	0.1
6.01722e-10	9.536170458154e-06	0.1	6.01722e-10	6.662096e-09	0.1
1.388441e-09	8.9683424545968e-06	0.1	1.388441e-09	1.497468e-08	0.1
2.67474e-09	8.124765313790001e-06	0.1	2.67474e-09	2.765898e-08	0.1
3.88792e-09	7.4147431305552994e-06	0.1	3.88792e-09	3.86726e-08	0.1
4.80408e-09	6.9272391336125004e-06	0.1	4.80408e-09	4.64284e-08	0.1
6.050756e-09	6.323587921744599e-06	0.1	6.050756e-09	5.62672e-08	0.1
7.800809e-09	5.5777362467178e-06	0.1	7.800809e-09	6.881074e-08	0.1
1.018198e-08	4.7219968360202e-06	0.1	1.018198e-08	8.377663e-08	0.1
1.256316e-08	4.0146214275081e-06	0.1	1.256316e-08	9.665044e-08	0.1
1.494433e-08	3.42572667138114e-06	0.1	1.494433e-08	1.077361e-07	0.1
1.732551e-08	2.9323376842413597e-06	0.1	1.732551e-08	1.172876e-07	0.1
1.970668e-08	2.51662285269996e-06	0.1	1.970668e-08	1.255183e-07	0.1
2.237422e-08	2.12602775785766e-06	0.1	2.237422e-08	1.333929e-07	0.1
2.523267e-08	1.77894912174432e-06	0.1	2.523267e-08	1.40486e-07	0.1
2.809111e-08	1.4916260333016e-06	0.1	2.809111e-08	1.464029e-07	0.1
3.130495e-08	1.22600340312177e-06	0.1	3.130495e-08	1.518787e-07	0.1
3.475571e-08	9.9497664285414e-07	0.1	3.475571e-08	1.566083e-07	0.1
3.820648e-08	8.085987116863999e-07	0.1	3.820648e-08	1.603611e-07	0.1
4.236423e-08	6.306382109615001e-07	0.1	4.236423e-08	1.638369e-07	0.1
4.652198e-08	4.9236372255948e-07	0.1	4.652198e-08	1.664035e-07	0.1
5.135044e-08	3.6970743028198e-07	0.1	5.135044e-08	1.685007e-07	0.1
5.634659e-08	2.75072175131445e-07	0.1	5.634659e-08	1.699096e-07	0.1
6.176105e-08	1.9979986574891198e-07	0.1	6.176105e-08	1.707876e-07	0.1
6.780298e-08	1.3996585688800002e-07	0.1	6.780298e-08	1.711902e-07	0.1
