Batch	m_SP	7	P3	W4_L	W3	R	P1	P2_L	P4											
6.866767e-10	9.797124027780001e-06	0.1	6.866767e-10	1.44099839e-07	0.1	6.866767e-10	4.817325e-11	0.1	6.866767e-10	2.412943e-09	0.1	6.866767e-10	3.118172e-08	0.1	6.866767e-10	2.5034242699999997e-08	0.1	6.866767e-10	5.861101e-14	0.1
1.783477e-09	9.481735233506899e-06	0.1	1.783477e-09	3.6879699e-07	0.1	1.783477e-09	1.23214e-10	0.1	1.783477e-09	6.168018e-09	0.1	1.783477e-09	8.016737e-08	0.1	1.783477e-09	6.2911569e-08	0.1	1.783477e-09	1.498072e-13	0.1
4.619091e-09	8.712614130429401e-06	0.1	4.619091e-09	9.197982699999999e-07	0.1	4.619091e-09	3.068214e-10	0.1	4.619091e-09	1.533646e-08	0.1	4.619091e-09	2.022245e-07	0.1	4.619091e-09	1.49624348e-07	0.1	4.619091e-09	3.723904e-13	0.1
8.808553e-09	7.6889940336304e-06	0.1	8.808553e-09	1.66036726e-06	0.1	8.808553e-09	5.52635e-10	0.1	8.808553e-09	2.756528e-08	0.1	8.808553e-09	3.708503e-07	0.1	8.808553e-09	2.51574203e-07	0.1	8.808553e-09	6.690752e-13	0.1
1.139594e-08	7.1178372619240005e-06	0.1	1.139594e-08	2.0775395e-06	0.1	1.139594e-08	6.905856e-10	0.1	1.139594e-08	3.440325e-08	0.1	1.139594e-08	4.683094e-07	0.1	1.139594e-08	3.0112241000000005e-07	0.1	1.139594e-08	8.348655e-13	0.1
1.502646e-08	6.3872392945458e-06	0.1	1.502646e-08	2.6157355499999998e-06	0.1	1.502646e-08	8.679627e-10	0.1	1.502646e-08	4.316695e-08	0.1	1.502646e-08	5.968701e-07	0.1	1.502646e-08	3.56018238e-07	0.1	1.502646e-08	1.047224e-12	0.1
2.040739e-08	5.440054246779601e-06	0.1	2.040739e-08	3.3220205e-06	0.1	2.040739e-08	1.099639e-09	0.1	2.040739e-08	5.456036e-08	0.1	2.040739e-08	7.708196e-07	0.1	2.040739e-08	4.1133446e-07	0.1	2.040739e-08	1.323078e-12	0.1
2.678141e-08	4.498123520097e-06	0.1	2.678141e-08	4.0354821999999995e-06	0.1	2.678141e-08	1.33226e-09	0.1	2.678141e-08	6.593195e-08	0.1	2.678141e-08	9.53252e-07	0.1	2.678141e-08	4.45753472e-07	0.1	2.678141e-08	1.598113e-12	0.1
3.43025e-08	3.5942237442432e-06	0.1	3.43025e-08	4.7326762000000005e-06	0.1	3.43025e-08	1.558017e-09	0.1	3.43025e-08	7.689155e-08	0.1	3.43025e-08	1.138989e-06	0.1	3.43025e-08	4.55517848e-07	0.1	3.43025e-08	1.862856e-12	0.1
4.354418e-08	2.728338896582e-06	0.1	4.354418e-08	5.4149534e-06	0.1	4.354418e-08	1.777187e-09	0.1	4.354418e-08	8.74449e-08	0.1	4.354418e-08	1.329157e-06	0.1	4.354418e-08	4.38160785e-07	0.1	4.354418e-08	2.117417e-12	0.1
5.278586e-08	2.0710949750196e-06	0.1	5.278586e-08	5.944949599999999e-06	0.1	5.278586e-08	1.946001e-09	0.1	5.278586e-08	9.550186e-08	0.1	5.278586e-08	1.483789e-06	0.1	5.278586e-08	4.02527464e-07	0.1	5.278586e-08	2.311458e-12	0.1
6.202754e-08	1.5722086049441002e-06	0.1	6.202754e-08	6.3564146e-06	0.1	6.202754e-08	2.076003e-09	0.1	6.202754e-08	1.016532e-07	0.1	6.202754e-08	1.608933e-06	0.1	6.202754e-08	3.5850183700000003e-07	0.1	6.202754e-08	2.45938e-12	0.1
7.126922e-08	1.1935169163342e-06	0.1	7.126922e-08	6.6756844e-06	0.1	7.126922e-08	2.176098e-09	0.1	7.126922e-08	1.063499e-07	0.1	7.126922e-08	1.709795e-06	0.1	7.126922e-08	3.12245152e-07	0.1	7.126922e-08	2.572156e-12	0.1
