Batch	m_SP	7	W3	R	W4_L	P1	P2_L	P3	P4											
8.793753	0.891646	0.1	8.793753	1.657286e-09	0.1	8.793753	8.793888599999999e-06	0.1	8.793753	0.05321559	0.1	8.793753	4.507924667e-07	0.1	8.793753	1.611945e-09	0.1	8.793753	7.622531e-08	0.1
10.56509	0.8715856	0.1	10.56509	1.958251e-09	0.1	10.56509	1.0391905600000001e-05	0.1	10.56509	0.0632664	0.1	10.56509	5.326783815000001e-07	0.1	10.56509	1.904677e-09	0.1	10.56509	9.006756e-08	0.1
14.09558	0.8335264	0.1	14.09558	2.529252e-09	0.1	14.09558	1.34237197e-05	0.1	14.09558	0.08233515	0.1	14.09558	6.880353081e-07	0.1	14.09558	2.460056e-09	0.1	14.09558	1.163296e-07	0.1
19.95079	0.7755331	0.1	19.95079	3.399323e-09	0.1	19.95079	1.8043487e-05	0.1	19.95079	0.1113914	0.1	19.95079	9.247624817000001e-07	0.1	19.95079	3.306324e-09	0.1	19.95079	1.563466e-07	0.1
29.40518	0.6934443	0.1	29.40518	4.630897e-09	0.1	29.40518	2.45827125e-05	0.1	29.40518	0.1525202	0.1	29.40518	1.2598468202e-06	0.1	29.40518	4.504205e-09	0.1	29.40518	2.129903e-07	0.1
40.87156	0.609418	0.1	40.87156	5.891539e-09	0.1	40.87156	3.1276272e-05	0.1	40.87156	0.1946197	0.1	40.87156	1.602840501e-06	0.1	40.87156	5.730358e-09	0.1	40.87156	2.709709e-07	0.1
57.22747	0.5120741	0.1	57.22747	7.351986e-09	0.1	57.22747	3.9030727999999995e-05	0.1	57.22747	0.2433918	0.1	57.22747	2.000195961e-06	0.1	57.22747	7.15085e-09	0.1	57.22747	3.381411e-07	0.1
73.58338	0.434482	0.1	73.58338	8.516096e-09	0.1	73.58338	4.5211749e-05	0.1	73.58338	0.2822676	0.1	73.58338	2.316924906e-06	0.1	73.58338	8.283113e-09	0.1	73.58338	3.916819e-07	0.1
89.93929	0.3715398	0.1	89.93929	9.460416e-09	0.1	89.93929	5.0225749e-05	0.1	89.93929	0.3138034	0.1	89.93929	2.57385319e-06	0.1	89.93929	9.201598e-09	0.1	89.93929	4.351139e-07	0.1
106.2952	0.3197511	0.1	106.2952	1.02374e-08	0.1	106.2952	5.4351243999999996e-05	0.1	106.2952	0.339751	0.1	106.2952	2.785252996e-06	0.1	106.2952	9.957324e-09	0.1	106.2952	4.708496e-07	0.1
122.6511	0.2766394	0.1	122.6511	1.08842e-08	0.1	122.6511	5.7785539000000004e-05	0.1	122.6511	0.3613512	0.1	122.6511	2.961234536e-06	0.1	122.6511	1.058643e-08	0.1	122.6511	5.005979e-07	0.1
139.007	0.2404008	0.1	139.007	1.142789e-08	0.1	139.007	6.0672334e-05	0.1	139.007	0.3795077	0.1	139.007	3.109159061e-06	0.1	139.007	1.111524e-08	0.1	139.007	5.256036e-07	0.1
