Batch	m_SP	2	Pr1	W1	
1.433276000000e+04	9.867549323520e-06	1.000000000000e-01	1.433276000000e+04	1.272338000000e-07	1.000000000000e-01
2.587182000000e+04	9.764282356200e-06	1.000000000000e-01	2.587182000000e+04	2.305563000000e-07	1.000000000000e-01
4.894994000000e+04	9.560979389250e-06	1.000000000000e-01	4.894994000000e+04	4.339689000000e-07	1.000000000000e-01
8.997770000000e+04	9.209946899610e-06	1.000000000000e-01	8.997770000000e+04	7.851901000000e-07	1.000000000000e-01
1.617763000000e+05	8.626366735470e-06	1.000000000000e-01	1.617763000000e+05	1.369084000000e-06	1.000000000000e-01
2.809644000000e+05	7.738101618210e-06	1.000000000000e-01	2.809644000000e+05	2.257826000000e-06	1.000000000000e-01
4.666271000000e+05	6.533107668270e-06	1.000000000000e-01	4.666271000000e+05	3.463467000000e-06	1.000000000000e-01
6.799508000000e+05	5.378394215520e-06	1.000000000000e-01	6.799508000000e+05	4.618801000000e-06	1.000000000000e-01
9.117152000000e+05	4.353953460030e-06	1.000000000000e-01	9.117152000000e+05	5.643792000000e-06	1.000000000000e-01
1.143480000000e+06	3.524640753240e-06	1.000000000000e-01	1.143480000000e+06	6.473549000000e-06	1.000000000000e-01
1.375244000000e+06	2.853290466810e-06	1.000000000000e-01	1.375244000000e+06	7.145260000000e-06	1.000000000000e-01
1.607008000000e+06	2.309814901620e-06	1.000000000000e-01	1.607008000000e+06	7.689027000000e-06	1.000000000000e-01
1.857415000000e+06	1.838343616380e-06	1.000000000000e-01	1.857415000000e+06	8.160751000000e-06	1.000000000000e-01
2.135786000000e+06	1.426276737090e-06	1.000000000000e-01	2.135786000000e+06	8.573039000000e-06	1.000000000000e-01
2.414157000000e+06	1.106574934140e-06	1.000000000000e-01	2.414157000000e+06	8.892912000000e-06	1.000000000000e-01
2.692527000000e+06	8.585350145640e-07	1.000000000000e-01	2.692527000000e+06	9.141084000000e-06	1.000000000000e-01
2.970898000000e+06	6.660935389980e-07	1.000000000000e-01	2.970898000000e+06	9.333628000000e-06	1.000000000000e-01
3.295895000000e+06	4.952796471540e-07	1.000000000000e-01	3.295895000000e+06	9.504533000000e-06	1.000000000000e-01
3.632549000000e+06	3.643765561980e-07	1.000000000000e-01	3.632549000000e+06	9.635505000000e-06	1.000000000000e-01
3.969203000000e+06	2.680714192590e-07	1.000000000000e-01	3.969203000000e+06	9.731861000000e-06	1.000000000000e-01
4.305857000000e+06	1.972200277800e-07	1.000000000000e-01	4.305857000000e+06	9.802750000000e-06	1.000000000000e-01
4.712514000000e+06	1.361237387490e-07	1.000000000000e-01	4.712514000000e+06	9.863877000000e-06	1.000000000000e-01
