	T[K]	N1a	N1b	N1c
600 0.00016 0.95991 0.03532
700 0.00049 0.93862 0.05594
800 0.00115 0.91363 0.08029
900 0.00226 0.88506 0.10683
1000 0.00384 0.85636 0.13393
1100 0.00588 0.82822 0.16005
1200 0.00826 0.80158 0.18421
1300 0.01089 0.77700 0.20617
1400 0.01368 0.75440 0.22592
1500 0.01656 0.73389 0.24396
1600 0.01962 0.71459 0.26010
1700 0.02276 0.69698 0.27525
1800 0.02362 0.68051 0.29565
1900 0.02801 0.66391 0.30805
2000 0.03327 0.64881 0.31787
