Batch	m_SP	7	P3	R	W4_L	W3	P1	P2_L	P4											
5.568357e-12	9.78023819664e-06	0.1	5.568357e-12	3.478566e-12	0.1	5.568357e-12	2.19507647e-07	0.1	5.568357e-12	6.252471e-14	0.1	5.568357e-12	7.695349e-11	0.1	5.568357e-12	5.42812903e-11	0.1	5.568357e-12	1.633025e-19	0.1
1.239296e-11	9.51759082314e-06	0.1	1.239296e-11	7.63787e-12	0.1	1.239296e-11	4.8197174e-07	0.1	1.239296e-11	1.372852e-13	0.1	1.239296e-11	1.689664e-10	0.1	1.239296e-11	1.19185131e-10	0.1	1.239296e-11	3.585624e-19	0.1
2.571118e-11	9.02517274737e-06	0.1	2.571118e-11	1.543582e-11	0.1	2.571118e-11	9.7404457e-07	0.1	2.571118e-11	2.774476e-13	0.1	2.571118e-11	3.41474e-10	0.1	2.571118e-11	2.40868241e-10	0.1	2.571118e-11	7.246396e-19	0.1
4.938803e-11	8.21182188096e-06	0.1	4.938803e-11	2.831607e-11	0.1	4.938803e-11	1.78682558e-06	0.1	4.938803e-11	5.089608e-13	0.1	4.938803e-11	6.264133e-10	0.1	4.938803e-11	4.41858067e-10	0.1	4.938803e-11	1.329307e-18	0.1
8.226926e-11	7.202420975070001e-06	0.1	8.226926e-11	4.430097e-11	0.1	8.226926e-11	2.7955192000000004e-06	0.1	8.226926e-11	7.962778e-13	0.1	8.226926e-11	9.800342e-10	0.1	8.226926e-11	6.91294482e-10	0.1	8.226926e-11	2.079724e-18	0.1
1.282912e-10	5.99450705433e-06	0.1	1.282912e-10	6.342952e-11	0.1	1.282912e-10	4.002587100000001e-06	0.1	1.282912e-10	1.1401e-12	0.1	1.282912e-10	1.4032e-09	0.1	1.282912e-10	9.8978603e-10	0.1	1.282912e-10	2.97772e-18	0.1
1.743131e-10	4.98917210778e-06	0.1	1.743131e-10	7.935004e-11	0.1	1.743131e-10	5.007217e-06	0.1	1.743131e-10	1.42626e-12	0.1	1.743131e-10	1.755396e-09	0.1	1.743131e-10	1.2382176799999999e-09	0.1	1.743131e-10	3.725114e-18	0.1
2.440832e-10	3.77714922813e-06	0.1	2.440832e-10	9.854368e-11	0.1	2.440832e-10	6.2183915e-06	0.1	2.440832e-10	1.771251e-12	0.1	2.440832e-10	2.180002e-09	0.1	2.440832e-10	1.53772462e-09	0.1	2.440832e-10	4.626166e-18	0.1
3.138532e-10	2.85956340408e-06	0.1	3.138532e-10	1.130746e-10	0.1	3.138532e-10	7.135333900000001e-06	0.1	3.138532e-10	2.032434e-12	0.1	3.138532e-10	2.501457e-09	0.1	3.138532e-10	1.7644729500000001e-09	0.1	3.138532e-10	5.308325e-18	0.1
3.836232e-10	2.16488735091e-06	0.1	3.836232e-10	1.240755e-10	0.1	3.836232e-10	7.8295236e-06	0.1	3.836232e-10	2.230167e-12	0.1	3.836232e-10	2.744821e-09	0.1	3.836232e-10	1.9361367e-09	0.1	3.836232e-10	5.824766e-18	0.1
4.533932e-10	1.63896961014e-06	0.1	4.533932e-10	1.324039e-10	0.1	4.533932e-10	8.355072e-06	0.1	4.533932e-10	2.379865e-12	0.1	4.533932e-10	2.929065e-09	0.1	4.533932e-10	2.06609802e-09	0.1	4.533932e-10	6.215748e-18	0.1
5.231632e-10	1.24081359174e-06	0.1	5.231632e-10	1.387092e-10	0.1	5.231632e-10	8.752949300000001e-06	0.1	5.231632e-10	2.493197e-12	0.1	5.231632e-10	3.06855e-09	0.1	5.231632e-10	2.16448754e-09	0.1	5.231632e-10	6.511748e-18	0.1
5.929333e-10	9.39381706089e-07	0.1	5.929333e-10	1.434826e-10	0.1	5.929333e-10	9.0541696e-06	0.1	5.929333e-10	2.578997e-12	0.1	5.929333e-10	3.17415e-09	0.1	5.929333e-10	2.23897503e-09	0.1	5.929333e-10	6.735841e-18	0.1
6.627033e-10	7.111769881590001e-07	0.1	6.627033e-10	1.470965e-10	0.1	6.627033e-10	9.282215e-06	0.1	6.627033e-10	2.643953e-12	0.1	6.627033e-10	3.254096e-09	0.1	6.627033e-10	2.29536789e-09	0.1	6.627033e-10	6.905495e-18	0.1
7.324733e-10	5.384102158439999e-07	0.1	7.324733e-10	1.498324e-10	0.1	7.324733e-10	9.4548607e-06	0.1	7.324733e-10	2.69313e-12	0.1	7.324733e-10	3.314621e-09	0.1	7.324733e-10	2.33806015e-09	0.1	7.324733e-10	7.033934e-18	0.1
8.051283e-10	4.0294997046e-07	0.1	8.051283e-10	1.519776e-10	0.1	8.051283e-10	9.590225299999998e-06	0.1	8.051283e-10	2.731687e-12	0.1	8.051283e-10	3.362077e-09	0.1	8.051283e-10	2.37153472e-09	0.1	8.051283e-10	7.134639e-18	0.1
8.893234e-10	2.8800351993600004e-07	0.1	8.893234e-10	1.537979e-10	0.1	8.893234e-10	9.7050915e-06	0.1	8.893234e-10	2.764406e-12	0.1	8.893234e-10	3.402346e-09	0.1	8.893234e-10	2.39993893e-09	0.1	8.893234e-10	7.220094e-18	0.1
9.735185e-10	2.05847041509e-07	0.1	9.735185e-10	1.550989e-10	0.1	9.735185e-10	9.7871909e-06	0.1	9.735185e-10	2.787791e-12	0.1	9.735185e-10	3.431127e-09	0.1	9.735185e-10	2.42024165e-09	0.1	9.735185e-10	7.281171e-18	0.1
1.057714e-09	1.4712662871900002e-07	0.1	1.057714e-09	1.560288e-10	0.1	1.057714e-09	9.8458698e-06	0.1	1.057714e-09	2.804505e-12	0.1	1.057714e-09	3.451699e-09	0.1	1.057714e-09	2.43475212e-09	0.1	1.057714e-09	7.324826e-18	0.1
