	T[K]	P2	P5
600 0.99813 0.00012
700 0.99768 0.00076
800 0.99568 0.00289
900 0.99142 0.00701
1000 0.98640 0.01223
1100 0.98105 0.01750
1200 0.97648 0.02218
1300 0.97258 0.02605
1400 0.96939 0.02931
1500 0.96651 0.03199
1600 0.96429 0.03437
1700 0.96169 0.03626
1800 0.96023 0.03779
1900 0.95874 0.03924
2000 0.95759 0.04036
2100 0.95654 0.04136
2200 0.95575 0.04212
2300 0.95477 0.04305
