	T[K]	P2	P5
600 0.99816 0.00000
700 0.99814 0.00002
800 0.99820 0.00006
900 0.99819 0.00016
1000 0.99802 0.00041
1100 0.99748 0.00090
1200 0.99673 0.00183
1300 0.99511 0.00340
1400 0.99259 0.00588
1500 0.98912 0.00936
1600 0.98484 0.01373
1700 0.97977 0.01878
1800 0.97449 0.02405
1900 0.96920 0.02948
2000 0.96434 0.03421
2100 0.95987 0.03866
2200 0.95608 0.04239
2300 0.95258 0.04561
2400 0.94927 0.04834
2500 0.94826 0.05039
