	T[K]	P2	P5
600 0.99807 0.00003
700 0.99817 0.00016
800 0.99765 0.00071
900 0.99615 0.00232
1000 0.99284 0.00568
1100 0.98775 0.01080
1200 0.98151 0.01697
1300 0.97542 0.02306
1400 0.97008 0.02854
1500 0.96555 0.03306
1600 0.96185 0.03666
1700 0.95867 0.03970
1800 0.95633 0.04231
1900 0.95382 0.04415
2000 0.95200 0.04584
2100 0.95125 0.04722
2200 0.95003 0.04841
2300 0.94878 0.04963
2400 0.94725 0.05114
2500 0.94629 0.05210
