	T[K]	P2	P5
600 0.99816 0.00001
700 0.99812 0.00006
800 0.99817 0.00020
900 0.99778 0.00060
1000 0.99690 0.00157
1100 0.99494 0.00355
1200 0.99160 0.00692
1300 0.98679 0.01176
1400 0.98099 0.01754
1500 0.97490 0.02363
1600 0.96920 0.02946
1700 0.96400 0.03467
1800 0.95959 0.03907
1900 0.95570 0.04275
2000 0.95196 0.04572
2100 0.94981 0.04841
2200 0.94818 0.05025
2300 0.94646 0.05193
2400 0.94512 0.05328
2500 0.94390 0.05451
