Batch	m_SP	2	P2_L	W4_L	
7.518378000000e-14	9.772451567060e-06	1.000000000000e-01	7.518378000000e-14	1.826624730000e-07	1.000000000000e-01
1.785059000000e-13	9.526250021189e-06	1.000000000000e-01	1.785059000000e-13	4.282179800000e-07	1.000000000000e-01
3.950494000000e-13	9.030236481658e-06	1.000000000000e-01	3.950494000000e-13	9.229683300000e-07	1.000000000000e-01
7.872414000000e-13	8.196817800365e-06	1.000000000000e-01	7.872414000000e-13	1.754375430000e-06	1.000000000000e-01
1.372667000000e-12	7.093900799146e-06	1.000000000000e-01	1.372667000000e-12	2.854848380000e-06	1.000000000000e-01
2.058701000000e-12	5.989057786449e-06	1.000000000000e-01	2.058701000000e-12	3.957504670000e-06	1.000000000000e-01
2.782038000000e-12	5.010183934317e-06	1.000000000000e-01	2.782038000000e-12	4.934672200000e-06	1.000000000000e-01
3.654589000000e-12	4.040027287838e-06	1.000000000000e-01	3.654589000000e-12	5.903359400000e-06	1.000000000000e-01
4.527141000000e-12	3.257896500767e-06	1.000000000000e-01	4.527141000000e-12	6.684478600000e-06	1.000000000000e-01
5.399692000000e-12	2.627298989969e-06	1.000000000000e-01	5.399692000000e-12	7.314379000000e-06	1.000000000000e-01
6.272244000000e-12	2.118839779357e-06	1.000000000000e-01	6.272244000000e-12	7.822358300000e-06	1.000000000000e-01
7.289781000000e-12	1.648857108198e-06	1.000000000000e-01	7.289781000000e-12	8.291968000000e-06	1.000000000000e-01
8.343564000000e-12	1.271758925313e-06	1.000000000000e-01	8.343564000000e-12	8.668815700000e-06	1.000000000000e-01
9.397347000000e-12	9.809369732682e-07	1.000000000000e-01	9.397347000000e-12	8.959481500000e-06	1.000000000000e-01
1.045113000000e-11	7.566398181010e-07	1.000000000000e-01	1.045113000000e-11	9.183678100000e-06	1.000000000000e-01
1.159078000000e-11	5.714263223450e-07	1.000000000000e-01	1.159078000000e-11	9.368824000000e-06	1.000000000000e-01
1.285924000000e-11	4.180820782912e-07	1.000000000000e-01	1.285924000000e-11	9.522124700000e-06	1.000000000000e-01
1.412771000000e-11	3.058948654803e-07	1.000000000000e-01	1.412771000000e-11	9.634286600000e-06	1.000000000000e-01
1.539617000000e-11	2.238154397417e-07	1.000000000000e-01	1.539617000000e-11	9.716350900000e-06	1.000000000000e-01
1.682611000000e-11	1.573773888793e-07	1.000000000000e-01	1.682611000000e-11	9.782781500000e-06	1.000000000000e-01
1.836370000000e-11	1.077671501939e-07	1.000000000000e-01	1.836370000000e-11	9.832385900000e-06	1.000000000000e-01
