Batch	m_SP	13	W2	W1	W3	W4	W5	W6	R	P1	P2	P3	P4	P5	P6																							
2.949186e-05	0.9854192	0.1	2.949186e-05	7.075234e-09	0.1	2.949186e-05	0.01457961	0.1	2.949186e-05	4.992361e-07	0.1	2.949186e-05	6.793799e-07	0.1	2.949186e-05	1.805847e-08	0.1	2.949186e-05	2.178159e-11	0.1	2.949186e-05	5.513707e-09	0.1	2.949186e-05	1.498926e-10	0.1	2.949186e-05	1.689162e-11	0.1	2.949186e-05	3.866526e-12	0.1	2.949186e-05	2.854353e-12	0.1	2.949186e-05	4.12788e-20	0.1
5.021528e-05	0.9753009	0.1	5.021528e-05	1.146477e-08	0.1	5.021528e-05	0.02469708	0.1	5.021528e-05	8.445563e-07	0.1	5.021528e-05	1.152477e-06	0.1	5.021528e-05	3.226367e-08	0.1	5.021528e-05	3.689679e-11	0.1	5.021528e-05	9.421648e-09	0.1	5.021528e-05	2.538917e-10	0.1	5.021528e-05	2.861082e-11	0.1	5.021528e-05	6.552138e-12	0.1	5.021528e-05	4.834828e-12	0.1	5.021528e-05	6.992128e-20	0.1
8.47543e-05	0.9586673	0.1	8.47543e-05	1.868075e-08	0.1	8.47543e-05	0.0413292	0.1	8.47543e-05	1.412229e-06	0.1	8.47543e-05	1.930202e-06	0.1	8.47543e-05	5.868028e-08	0.1	8.47543e-05	6.174435e-11	0.1	8.47543e-05	1.599578e-08	0.1	8.47543e-05	4.247745e-10	0.1	8.47543e-05	4.78659e-11	0.1	8.47543e-05	1.097148e-11	0.1	8.47543e-05	8.089421e-12	0.1	8.47543e-05	1.169959e-19	0.1
0.0001401416	0.9325838	0.1	0.0001401416	2.999635e-08	0.1	0.0001401416	0.06741055	0.1	0.0001401416	2.302415e-06	0.1	0.0001401416	3.149779e-06	0.1	0.0001401416	1.08065e-07	0.1	0.0001401416	1.007071e-10	0.1	0.0001401416	2.669493e-08	0.1	0.0001401416	6.923746e-10	0.1	0.0001401416	7.801715e-11	0.1	0.0001401416	1.791314e-11	0.1	0.0001401416	1.31883e-11	0.1	0.0001401416	1.907692e-19	0.1
0.0002184818	0.8968982	0.1	0.0002184818	4.547755e-08	0.1	0.0002184818	0.1030931	0.1	0.0002184818	3.520304e-06	0.1	0.0002184818	4.818315e-06	0.1	0.0002184818	1.92278e-07	0.1	0.0002184818	1.540079e-10	0.1	0.0002184818	4.215089e-08	0.1	0.0002184818	1.057248e-09	0.1	0.0002184818	1.191262e-10	0.1	0.0002184818	2.743417e-11	0.1	0.0002184818	2.014862e-11	0.1	0.0002184818	2.915488e-19	0.1
0.0003445856	0.8423012	0.1	0.0003445856	6.916298e-08	0.1	0.0003445856	0.1576855	0.1	0.0003445856	5.38361e-06	0.1	0.0003445856	7.371089e-06	0.1	0.0003445856	3.616843e-07	0.1	0.0003445856	2.355355e-10	0.1	0.0003445856	6.78004e-08	0.1	0.0003445856	1.610856e-09	0.1	0.0003445856	1.814996e-10	0.1	0.0003445856	4.205869e-11	0.1	0.0003445856	3.074009e-11	0.1	0.0003445856	4.451769e-19	0.1
0.0004987061	0.7800668	0.1	0.0004987061	9.616175e-08	0.1	0.0004987061	0.2199145	0.1	0.0004987061	7.507574e-06	0.1	0.0004987061	1.028097e-05	0.1	0.0004987061	6.221463e-07	0.1	0.0004987061	3.284203e-10	0.1	0.0004987061	1.003844e-07	0.1	0.0004987061	2.231e-09	0.1	0.0004987061	2.51382e-10	0.1	0.0004987061	5.88238e-11	0.1	0.0004987061	4.267869e-11	0.1	0.0004987061	6.189832e-19	0.1
0.0007230302	0.6976082	0.1	0.0007230302	1.319345e-07	0.1	0.0007230302	0.3023658	0.1	0.0007230302	1.032177e-05	0.1	0.0007230302	1.413649e-05	0.1	0.0007230302	1.097799e-06	0.1	0.0007230302	4.513633e-10	0.1	0.0007230302	1.501001e-07	0.1	0.0007230302	3.024564e-09	0.1	0.0007230302	3.408562e-10	0.1	0.0007230302	8.121795e-11	0.1	0.0007230302	5.815031e-11	0.1	0.0007230302	8.458752e-19	0.1
0.0009473543	0.6238662	0.1	0.0009473543	1.639259e-07	0.1	0.0009473543	0.3761011	0.1	0.0009473543	1.28385e-05	0.1	0.0009473543	1.758447e-05	0.1	0.0009473543	1.676965e-06	0.1	0.0009473543	5.611206e-10	0.1	0.0009473543	2.023487e-07	0.1	0.0009473543	3.694228e-09	0.1	0.0009473543	4.16445e-10	0.1	0.0009473543	1.014544e-10	0.1	0.0009473543	7.148981e-11	0.1	0.0009473543	1.04389e-18	0.1
0.001171678	0.5579195	0.1	0.001171678	1.925358e-07	0.1	0.001171678	0.4420417	0.1	0.001171678	1.508921e-05	0.1	0.001171678	2.066799e-05	0.1	0.001171678	2.34862e-06	0.1	0.001171678	6.590497e-10	0.1	0.001171678	2.569472e-07	0.1	0.001171678	4.248578e-09	0.1	0.001171678	4.791211e-10	0.1	0.001171678	1.19758e-10	0.1	0.001171678	8.286027e-11	0.1	0.001171678	1.215425e-18	0.1
