Batch	m_SP	5	W1	W2	Pr1	Pr2	Pr3							
1.941218e+22	0.9901339	0.1	1.941218e+22	2.229586e-15	0.1	1.941218e+22	3.205774e-07	0.1	1.941218e+22	0.004932735	0.1	1.941218e+22	1.426131e-20	0.1
1.94642e+22	0.9901076	0.1	1.94642e+22	2.229527e-15	0.1	1.94642e+22	3.205711e-07	0.1	1.94642e+22	0.004945856	0.1	1.94642e+22	0.0	0.1
1.958125e+22	0.9900486	0.1	1.958125e+22	2.229394e-15	0.1	1.958125e+22	3.205567e-07	0.1	1.958125e+22	0.004975375	0.1	1.958125e+22	1.426203e-20	0.1
1.989337e+22	0.9898912	0.1	1.989337e+22	2.229039e-15	0.1	1.989337e+22	3.205186e-07	0.1	1.989337e+22	0.00505408	0.1	1.989337e+22	0.0	0.1
2.041357e+22	0.9896289	0.1	2.041357e+22	3.137411e-15	0.1	2.041357e+22	3.20455e-07	0.1	2.041357e+22	0.005185213	0.1	2.041357e+22	0.0	0.1
2.041357e+22	0.9896289	0.1	2.041357e+22	2.859458e-15	0.1	2.041357e+22	3.20455e-07	0.1	2.041357e+22	0.005185213	0.1	2.041357e+22	0.0	0.1
2.041357e+22	0.9896289	0.1	2.041357e+22	3.081542e-15	0.1	2.041357e+22	3.20455e-07	0.1	2.041357e+22	0.005185213	0.1	2.041357e+22	0.0	0.1
2.041357e+22	0.9896289	0.1	2.041357e+22	3.134701e-15	0.1	2.041357e+22	3.20455e-07	0.1	2.041357e+22	0.005185213	0.1	2.041357e+22	0.0	0.1
2.041357e+22	0.9896289	0.1	2.041357e+22	3.179132e-15	0.1	2.041357e+22	3.20455e-07	0.1	2.041357e+22	0.005185213	0.1	2.041357e+22	0.0	0.1
2.041357e+22	0.9896289	0.1	2.041357e+22	2.696868e-15	0.1	2.041357e+22	3.20455e-07	0.1	2.041357e+22	0.005185213	0.1	2.041357e+22	0.0	0.1
2.041357e+22	0.9896289	0.1	2.041357e+22	2.991968e-15	0.1	2.041357e+22	3.20455e-07	0.1	2.041357e+22	0.005185213	0.1	2.041357e+22	0.0	0.1
2.041357e+22	0.9896289	0.1	2.041357e+22	3.134701e-15	0.1	2.041357e+22	3.20455e-07	0.1	2.041357e+22	0.005185213	0.1	2.041357e+22	0.0	0.1
2.041357e+22	0.9896289	0.1	2.041357e+22	3.163845e-15	0.1	2.041357e+22	3.20455e-07	0.1	2.041357e+22	0.005185213	0.1	2.041357e+22	0.0	0.1
2.041357e+22	0.9896289	0.1	2.041357e+22	2.228453e-15	0.1	2.041357e+22	3.20455e-07	0.1	2.041357e+22	0.005185213	0.1	2.041357e+22	1.754716e-21	0.1
2.041357e+22	0.9896289	0.1	2.041357e+22	2.228449e-15	0.1	2.041357e+22	3.20455e-07	0.1	2.041357e+22	0.005185213	0.1	2.041357e+22	0.0	0.1
2.041357e+22	0.9896289	0.1	2.041357e+22	2.228449e-15	0.1	2.041357e+22	3.20455e-07	0.1	2.041357e+22	0.005185213	0.1	2.041357e+22	0.0	0.1
2.041357e+22	0.9896289	0.1	2.041357e+22	2.228449e-15	0.1	2.041357e+22	3.20455e-07	0.1	2.041357e+22	0.005185213	0.1	2.041357e+22	0.0	0.1
2.041357e+22	0.9896289	0.1	2.041357e+22	2.228449e-15	0.1	2.041357e+22	3.20455e-07	0.1	2.041357e+22	0.005185213	0.1	2.041357e+22	2.809259e-29	0.1
2.041357e+22	0.9896289	0.1	2.041357e+22	2.228449e-15	0.1	2.041357e+22	3.20455e-07	0.1	2.041357e+22	0.005185213	0.1	2.041357e+22	1.997966e-28	0.1
2.041357e+22	0.9896289	0.1	2.041357e+22	2.228449e-15	0.1	2.041357e+22	3.20455e-07	0.1	2.041357e+22	0.005185213	0.1	2.041357e+22	8.083249e-28	0.1
2.041357e+22	0.9896289	0.1	2.041357e+22	2.228449e-15	0.1	2.041357e+22	3.20455e-07	0.1	2.041357e+22	0.005185214	0.1	2.041357e+22	2.637266e-27	0.1
2.041358e+22	0.9896289	0.1	2.041358e+22	2.228449e-15	0.1	2.041358e+22	3.20455e-07	0.1	2.041358e+22	0.005185214	0.1	2.041358e+22	9.106697e-27	0.1
2.041358e+22	0.9896289	0.1	2.041358e+22	2.228449e-15	0.1	2.041358e+22	3.20455e-07	0.1	2.041358e+22	0.005185216	0.1	2.041358e+22	2.950808e-26	0.1
2.041361e+22	0.9896289	0.1	2.041361e+22	2.228449e-15	0.1	2.041361e+22	3.20455e-07	0.1	2.041361e+22	0.005185223	0.1	2.041361e+22	2.105946e-20	0.1
2.04137e+22	0.9896289	0.1	2.04137e+22	2.228449e-15	0.1	2.04137e+22	3.20455e-07	0.1	2.04137e+22	0.005185245	0.1	2.04137e+22	0.0	0.1
2.041398e+22	0.9896287	0.1	2.041398e+22	2.228448e-15	0.1	2.041398e+22	3.204549e-07	0.1	2.041398e+22	0.005185316	0.1	2.041398e+22	4.114619e-20	0.1
2.041479e+22	0.9896283	0.1	2.041479e+22	2.228447e-15	0.1	2.041479e+22	3.204548e-07	0.1	2.041479e+22	0.005185521	0.1	2.041479e+22	0.0	0.1
2.041764e+22	0.9896269	0.1	2.041764e+22	2.228444e-15	0.1	2.041764e+22	3.204545e-07	0.1	2.041764e+22	0.005186238	0.1	2.041764e+22	2.858915e-20	0.1
