Batch	m_SP	7	P3	W4_L	W3	R	P1	P2_L	P4											
2.47364e-12	9.6635803968522e-06	0.1	2.47364e-12	1.475797e-07	0.1	2.47364e-12	3.66243e-10	0.1	2.47364e-12	3.61418e-08	0.1	2.47364e-12	3.201984e-08	0.1	2.47364e-12	1.1990841e-07	0.1	2.47364e-12	1.505226e-10	0.1
5.460002e-12	9.272919415257202e-06	0.1	5.460002e-12	3.205958e-07	0.1	5.460002e-12	7.982199e-10	0.1	5.460002e-12	7.838208e-08	0.1	5.460002e-12	7.158241e-08	0.1	5.460002e-12	2.5492697999999997e-07	0.1	5.460002e-12	3.273331e-10	0.1
9.548712e-12	8.7641057287812e-06	0.1	9.548712e-12	5.486485e-07	0.1	9.548712e-12	1.372004e-09	0.1	9.548712e-12	1.338389e-07	0.1	9.548712e-12	1.27138e-07	0.1	9.548712e-12	4.2352777e-07	0.1	9.548712e-12	5.609672e-10	0.1
1.625809e-11	7.9902579004536e-06	0.1	1.625809e-11	9.018458e-07	0.1	1.625809e-11	2.270823e-09	0.1	1.625809e-11	2.192188e-07	0.1	1.625809e-11	2.210636e-07	0.1	1.625809e-11	6.6294926e-07	0.1	1.625809e-11	9.241519e-10	0.1
2.788116e-11	6.8112251191113995e-06	0.1	2.788116e-11	1.456703e-06	0.1	2.788116e-11	3.709033e-09	0.1	2.788116e-11	3.520379e-07	0.1	2.788116e-11	3.889202e-07	0.1	2.788116e-11	9.830491e-07	0.1	2.788116e-11	1.498165e-09	0.1
4.064867e-11	5.7198335091433e-06	0.1	4.064867e-11	1.991763e-06	0.1	4.064867e-11	5.128369e-09	0.1	4.064867e-11	4.785018e-07	0.1	4.064867e-11	5.759024e-07	0.1	4.064867e-11	1.22219e-06	0.1	4.064867e-11	2.055998e-09	0.1
5.513283e-11	4.6963984604472e-06	0.1	5.513283e-11	2.516829e-06	0.1	5.513283e-11	6.554865e-09	0.1	5.513283e-11	6.00933e-07	0.1	5.513283e-11	7.854265e-07	0.1	5.513283e-11	1.3844463e-06	0.1	5.513283e-11	2.607887e-09	0.1
6.9617e-11	3.8601998351335e-06	0.1	6.9617e-11	2.96701e-06	0.1	6.9617e-11	7.806941e-09	0.1	6.9617e-11	7.044699e-07	0.1	6.9617e-11	9.874788e-07	0.1	6.9617e-11	1.460897e-06	0.1	6.9617e-11	3.084937e-09	0.1
8.410116e-11	3.176395882792e-06	0.1	8.410116e-11	3.353187e-06	0.1	8.410116e-11	8.904409e-09	0.1	8.410116e-11	7.921378e-07	0.1	8.410116e-11	1.178841e-06	0.1	8.410116e-11	1.4757473e-06	0.1	8.410116e-11	3.497299e-09	0.1
9.858532e-11	2.6167110757354e-06	0.1	9.858532e-11	3.684631e-06	0.1	9.858532e-11	9.865199e-09	0.1	9.858532e-11	8.664609e-07	0.1	9.858532e-11	1.357589e-06	0.1	9.858532e-11	1.4474349e-06	0.1	9.858532e-11	3.853754e-09	0.1
1.148231e-10	2.1086066420875e-06	0.1	1.148231e-10	4.000859e-06	0.1	1.148231e-10	1.07997e-08	0.1	1.148231e-10	9.365112e-07	0.1	1.148231e-10	1.541797e-06	0.1	1.148231e-10	1.3814786000000001e-06	0.1	1.148231e-10	4.196257e-09	0.1
1.3223e-10	1.6758137168955e-06	0.1	1.3223e-10	4.285129e-06	0.1	1.3223e-10	1.165613e-08	0.1	1.3223e-10	9.987004e-07	0.1	1.3223e-10	1.719896e-06	0.1	1.3223e-10	1.286273e-06	0.1	1.3223e-10	4.506375e-09	0.1
1.496369e-10	1.3342837875170999e-06	0.1	1.496369e-10	4.522176e-06	0.1	1.496369e-10	1.238342e-08	0.1	1.496369e-10	1.049941e-06	0.1	1.496369e-10	1.87839e-06	0.1	1.496369e-10	1.1779706e-06	0.1	1.496369e-10	4.766779e-09	0.1
1.670437e-10	1.0643580567268e-06	0.1	1.670437e-10	4.719986e-06	0.1	1.670437e-10	1.300045e-08	0.1	1.670437e-10	1.092233e-06	0.1	1.670437e-10	2.018311e-06	0.1	1.670437e-10	1.0651901e-06	0.1	1.670437e-10	4.985486e-09	0.1
1.858593e-10	8.3546868811866e-07	0.1	1.858593e-10	4.897283e-06	0.1	1.858593e-10	1.35622e-08	0.1	1.858593e-10	1.129747e-06	0.1	1.858593e-10	2.150254e-06	0.1	1.858593e-10	9.448038000000001e-07	0.1	1.858593e-10	5.182736e-09	0.1
2.06788e-10	6.3995672446498e-07	0.1	2.06788e-10	5.058012e-06	0.1	2.06788e-10	1.407941e-08	0.1	2.06788e-10	1.16341e-06	0.1	2.06788e-10	2.275774e-06	0.1	2.06788e-10	8.180132000000001e-07	0.1	2.06788e-10	5.362691e-09	0.1
2.277167e-10	4.916481134947201e-07	0.1	2.277167e-10	5.187664e-06	0.1	2.277167e-10	1.450284e-08	0.1	2.277167e-10	1.190306e-06	0.1	2.277167e-10	2.381574e-06	0.1	2.277167e-10	7.019673e-07	0.1	2.277167e-10	5.508758e-09	0.1
2.486454e-10	3.7885300964266e-07	0.1	2.486454e-10	5.292346e-06	0.1	2.486454e-10	1.484931e-08	0.1	2.486454e-10	1.211845e-06	0.1	2.486454e-10	2.470297e-06	0.1	2.486454e-10	5.981428000000001e-07	0.1	2.486454e-10	5.627381e-09	0.1
2.730726e-10	2.8058132792424004e-07	0.1	2.730726e-10	5.389414e-06	0.1	2.730726e-10	1.517481e-08	0.1	2.730726e-10	1.23167e-06	0.1	2.730726e-10	2.555512e-06	0.1	2.730726e-10	4.9270681e-07	0.1	2.730726e-10	5.73803e-09	0.1
2.983745e-10	2.0650402955409e-07	0.1	2.983745e-10	5.467584e-06	0.1	2.983745e-10	1.544038e-08	0.1	2.983745e-10	1.247533e-06	0.1	2.983745e-10	2.626453e-06	0.1	2.983745e-10	4.0048679e-07	0.1	2.983745e-10	5.827696e-09	0.1
3.236763e-10	1.5268817760483e-07	0.1	3.236763e-10	5.52815e-06	0.1	3.236763e-10	1.564869e-08	0.1	3.236763e-10	1.259766e-06	0.1	3.236763e-10	2.683032e-06	0.1	3.236763e-10	3.2387897e-07	0.1	3.236763e-10	5.897604e-09	0.1
3.532311e-10	1.079437887658e-07	0.1	3.532311e-10	5.581919e-06	0.1	3.532311e-10	1.583595e-08	0.1	3.532311e-10	1.270595e-06	0.1	3.532311e-10	2.734621e-06	0.1	3.532311e-10	2.5149406e-07	0.1	3.532311e-10	5.96009e-09	0.1
