	T[K]	N7a	N7b	N7c
600 0.02833 0.13498 0.83669
700 0.02598 0.10960 0.86199
800 0.03255 0.12358 0.84111
900 0.03836 0.13484 0.82368
1000 0.04343 0.14401 0.80992
1100 0.04777 0.15137 0.79860
1200 0.05146 0.15719 0.78903
1300 0.05462 0.16181 0.78125
1400 0.05733 0.16543 0.77472
1500 0.05970 0.16840 0.76975
1600 0.06175 0.17071 0.76531
1700 0.06355 0.17261 0.76182
1800 0.06514 0.17414 0.75888
1900 0.06655 0.17535 0.75631
2000 0.06785 0.17635 0.75427
