Batch	m_SP	5	Flvln	N1a_L	N7a_L	Nphln	Azln							
7.028229e-12	9.89668903212e-06	0.1	7.028229e-12	1.0296215000000001e-07	0.1	7.028229e-12	1.6030394e-10	0.1	7.028229e-12	7.747886e-11	0.1	7.028229e-12	5.82359e-12	0.1
1.322121e-11	9.806626932750001e-06	0.1	1.322121e-11	1.928069764e-07	0.1	1.322121e-11	3.0437004999999997e-10	0.1	1.322121e-11	1.451008e-10	0.1	1.322121e-11	1.090526e-11	0.1
2.560716e-11	9.62895470949e-06	0.1	2.560716e-11	3.7005114699999993e-07	0.1	2.560716e-11	5.8858471e-10	0.1	2.560716e-11	2.785413e-10	0.1	2.560716e-11	2.093028e-11	0.1
5.037907e-11	9.28320816699e-06	0.1	5.037907e-11	7.149640540000002e-07	0.1	5.037907e-11	1.1416714100000001e-09	0.1	5.037907e-11	5.383592e-10	0.1	5.037907e-11	4.043872e-11	0.1
9.49685e-11	8.69184908064e-06	0.1	9.49685e-11	1.304896951e-06	0.1	9.49685e-11	2.0876995e-09	0.1	9.49685e-11	9.83218e-10	0.1	9.49685e-11	7.380562e-11	0.1
1.576141e-10	7.924112758079999e-06	0.1	1.576141e-10	2.0707817839999997e-06	0.1	1.576141e-10	3.3159664e-09	0.1	1.576141e-10	1.561726e-09	0.1	1.576141e-10	1.171245e-10	0.1
2.478026e-10	6.93635963571e-06	0.1	2.478026e-10	3.056153679e-06	0.1	2.478026e-10	4.8963788e-09	0.1	2.478026e-10	2.30785e-09	0.1	2.478026e-10	1.728576e-10	0.1
3.662037e-10	5.82405775884e-06	0.1	3.662037e-10	4.16577442e-06	0.1	3.662037e-10	6.6763096e-09	0.1	3.662037e-10	3.150991e-09	0.1	3.662037e-10	2.356183e-10	0.1
4.955162e-10	4.81198887963e-06	0.1	4.955162e-10	5.1754039e-06	0.1	4.955162e-10	8.296119999999999e-09	0.1	4.955162e-10	3.921523e-09	0.1	4.955162e-10	2.927234e-10	0.1
6.684735e-10	3.7277187224400004e-06	0.1	6.684735e-10	6.25705842e-06	0.1	6.684735e-10	1.0031868000000001e-08	0.1	6.684735e-10	4.75171e-09	0.1	6.684735e-10	3.539023e-10	0.1
8.414308e-10	2.8877641220700003e-06	0.1	8.414308e-10	7.0949880400000005e-06	0.1	8.414308e-10	1.1376877099999999e-08	0.1	8.414308e-10	5.399375e-09	0.1	8.414308e-10	4.012961e-10	0.1
1.014388e-09	2.23707362904e-06	0.1	1.014388e-09	7.74411e-06	0.1	1.014388e-09	1.2419131499999999e-08	0.1	1.014388e-09	5.904939e-09	0.1	1.014388e-09	4.380107e-10	0.1
1.187345e-09	1.7330016698100002e-06	0.1	1.187345e-09	8.24696721e-06	0.1	1.187345e-09	1.3226803700000002e-08	0.1	1.187345e-09	6.299825e-09	0.1	1.187345e-09	4.664526e-10	0.1
1.360303e-09	1.34250957477e-06	0.1	1.360303e-09	8.636516860000002e-06	0.1	1.360303e-09	1.38527084e-08	0.1	1.360303e-09	6.608466e-09	0.1	1.360303e-09	4.884857e-10	0.1
1.53326e-09	1.04000659983e-06	0.1	1.53326e-09	8.938291199999999e-06	0.1	1.53326e-09	1.43377681e-08	0.1	1.53326e-09	6.849872e-09	0.1	1.53326e-09	5.055542e-10	0.1
1.706217e-09	8.05665243267e-07	0.1	1.706217e-09	9.172067640000002e-06	0.1	1.706217e-09	1.47136895e-08	0.1	1.706217e-09	7.038833e-09	0.1	1.706217e-09	5.187767e-10	0.1
1.879175e-09	6.24127358664e-07	0.1	1.879175e-09	9.35316763e-06	0.1	1.879175e-09	1.50050406e-08	0.1	1.879175e-09	7.186862e-09	0.1	1.879175e-09	5.290198e-10	0.1
2.059094e-09	4.785511144409999e-07	0.1	2.059094e-09	9.49839259e-06	0.1	2.059094e-09	1.5238797e-08	0.1	2.059094e-09	7.307034e-09	0.1	2.059094e-09	5.372338e-10	0.1
2.266864e-09	3.52151378451e-07	0.1	2.266864e-09	9.62448797e-06	0.1	2.266864e-09	1.5441884e-08	0.1	2.266864e-09	7.412905e-09	0.1	2.266864e-09	5.443658e-10	0.1
2.474633e-09	2.59137608598e-07	0.1	2.474633e-09	9.71727765e-06	0.1	2.474633e-09	1.559144e-08	0.1	2.474633e-09	7.492151e-09	0.1	2.474633e-09	5.49614e-10	0.1
2.682402e-09	1.9069159306500002e-07	0.1	2.682402e-09	9.785558240000001e-06	0.1	2.682402e-09	1.5701583e-08	0.1	2.682402e-09	7.55156e-09	0.1	2.682402e-09	5.534761e-10	0.1
2.907418e-09	1.36796732019e-07	0.1	2.907418e-09	9.83932383e-06	0.1	2.907418e-09	1.5788390999999998e-08	0.1	2.907418e-09	7.599331e-09	0.1	2.907418e-09	5.56517e-10	0.1
