Batch	m_SP	2	P2_L	W4_L	
5.858115e-13	9.8849905662346e-06	0.1	5.858115e-13	1.1452094999999999e-07	0.1
1.89453e-12	9.6332459412278e-06	0.1	1.89453e-12	3.6563749999999997e-07	0.1
5.325381e-12	9.0033187600234e-06	0.1	5.325381e-12	9.9401309e-07	0.1
1.108049e-11	8.037808980605201e-06	0.1	1.108049e-11	1.9572038e-06	0.1
1.857008e-11	6.934717232881399e-06	0.1	1.857008e-11	3.0577336000000003e-06	0.1
2.362142e-11	6.2775866257563995e-06	0.1	2.362142e-11	3.7133863999999997e-06	0.1
2.95502e-11	5.5853250312652005e-06	0.1	2.95502e-11	4.404132899999999e-06	0.1
3.679516e-11	4.842189404275e-06	0.1	3.679516e-11	5.145689499999999e-06	0.1
4.973226e-11	3.7525403346922598e-06	0.1	4.973226e-11	6.2331246e-06	0.1
6.266937e-11	2.90814880186068e-06	0.1	6.266937e-11	7.0758883e-06	0.1
7.560647e-11	2.25379615517536e-06	0.1	7.560647e-11	7.7290385e-06	0.1
8.854357e-11	1.74670042229286e-06	0.1	8.854357e-11	8.2352419e-06	0.1
1.014807e-10	1.35371471716416e-06	0.1	1.014807e-10	8.627562699999999e-06	0.1
1.144178e-10	1.0491564734508602e-06	0.1	1.144178e-10	8.9316246e-06	0.1
1.273549e-10	8.1312421419046e-07	0.1	1.273549e-10	9.1672829e-06	0.1
1.419211e-10	6.10294468466508e-07	0.1	1.419211e-10	9.3698001e-06	0.1
1.575734e-10	4.4836723097603e-07	0.1	1.575734e-10	9.5314858e-06	0.1
1.732257e-10	3.2940613824547004e-07	0.1	1.732257e-10	9.6502745e-06	0.1
1.888781e-10	2.4200943201455397e-07	0.1	1.888781e-10	9.7375458e-06	0.1
2.071424e-10	1.6888475773729002e-07	0.1	2.071424e-10	9.8105681e-06	0.1
2.260598e-10	1.1634960396138e-07	0.1	2.260598e-10	9.8630314e-06	0.1
