Batch	m_SP	13	P1	W1	W2	W3	W4	W5	W6	R	P2	P3	P4	P5	P6																							
2.853867e-07	9.999832000680001e-06	0.1	2.853867e-07	1.391148e-114	0.1	2.853867e-07	1.391148e-114	0.1	2.853867e-07	4.994365e-13	0.1	2.853867e-07	1.391148e-114	0.1	2.853867e-07	1.391148e-114	0.1	2.853867e-07	1.391148e-114	0.1	2.853867e-07	1.864941e-12	0.1	2.853867e-07	5.412041e-11	0.1	2.853867e-07	3.576345e-12	0.1	2.853867e-07	7.009666e-12	0.1	2.853867e-07	9.434747e-13	0.1	2.853867e-07	1.029455e-15	0.1
9.463339e-07	9.99967500225e-06	0.1	9.463339e-07	4.612979e-114	0.1	9.463339e-07	4.612979e-114	0.1	9.463339e-07	5.19551e-13	0.1	9.463339e-07	4.612979e-114	0.1	9.463339e-07	4.612979e-114	0.1	9.463339e-07	4.612979e-114	0.1	9.463339e-07	6.184928e-12	0.1	9.463339e-07	1.794658e-10	0.1	9.463339e-07	1.186018e-11	0.1	9.463339e-07	2.410448e-11	0.1	9.463339e-07	3.128817e-12	0.1	9.463339e-07	3.413626e-15	0.1
9.098463e-06	9.99773602164e-06	0.1	9.098463e-06	4.434587e-113	0.1	9.098463e-06	4.434587e-113	0.1	9.098463e-06	5.179864e-13	0.1	9.098463e-06	4.434587e-113	0.1	9.098463e-06	4.434587e-113	0.1	9.098463e-06	4.434587e-113	0.1	9.098463e-06	5.946217e-11	0.1	9.098463e-06	1.725265e-09	0.1	9.098463e-06	1.140213e-10	0.1	9.098463e-06	2.351136e-10	0.1	9.098463e-06	3.007992e-11	0.1	9.098463e-06	3.281705e-14	0.1
3.502819e-05	9.991570083299999e-06	0.1	3.502819e-05	1.706772e-112	0.1	3.502819e-05	1.706772e-112	0.1	3.502819e-05	5.176686e-13	0.1	3.502819e-05	1.706772e-112	0.1	3.502819e-05	1.706772e-112	0.1	3.502819e-05	1.706772e-112	0.1	3.502819e-05	2.289036e-10	0.1	3.502819e-05	6.639774e-09	0.1	3.502819e-05	4.388956e-10	0.1	3.502819e-05	9.060186e-10	0.1	3.502819e-05	1.157905e-10	0.1	3.502819e-05	1.263369e-13	0.1
9.264979e-05	9.97788722013e-06	0.1	9.264979e-05	4.511357e-112	0.1	9.264979e-05	4.511357e-112	0.1	9.264979e-05	5.169706e-13	0.1	9.264979e-05	4.511357e-112	0.1	9.264979e-05	4.511357e-112	0.1	9.264979e-05	4.511357e-112	0.1	9.264979e-05	6.058326e-10	0.1	9.264979e-05	1.754368e-08	0.1	9.264979e-05	1.160983e-09	0.1	9.264979e-05	2.395476e-09	0.1	9.264979e-05	3.063915e-10	0.1	9.264979e-05	3.344767e-13	0.1
0.000207893	9.950621492790001e-06	0.1	0.000207893	1.010902e-111	0.1	0.000207893	1.010902e-111	0.1	0.000207893	5.156089e-13	0.1	0.000207893	1.010902e-111	0.1	0.000207893	1.010902e-111	0.1	0.000207893	1.010902e-111	0.1	0.000207893	1.36588e-09	0.1	0.000207893	3.924193e-08	0.1	0.000207893	2.610857e-09	0.1	0.000207893	5.368608e-09	0.1	0.000207893	6.900565e-10	0.1	0.000207893	7.551901e-13	0.1
0.0004243293	9.899960009394e-06	0.1	0.0004243293	2.058072e-111	0.1	0.0004243293	2.058072e-111	0.1	0.0004243293	5.131821e-13	0.1	0.0004243293	2.058072e-111	0.1	0.0004243293	2.058072e-111	0.1	0.0004243293	2.058072e-111	0.1	0.0004243293	2.847248e-09	0.1	0.0004243293	7.933644e-08	0.1	0.0004243293	5.389009e-09	0.1	0.0004243293	1.093305e-08	0.1	0.0004243293	1.432613e-09	0.1	0.0004243293	1.582727e-12	0.1
0.000736363	9.828810745107801e-06	0.1	0.000736363	3.558478e-111	0.1	0.000736363	3.558478e-111	0.1	0.000736363	5.09999e-13	0.1	0.000736363	3.558478e-111	0.1	0.000736363	3.558478e-111	0.1	0.000736363	3.558478e-111	0.1	0.000736363	5.220723e-09	0.1	0.000736363	1.347115e-07	0.1	0.000736363	9.637098e-09	0.1	0.000736363	1.891646e-08	0.1	0.000736363	2.599369e-09	0.1	0.000736363	2.936756e-12	0.1
0.001068032	9.756575481915e-06	0.1	0.001068032	5.141691e-111	0.1	0.001068032	5.141691e-111	0.1	0.001068032	5.070317e-13	0.1	0.001068032	5.141691e-111	0.1	0.001068032	5.141691e-111	0.1	0.001068032	5.141691e-111	0.1	0.001068032	8.226728e-09	0.1	0.001068032	1.8909e-07	0.1	0.001068032	1.461341e-08	0.1	0.001068032	2.736135e-08	0.1	0.001068032	4.028332e-09	0.1	0.001068032	4.691857e-12	0.1
0.001478241	9.673245364546501e-06	0.1	0.001478241	7.08421e-111	0.1	0.001478241	7.08421e-111	0.1	0.001478241	5.039301e-13	0.1	0.001478241	7.08421e-111	0.1	0.001478241	7.08421e-111	0.1	0.001478241	7.08421e-111	0.1	0.001478241	1.287568e-08	0.1	0.001478241	2.483445e-07	0.1	0.001478241	2.153057e-08	0.1	0.001478241	3.776194e-08	0.1	0.001478241	6.134366e-09	0.1	0.001478241	7.435634e-12	0.1
0.00191395	9.592835233476e-06	0.1	0.00191395	9.130065e-111	0.1	0.00191395	9.130065e-111	0.1	0.00191395	5.012507e-13	0.1	0.00191395	9.130065e-111	0.1	0.00191395	9.130065e-111	0.1	0.00191395	9.130065e-111	0.1	0.00191395	1.915496e-08	0.1	0.00191395	3.006126e-07	0.1	0.00191395	2.971177e-08	0.1	0.00191395	4.877045e-08	0.1	0.00191395	8.804017e-09	0.1	0.00191395	1.109911e-11	0.1
0.002451656	9.505162194749e-06	0.1	0.002451656	1.163273e-110	0.1	0.002451656	1.163273e-110	0.1	0.002451656	4.986645e-13	0.1	0.002451656	1.163273e-110	0.1	0.002451656	1.163273e-110	0.1	0.002451656	1.163273e-110	0.1	0.002451656	2.895373e-08	0.1	0.002451656	3.502841e-07	0.1	0.002451656	4.053162e-08	0.1	0.002451656	6.231701e-08	0.1	0.002451656	1.263463e-08	0.1	0.002451656	1.658988e-11	0.1
0.003101338	9.4145862043284e-06	0.1	0.003101338	1.462826e-110	0.1	0.003101338	1.462826e-110	0.1	0.003101338	4.963516e-13	0.1	0.003101338	1.462826e-110	0.1	0.003101338	1.462826e-110	0.1	0.003101338	1.462826e-110	0.1	0.003101338	4.371928e-08	0.1	0.003101338	3.914993e-07	0.1	0.003101338	5.365553e-08	0.1	0.003101338	7.863942e-08	0.1	0.003101338	1.777537e-08	0.1	0.003101338	2.424651e-11	0.1
0.003779014	9.3345861188598e-06	0.1	0.003779014	1.772477e-110	0.1	0.003779014	1.772477e-110	0.1	0.003779014	4.946302e-13	0.1	0.003779014	1.772477e-110	0.1	0.003779014	1.772477e-110	0.1	0.003779014	1.772477e-110	0.1	0.003779014	6.208183e-08	0.1	0.003779014	4.180154e-07	0.1	0.003779014	6.625856e-08	0.1	0.003779014	9.561393e-08	0.1	0.003779014	2.331123e-08	0.1	0.003779014	3.275949e-11	0.1
0.004456689	9.2655758572775e-06	0.1	0.004456689	2.079676e-110	0.1	0.004456689	2.079676e-110	0.1	0.004456689	4.934331e-13	0.1	0.004456689	2.079676e-110	0.1	0.004456689	2.079676e-110	0.1	0.004456689	2.079676e-110	0.1	0.004456689	8.280585e-08	0.1	0.004456689	4.332693e-07	0.1	0.004456689	7.704304e-08	0.1	0.004456689	1.125291e-07	0.1	0.004456689	2.863569e-08	0.1	0.004456689	4.116303e-11	0.1
0.005166594	9.2016506211e-06	0.1	0.005166594	2.39919e-110	0.1	0.005166594	2.39919e-110	0.1	0.005166594	4.926261e-13	0.1	0.005166594	2.39919e-110	0.1	0.005166594	2.39919e-110	0.1	0.005166594	2.39919e-110	0.1	0.005166594	1.063089e-07	0.1	0.005166594	4.418067e-07	0.1	0.005166594	8.619659e-08	0.1	0.005166594	1.301744e-07	0.1	0.005166594	3.37131e-08	0.1	0.005166594	4.935941e-11	0.1
0.006005411	9.133693441656299e-06	0.1	0.006005411	2.774032e-110	0.1	0.006005411	2.774032e-110	0.1	0.006005411	4.921737e-13	0.1	0.006005411	2.774032e-110	0.1	0.006005411	2.774032e-110	0.1	0.006005411	2.774032e-110	0.1	0.006005411	1.355266e-07	0.1	0.006005411	4.463791e-07	0.1	0.006005411	9.444837e-08	0.1	0.006005411	1.509123e-07	0.1	0.006005411	3.888178e-08	0.1	0.006005411	5.789223e-11	0.1
0.006844229	9.0713321214021e-06	0.1	0.006844229	3.146216e-110	0.1	0.006844229	3.146216e-110	0.1	0.006844229	4.922096e-13	0.1	0.006844229	3.146216e-110	0.1	0.006844229	3.146216e-110	0.1	0.006844229	3.146216e-110	0.1	0.006844229	1.654549e-07	0.1	0.006844229	4.479127e-07	0.1	0.006844229	1.004843e-07	0.1	0.006844229	1.715169e-07	0.1	0.006844229	4.31349e-08	0.1	0.006844229	6.507728e-11	0.1
0.007683046	9.012888857132001e-06	0.1	0.007683046	3.515934e-110	0.1	0.007683046	3.515934e-110	0.1	0.007683046	4.927027e-13	0.1	0.007683046	3.515934e-110	0.1	0.007683046	3.515934e-110	0.1	0.007683046	3.515934e-110	0.1	0.007683046	1.954075e-07	0.1	0.007683046	4.480762e-07	0.1	0.007683046	1.049119e-07	0.1	0.007683046	1.91979e-07	0.1	0.007683046	4.656601e-08	0.1	0.007683046	7.100928e-11	0.1
0.008697205	8.9461156970135e-06	0.1	0.008697205	3.95984e-110	0.1	0.008697205	3.95984e-110	0.1	0.008697205	4.938834e-13	0.1	0.008697205	3.95984e-110	0.1	0.008697205	3.95984e-110	0.1	0.008697205	3.95984e-110	0.1	0.008697205	2.309461e-07	0.1	0.008697205	4.476004e-07	0.1	0.008697205	1.088271e-07	0.1	0.008697205	2.165196e-07	0.1	0.008697205	4.981473e-08	0.1	0.008697205	7.677837e-11	0.1
0.009754212	8.8801404293471e-06	0.1	0.009754212	4.419082e-110	0.1	0.009754212	4.419082e-110	0.1	0.009754212	4.957729e-13	0.1	0.009754212	4.419082e-110	0.1	0.009754212	4.419082e-110	0.1	0.009754212	4.419082e-110	0.1	0.009754212	2.665829e-07	0.1	0.009754212	4.469614e-07	0.1	0.009754212	1.118719e-07	0.1	0.009754212	2.418586e-07	0.1	0.009754212	5.240396e-08	0.1	0.009754212	8.152896e-11	0.1
0.01098261	8.8074543554064e-06	0.1	0.01098261	4.948635e-110	0.1	0.01098261	4.948635e-110	0.1	0.01098261	4.987882e-13	0.1	0.01098261	4.948635e-110	0.1	0.01098261	4.948635e-110	0.1	0.01098261	4.948635e-110	0.1	0.01098261	3.056188e-07	0.1	0.01098261	4.463756e-07	0.1	0.01098261	1.146719e-07	0.1	0.01098261	2.709949e-07	0.1	0.01098261	5.4699e-08	0.1	0.01098261	8.590502e-11	0.1
0.01241315	8.7277653751368e-06	0.1	0.01241315	5.560009e-110	0.1	0.01241315	5.560009e-110	0.1	0.01241315	5.033736e-13	0.1	0.01241315	5.560009e-110	0.1	0.01241315	5.560009e-110	0.1	0.01241315	5.560009e-110	0.1	0.01241315	3.473585e-07	0.1	0.01241315	4.460126e-07	0.1	0.01241315	1.174278e-07	0.1	0.01241315	3.044987e-07	0.1	0.01241315	5.67476e-08	0.1	0.01241315	8.998946e-11	0.1
0.01402813	8.643908458320199e-06	0.1	0.01402813	6.243762e-110	0.1	0.01402813	6.243762e-110	0.1	0.01402813	5.098822e-13	0.1	0.01402813	6.243762e-110	0.1	0.01402813	6.243762e-110	0.1	0.01402813	6.243762e-110	0.1	0.01402813	3.893738e-07	0.1	0.01402813	4.459507e-07	0.1	0.01402813	1.202274e-07	0.1	0.01402813	3.417656e-07	0.1	0.01402813	5.858092e-08	0.1	0.01402813	9.38091e-11	0.1
0.01584396	8.5570594484102e-06	0.1	0.01584396	7.004987e-110	0.1	0.01584396	7.004987e-110	0.1	0.01584396	5.187999e-13	0.1	0.01584396	7.004987e-110	0.1	0.01584396	7.004987e-110	0.1	0.01584396	7.004987e-110	0.1	0.01584396	4.301922e-07	0.1	0.01584396	4.46156e-07	0.1	0.01584396	1.231442e-07	0.1	0.01584396	3.829582e-07	0.1	0.01584396	6.029457e-08	0.1	0.01584396	9.750447e-11	0.1
0.01808697	8.4600477083325e-06	0.1	0.01808697	7.935216e-110	0.1	0.01808697	7.935216e-110	0.1	0.01808697	5.319921e-13	0.1	0.01808697	7.935216e-110	0.1	0.01808697	7.935216e-110	0.1	0.01808697	7.935216e-110	0.1	0.01808697	4.718549e-07	0.1	0.01808697	4.465695e-07	0.1	0.01808697	1.26431e-07	0.1	0.01808697	4.327979e-07	0.1	0.01808697	6.209989e-08	0.1	0.01808697	1.014831e-10	0.1
0.02064043	8.3622009973432e-06	0.1	0.02064043	8.982044e-110	0.1	0.02064043	8.982044e-110	0.1	0.02064043	5.49673e-13	0.1	0.02064043	8.982044e-110	0.1	0.02064043	8.982044e-110	0.1	0.02064043	8.982044e-110	0.1	0.02064043	5.089625e-07	0.1	0.02064043	4.4701e-07	0.1	0.02064043	1.296702e-07	0.1	0.02064043	4.88116e-07	0.1	0.02064043	6.383688e-08	0.1	0.02064043	1.05352e-10	0.1
0.02340083	8.2695362452939e-06	0.1	0.02340083	1.01009e-109	0.1	0.02340083	1.01009e-109	0.1	0.02340083	5.716077e-13	0.1	0.02340083	1.01009e-109	0.1	0.02340083	1.01009e-109	0.1	0.02340083	1.01009e-109	0.1	0.02340083	5.389156e-07	0.1	0.02340083	4.472807e-07	0.1	0.02340083	1.325042e-07	0.1	0.02340083	5.46192e-07	0.1	0.02340083	6.536507e-08	0.1	0.02340083	1.087724e-10	0.1
0.02661668	8.1757865245806e-06	0.1	0.02661668	1.138973e-109	0.1	0.02661668	1.138973e-109	0.1	0.02661668	6.003241e-13	0.1	0.02661668	1.138973e-109	0.1	0.02661668	1.138973e-109	0.1	0.02661668	1.138973e-109	0.1	0.02661668	5.635326e-07	0.1	0.02661668	4.472512e-07	0.1	0.02661668	1.349595e-07	0.1	0.02661668	6.115457e-07	0.1	0.02661668	6.671519e-08	0.1	0.02661668	1.118108e-10	0.1
0.03008011	8.088362747337901e-06	0.1	0.03008011	1.276252e-109	0.1	0.03008011	1.276252e-109	0.1	0.03008011	6.34385e-13	0.1	0.03008011	1.276252e-109	0.1	0.03008011	1.276252e-109	0.1	0.03008011	1.276252e-109	0.1	0.03008011	5.810365e-07	0.1	0.03008011	4.468331e-07	0.1	0.03008011	1.367385e-07	0.1	0.03008011	6.790993e-07	0.1	0.03008011	6.771934e-08	0.1	0.03008011	1.140972e-10	0.1
0.03407847	8.000744989908e-06	0.1	0.03407847	1.433027e-109	0.1	0.03407847	1.433027e-109	0.1	0.03407847	6.768402e-13	0.1	0.03407847	1.433027e-109	0.1	0.03407847	1.433027e-109	0.1	0.03407847	1.433027e-109	0.1	0.03407847	5.933348e-07	0.1	0.03407847	4.45969e-07	0.1	0.03407847	1.379509e-07	0.1	0.03407847	7.533603e-07	0.1	0.03407847	6.842732e-08	0.1	0.03407847	1.157536e-10	0.1
0.03921203	7.9036723644072e-06	0.1	0.03921203	1.631998e-109	0.1	0.03921203	1.631998e-109	0.1	0.03921203	7.347611e-13	0.1	0.03921203	1.631998e-109	0.1	0.03921203	1.631998e-109	0.1	0.03921203	1.631998e-109	0.1	0.03921203	6.013863e-07	0.1	0.03921203	4.444863e-07	0.1	0.03921203	1.38631e-07	0.1	0.03921203	8.427575e-07	0.1	0.03921203	6.88532e-08	0.1	0.03921203	1.168309e-10	0.1
0.04462938	7.815039655353e-06	0.1	0.04462938	1.839522e-109	0.1	0.04462938	1.839522e-109	0.1	0.04462938	7.981811e-13	0.1	0.04462938	1.839522e-109	0.1	0.04462938	1.839522e-109	0.1	0.04462938	1.839522e-109	0.1	0.04462938	6.045538e-07	0.1	0.04462938	4.427115e-07	0.1	0.04462938	1.387276e-07	0.1	0.04462938	9.298018e-07	0.1	0.04462938	6.895263e-08	0.1	0.04462938	1.172058e-10	0.1
0.05004674	7.737205831197702e-06	0.1	0.05004674	2.044855e-109	0.1	0.05004674	2.044855e-109	0.1	0.05004674	8.621813e-13	0.1	0.05004674	2.044855e-109	0.1	0.05004674	2.044855e-109	0.1	0.05004674	2.044855e-109	0.1	0.05004674	6.048995e-07	0.1	0.05004674	4.408974e-07	0.1	0.05004674	1.384982e-07	0.1	0.05004674	1.009421e-06	0.1	0.05004674	6.886445e-08	0.1	0.05004674	1.171675e-10	0.1
0.0554641	7.668161680451201e-06	0.1	0.0554641	2.248252e-109	0.1	0.0554641	2.248252e-109	0.1	0.0554641	9.252869e-13	0.1	0.0554641	2.248252e-109	0.1	0.0554641	2.248252e-109	0.1	0.0554641	2.248252e-109	0.1	0.0554641	6.038722e-07	0.1	0.0554641	4.391442e-07	0.1	0.0554641	1.381203e-07	0.1	0.0554641	1.081801e-06	0.1	0.0554641	6.868818e-08	0.1	0.0554641	1.169289e-10	0.1
0.06182258	7.5966788000148e-06	0.1	0.06182258	2.484802e-109	0.1	0.06182258	2.484802e-109	0.1	0.06182258	9.966747e-13	0.1	0.06182258	2.484802e-109	0.1	0.06182258	2.484802e-109	0.1	0.06182258	2.484802e-109	0.1	0.06182258	6.01919e-07	0.1	0.06182258	4.372305e-07	0.1	0.06182258	1.376121e-07	0.1	0.06182258	1.157908e-06	0.1	0.06182258	6.843966e-08	0.1	0.06182258	1.165448e-10	0.1
0.06841634	7.5320888477125e-06	0.1	0.06841634	2.727921e-109	0.1	0.06841634	2.727921e-109	0.1	0.06841634	1.066297e-12	0.1	0.06841634	2.727921e-109	0.1	0.06841634	2.727921e-109	0.1	0.06841634	2.727921e-109	0.1	0.06841634	5.996427e-07	0.1	0.06841634	4.35443e-07	0.1	0.06841634	1.370855e-07	0.1	0.06841634	1.227351e-06	0.1	0.06841634	6.817698e-08	0.1	0.06841634	1.16119e-10	0.1
0.07657106	7.4639756991375e-06	0.1	0.07657106	3.025946e-109	0.1	0.07657106	3.025946e-109	0.1	0.07657106	1.14483e-12	0.1	0.07657106	3.025946e-109	0.1	0.07657106	3.025946e-109	0.1	0.07657106	3.025946e-109	0.1	0.07657106	5.969082e-07	0.1	0.07657106	4.335181e-07	0.1	0.07657106	1.364863e-07	0.1	0.07657106	1.301027e-06	0.1	0.07657106	6.787503e-08	0.1	0.07657106	1.156191e-10	0.1
0.08592077	7.3997207623436e-06	0.1	0.08592077	3.364623e-109	0.1	0.08592077	3.364623e-109	0.1	0.08592077	1.223622e-12	0.1	0.08592077	3.364623e-109	0.1	0.08592077	3.364623e-109	0.1	0.08592077	3.364623e-109	0.1	0.08592077	5.941292e-07	0.1	0.08592077	4.316769e-07	0.1	0.08592077	1.358949e-07	0.1	0.08592077	1.370793e-06	0.1	0.08592077	6.757533e-08	0.1	0.08592077	1.151178e-10	0.1
0.09665084	7.3412407650582e-06	0.1	0.09665084	3.750087e-109	0.1	0.09665084	3.750087e-109	0.1	0.09665084	1.299251e-12	0.1	0.09665084	3.750087e-109	0.1	0.09665084	3.750087e-109	0.1	0.09665084	3.750087e-109	0.1	0.09665084	5.914903e-07	0.1	0.09665084	4.299858e-07	0.1	0.09665084	1.353425e-07	0.1	0.09665084	1.434437e-06	0.1	0.09665084	6.729442e-08	0.1	0.09665084	1.146455e-10	0.1
0.1097157	7.2876554456004e-06	0.1	0.1097157	4.215846e-109	0.1	0.1097157	4.215846e-109	0.1	0.1097157	1.371804e-12	0.1	0.1097157	4.215846e-109	0.1	0.1097157	4.215846e-109	0.1	0.1097157	4.215846e-109	0.1	0.1097157	5.890067e-07	0.1	0.1097157	4.284262e-07	0.1	0.1097157	1.34828e-07	0.1	0.1097157	1.492844e-06	0.1	0.1097157	6.703216e-08	0.1	0.1097157	1.142037e-10	0.1
0.1244674	7.2447432660992e-06	0.1	0.1244674	4.738279e-109	0.1	0.1244674	4.738279e-109	0.1	0.1244674	1.432143e-12	0.1	0.1244674	4.738279e-109	0.1	0.1244674	4.738279e-109	0.1	0.1244674	4.738279e-109	0.1	0.1244674	5.869809e-07	0.1	0.1244674	4.271711e-07	0.1	0.1244674	1.344112e-07	0.1	0.1244674	1.539666e-06	0.1	0.1244674	6.681943e-08	0.1	0.1244674	1.138448e-10	0.1
0.1413463	7.2118556870655995e-06	0.1	0.1413463	5.332941e-109	0.1	0.1413463	5.332941e-109	0.1	0.1413463	1.479735e-12	0.1	0.1413463	5.332941e-109	0.1	0.1413463	5.332941e-109	0.1	0.1413463	5.332941e-109	0.1	0.1413463	5.854078e-07	0.1	0.1413463	4.262058e-07	0.1	0.1413463	1.340893e-07	0.1	0.1413463	1.575579e-06	0.1	0.1413463	6.665489e-08	0.1	0.1413463	1.135671e-10	0.1
0.1622358	7.186829007411199e-06	0.1	0.1622358	6.065955e-109	0.1	0.1622358	6.065955e-109	0.1	0.1622358	1.516737e-12	0.1	0.1622358	6.065955e-109	0.1	0.1622358	6.065955e-109	0.1	0.1622358	6.065955e-109	0.1	0.1622358	5.841989e-07	0.1	0.1622358	4.254691e-07	0.1	0.1622358	1.338428e-07	0.1	0.1622358	1.602925e-06	0.1	0.1622358	6.652881e-08	0.1	0.1622358	1.133542e-10	0.1
0.1831253	7.1723941921792e-06	0.1	0.1831253	6.797009e-109	0.1	0.1831253	6.797009e-109	0.1	0.1831253	1.538387e-12	0.1	0.1831253	6.797009e-109	0.1	0.1831253	6.797009e-109	0.1	0.1831253	6.797009e-109	0.1	0.1831253	5.834969e-07	0.1	0.1831253	4.250434e-07	0.1	0.1831253	1.337e-07	0.1	0.1831253	1.618703e-06	0.1	0.1831253	6.645575e-08	0.1	0.1831253	1.132308e-10	0.1
0.2040147	7.1641102982144e-06	0.1	0.2040147	7.526936e-109	0.1	0.2040147	7.526936e-109	0.1	0.2040147	1.550915e-12	0.1	0.2040147	7.526936e-109	0.1	0.2040147	7.526936e-109	0.1	0.2040147	7.526936e-109	0.1	0.2040147	5.830924e-07	0.1	0.2040147	4.247989e-07	0.1	0.2040147	1.336179e-07	0.1	0.2040147	1.62776e-06	0.1	0.2040147	6.64137e-08	0.1	0.2040147	1.131597e-10	0.1
0.2249042	7.1593703588863995e-06	0.1	0.2249042	8.256216e-109	0.1	0.2249042	8.256216e-109	0.1	0.2249042	1.558117e-12	0.1	0.2249042	8.256216e-109	0.1	0.2249042	8.256216e-109	0.1	0.2249042	8.256216e-109	0.1	0.2249042	5.828604e-07	0.1	0.2249042	4.246588e-07	0.1	0.2249042	1.335708e-07	0.1	0.2249042	1.632944e-06	0.1	0.2249042	6.63896e-08	0.1	0.2249042	1.13119e-10	0.1
0.2484473	7.156414396723199e-06	0.1	0.2484473	9.077704e-109	0.1	0.2484473	9.077704e-109	0.1	0.2484473	1.562621e-12	0.1	0.2484473	9.077704e-109	0.1	0.2484473	9.077704e-109	0.1	0.2484473	9.077704e-109	0.1	0.2484473	5.827156e-07	0.1	0.2484473	4.245715e-07	0.1	0.2484473	1.335414e-07	0.1	0.2484473	1.636177e-06	0.1	0.2484473	6.637456e-08	0.1	0.2484473	1.130936e-10	0.1
