Batch	m_SP	13	P1	W1	W2	W3	W4	W5	W6	R	P2	P3	P4	P5	P6																							
0.0	9.9999e-06	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
0.0003025226	9.99989400006e-06	0.1	0.0003025226	2.396122e-19	0.1	0.0003025226	9.358184e-22	0.1	0.0003025226	2.181676e-17	0.1	0.0003025226	1.138687e-17	0.1	0.0003025226	1.612685e-17	0.1	0.0003025226	6.302837e-12	0.1	0.0003025226	5.002132e-21	0.1	0.0003025226	6.632317e-18	0.1	0.0003025226	5.002443e-21	0.1	0.0003025226	2.260296e-23	0.1	0.0003025226	1.012593e-21	0.1	0.0003025226	6.185548e-29	0.1
0.003111562	9.999842000580001e-06	0.1	0.003111562	2.812101e-18	0.1	0.003111562	8.332632e-21	0.1	0.003111562	2.576453e-16	0.1	0.003111562	1.338966e-16	0.1	0.003111562	1.896137e-16	0.1	0.003111562	5.767845e-11	0.1	0.003111562	5.173718e-20	0.1	0.003111562	7.029095e-17	0.1	0.003111562	5.176057e-20	0.1	0.003111562	2.346764e-22	0.1	0.003111562	1.046497e-20	0.1	0.003111562	6.362765e-28	0.1
0.009426989	9.99976500135e-06	0.1	0.009426989	1.047558e-17	0.1	0.009426989	3.038937e-20	0.1	0.009426989	9.652156e-16	0.1	0.009426989	4.988651e-16	0.1	0.009426989	7.064476e-16	0.1	0.009426989	1.349986e-10	0.1	0.009426989	1.588838e-19	0.1	0.009426989	2.245096e-16	0.1	0.009426989	1.591165e-19	0.1	0.009426989	7.301644e-22	0.1	0.009426989	3.207624e-20	0.1	0.009426989	1.928212e-27	0.1
0.01553833	9.999722001780001e-06	0.1	0.01553833	1.946817e-17	0.1	0.01553833	5.640226e-20	0.1	0.01553833	1.798356e-15	0.1	0.01553833	9.271385e-16	0.1	0.01553833	1.312927e-15	0.1	0.01553833	1.777563e-10	0.1	0.01553833	2.654444e-19	0.1	0.01553833	3.830938e-16	0.1	0.01553833	2.661169e-19	0.1	0.01553833	1.240111e-21	0.1	0.01553833	5.348801e-20	0.1	0.01553833	3.179074e-27	0.1
0.02405015	9.999691002090002e-06	0.1	0.02405015	3.338652e-17	0.1	0.02405015	9.674156e-20	0.1	0.02405015	3.089245e-15	0.1	0.02405015	1.590007e-15	0.1	0.02405015	2.251618e-15	0.1	0.02405015	2.088969e-10	0.1	0.02405015	4.187592e-19	0.1	0.02405015	6.123155e-16	0.1	0.02405015	4.204725e-19	0.1	0.02405015	2.007923e-21	0.1	0.02405015	8.415934e-20	0.1	0.02405015	4.922405e-27	0.1
0.03463364	9.99967400226e-06	0.1	0.03463364	5.177013e-17	0.1	0.03463364	1.500358e-19	0.1	0.03463364	4.793968e-15	0.1	0.03463364	2.465539e-15	0.1	0.03463364	3.491462e-15	0.1	0.03463364	2.255089e-10	0.1	0.03463364	6.175223e-19	0.1	0.03463364	9.039374e-16	0.1	0.03463364	6.212638e-19	0.1	0.03463364	3.063567e-21	0.1	0.03463364	1.237055e-19	0.1	0.03463364	7.091932e-27	0.1
0.04773921	9.999667002330001e-06	0.1	0.04773921	7.517347e-17	0.1	0.04773921	2.178185e-19	0.1	0.04773921	6.96172e-15	0.1	0.04773921	3.580141e-15	0.1	0.04773921	5.069854e-15	0.1	0.04773921	2.327293e-10	0.1	0.04773921	8.762951e-19	0.1	0.04773921	1.269252e-15	0.1	0.04773921	8.837087e-19	0.1	0.04773921	4.532078e-21	0.1	0.04773921	1.74867e-19	0.1	0.04773921	9.781394e-27	0.1
0.06493137	9.99966500235e-06	0.1	0.06493137	1.061842e-16	0.1	0.06493137	3.074665e-19	0.1	0.06493137	9.828534e-15	0.1	0.06493137	5.057051e-15	0.1	0.06493137	7.161311e-15	0.1	0.06493137	2.35253e-10	0.1	0.06493137	1.237071e-18	0.1	0.06493137	1.751056e-15	0.1	0.06493137	1.251272e-18	0.1	0.06493137	6.733265e-21	0.1	0.06493137	2.456753e-19	0.1	0.06493137	1.331442e-26	0.1
0.08923692	9.999664002360002e-06	0.1	0.08923692	1.501082e-16	0.1	0.08923692	4.340786e-19	0.1	0.08923692	1.387732e-14	0.1	0.08923692	7.148966e-15	0.1	0.08923692	1.012368e-14	0.1	0.08923692	2.358604e-10	0.1	0.08923692	1.788419e-18	0.1	0.08923692	2.434168e-15	0.1	0.08923692	1.816043e-18	0.1	0.08923692	1.037853e-20	0.1	0.08923692	3.529381e-19	0.1	0.08923692	1.831881e-26	0.1
0.1283419	9.999664002360002e-06	0.1	0.1283419	2.206652e-16	0.1	0.1283419	6.365379e-19	0.1	0.1283419	2.035151e-14	0.1	0.1283419	1.05093e-14	0.1	0.1283419	1.488226e-14	0.1	0.1283419	2.359353e-10	0.1	0.1283419	2.776865e-18	0.1	0.1283419	3.536188e-15	0.1	0.1283419	2.835488e-18	0.1	0.1283419	1.754904e-20	0.1	0.1283419	5.430831e-19	0.1	0.1283419	2.63938e-26	0.1
0.222194	9.999664002360002e-06	0.1	0.222194	3.892879e-16	0.1	0.222194	1.11614e-18	0.1	0.222194	3.568808e-14	0.1	0.222194	1.85401e-14	0.1	0.222194	2.625469e-14	0.1	0.222194	2.359366e-10	0.1	0.222194	5.617766e-18	0.1	0.222194	6.193583e-15	0.1	0.222194	5.794248e-18	0.1	0.222194	4.075217e-20	0.1	0.222194	1.080646e-18	0.1	0.222194	4.588217e-26	0.1
