Batch	m_SP	2	P3	W4_L	
6.305340000000e-14	9.811499884020e-06	1.000000000000e-01	6.305340000000e-14	1.883815400000e-07	1.000000000000e-01
1.494119000000e-13	9.559211406930e-06	1.000000000000e-01	1.494119000000e-13	4.406450800000e-07	1.000000000000e-01
3.305255000000e-13	9.050976489330e-06	1.000000000000e-01	3.305255000000e-13	9.488307000000e-07	1.000000000000e-01
6.586668000000e-13	8.197993019250e-06	1.000000000000e-01	6.586668000000e-13	1.801733700000e-06	1.000000000000e-01
1.147657000000e-12	7.073718262110e-06	1.000000000000e-01	1.147657000000e-12	2.925908300000e-06	1.000000000000e-01
1.717516000000e-12	5.956537434030e-06	1.000000000000e-01	1.717516000000e-12	4.042993600000e-06	1.000000000000e-01
2.318280000000e-12	4.969255306950e-06	1.000000000000e-01	2.318280000000e-12	5.030199400000e-06	1.000000000000e-01
3.042665000000e-12	3.993869060910e-06	1.000000000000e-01	3.042665000000e-12	6.005516400000e-06	1.000000000000e-01
3.767050000000e-12	3.209935900320e-06	1.000000000000e-01	3.767050000000e-12	6.789399400000e-06	1.000000000000e-01
4.491435000000e-12	2.579876200980e-06	1.000000000000e-01	4.491435000000e-12	7.419423300000e-06	1.000000000000e-01
5.215821000000e-12	2.073487264920e-06	1.000000000000e-01	5.215821000000e-12	7.925787800000e-06	1.000000000000e-01
6.059007000000e-12	1.607830921530e-06	1.000000000000e-01	6.059007000000e-12	8.391424700000e-06	1.000000000000e-01
6.931894000000e-12	1.235630643570e-06	1.000000000000e-01	6.931894000000e-12	8.763614400000e-06	1.000000000000e-01
7.804780000000e-12	9.495918039870e-07	1.000000000000e-01	7.804780000000e-12	9.049647000000e-06	1.000000000000e-01
8.677667000000e-12	7.297686022410e-07	1.000000000000e-01	8.677667000000e-12	9.269467000000e-06	1.000000000000e-01
9.622472000000e-12	5.487970119750e-07	1.000000000000e-01	9.622472000000e-12	9.450437000000e-06	1.000000000000e-01
1.067515000000e-11	3.994901050590e-07	1.000000000000e-01	1.067515000000e-11	9.599745000000e-06	1.000000000000e-01
1.172784000000e-11	2.908038919320e-07	1.000000000000e-01	1.172784000000e-11	9.708433000000e-06	1.000000000000e-01
1.278052000000e-11	2.116871831070e-07	1.000000000000e-01	1.278052000000e-11	9.787551000000e-06	1.000000000000e-01
1.400369000000e-11	1.463707362780e-07	1.000000000000e-01	1.400369000000e-11	9.852870000000e-06	1.000000000000e-01
