	T[K]	N7a	N7b	N7c
600 0.02225 0.20502 0.77036
700 0.02971 0.23448 0.73307
800 0.03670 0.25510 0.70497
900 0.04314 0.26946 0.68421
1000 0.04900 0.27944 0.66920
1100 0.05410 0.28532 0.65626
1200 0.05877 0.28987 0.64883
1300 0.06263 0.29161 0.64144
1400 0.06605 0.29270 0.63733
1500 0.06894 0.29288 0.63479
1600 0.07134 0.29228 0.63323
1700 0.07335 0.29122 0.63269
1800 0.07502 0.28983 0.63293
1900 0.07627 0.28767 0.63264
2000 0.07740 0.28575 0.63366
