	T[K]	N7a	N7b	N7c
600 0.00447 0.99027 0.00043
700 0.00844 0.98641 0.00033
800 0.01445 0.98046 0.00030
900 0.02306 0.97105 0.00029
1000 0.03508 0.95899 0.00032
1100 0.05046 0.94359 0.00033
1200 0.06985 0.92416 0.00036
1300 0.09359 0.89983 0.00045
1400 0.12104 0.87219 0.00064
1500 0.15153 0.84105 0.00128
1600 0.18413 0.80626 0.00362
1700 0.21470 0.76473 0.01465
1800 0.14256 0.56062 0.29256
1900 0.14928 0.53334 0.31312
2000 0.15868 0.51525 0.32181
