Batch	m_SP	7	W4_L	W3	R	P1	P2_L	P3	P4											
8.988542e-09	0.8157257	0.1	8.988542e-09	0.0002458953	0.1	8.988542e-09	0.01642948	0.1	8.988542e-09	0.04559548	0.1	8.988542e-09	0.022362266999999998	0.1	8.988542e-09	0.006763348	0.1	8.988542e-09	7.33152e-05	0.1
9.618159e-09	0.805907	0.1	9.618159e-09	0.0002645443	0.1	9.618159e-09	0.01739214	0.1	9.618159e-09	0.04953018	0.1	9.618159e-09	0.022348263	0.1	9.618159e-09	0.006763773	0.1	9.618159e-09	8.087188e-05	0.1
1.024778e-08	0.7963193	0.1	1.024778e-08	0.0002830256	0.1	1.024778e-08	0.01829775	0.1	1.024778e-08	0.05344177	0.1	1.024778e-08	0.0223071	0.1	1.024778e-08	0.006757319	0.1	1.024778e-08	8.846464e-05	0.1
1.08774e-08	0.7869511	0.1	1.08774e-08	0.000301328	0.1	1.08774e-08	0.01914588	0.1	1.08774e-08	0.05732594	0.1	1.08774e-08	0.022246878	0.1	1.08774e-08	0.006746218	0.1	1.08774e-08	9.608129e-05	0.1
1.150701e-08	0.7777927	0.1	1.150701e-08	0.0003194452	0.1	1.150701e-08	0.01993683	0.1	1.150701e-08	0.06117991	0.1	1.150701e-08	0.022173339	0.1	1.150701e-08	0.006731993	0.1	1.150701e-08	0.0001037131	0.1
1.213663e-08	0.7688354	0.1	1.213663e-08	0.0003373739	0.1	1.213663e-08	0.0206715	0.1	1.213663e-08	0.06500196	0.1	1.213663e-08	0.022090534000000002	0.1	1.213663e-08	0.006715665	0.1	1.213663e-08	0.0001113535	0.1
1.276625e-08	0.7600716	0.1	1.276625e-08	0.0003551125	0.1	1.276625e-08	0.02135122	0.1	1.276625e-08	0.06879108	0.1	1.276625e-08	0.022001294	0.1	1.276625e-08	0.006697897	0.1	1.276625e-08	0.0001189977	0.1
1.339587e-08	0.7514939	0.1	1.339587e-08	0.000372661	0.1	1.339587e-08	0.02197768	0.1	1.339587e-08	0.07254672	0.1	1.339587e-08	0.021907589999999998	0.1	1.339587e-08	0.00667911	0.1	1.339587e-08	0.000126642	0.1
1.415481e-08	0.7413923	0.1	1.415481e-08	0.000393562	0.1	1.415481e-08	0.0226648	0.1	1.415481e-08	0.07702891	0.1	1.415481e-08	0.021790564000000002	0.1	1.415481e-08	0.006655462	0.1	1.415481e-08	0.0001358517	0.1
1.491374e-08	0.7315404	0.1	1.491374e-08	0.0004141892	0.1	1.491374e-08	0.02328113	0.1	1.491374e-08	0.081462	0.1	1.491374e-08	0.021670538	0.1	1.491374e-08	0.006630937	0.1	1.491374e-08	0.000145052	0.1
1.567268e-08	0.7219276	0.1	1.567268e-08	0.0004345446	0.1	1.567268e-08	0.02383068	0.1	1.567268e-08	0.08584609	0.1	1.567268e-08	0.021548477	0.1	1.567268e-08	0.006605632	0.1	1.567268e-08	0.0001542385	0.1
1.658701e-08	0.7106499	0.1	1.658701e-08	0.0004587094	0.1	1.658701e-08	0.02440996	0.1	1.658701e-08	0.09106297	0.1	1.658701e-08	0.021399514999999997	0.1	1.658701e-08	0.006574144	0.1	1.658701e-08	0.0001652815	0.1
1.750133e-08	0.699688	0.1	1.750133e-08	0.0004824854	0.1	1.750133e-08	0.02490565	0.1	1.750133e-08	0.09620934	0.1	1.750133e-08	0.021249010999999998	0.1	1.750133e-08	0.006541535	0.1	1.750133e-08	0.0001762913	0.1
1.848915e-08	0.6881817	0.1	1.848915e-08	0.0005077383	0.1	1.848915e-08	0.02535553	0.1	1.848915e-08	0.1016904	0.1	1.848915e-08	0.021085061000000002	0.1	1.848915e-08	0.006504996	0.1	1.848915e-08	0.0001881408	0.1
1.95872e-08	0.6757796	0.1	1.95872e-08	0.0005352831	0.1	1.95872e-08	0.02576163	0.1	1.95872e-08	0.1076874	0.1	1.95872e-08	0.020901409	0.1	1.95872e-08	0.00646274	0.1	1.95872e-08	0.0002012475	0.1
2.068525e-08	0.6637628	0.1	2.068525e-08	0.0005622771	0.1	2.068525e-08	0.02607974	0.1	2.068525e-08	0.1135837	0.1	2.068525e-08	0.020716515999999997	0.1	2.068525e-08	0.006418757	0.1	2.068525e-08	0.0002142746	0.1
2.197026e-08	0.6501593	0.1	2.197026e-08	0.0005931715	0.1	2.197026e-08	0.02635441	0.1	2.197026e-08	0.1203567	0.1	2.197026e-08	0.020498795	0.1	2.197026e-08	0.006365168	0.1	2.197026e-08	0.0002294046	0.1
2.330202e-08	0.6365503	0.1	2.330202e-08	0.0006244027	0.1	2.330202e-08	0.02654354	0.1	2.330202e-08	0.1272316	0.1	2.330202e-08	0.020272006	0.1	2.330202e-08	0.006307399	0.1	2.330202e-08	0.0002449378	0.1
