Batch	m_SP	4	Pr1	W1	Pr2	Pr3					
2.002592e-05	9.8776042351896e-06	0.1	2.002592e-05	9.004677e-09	0.1	2.002592e-05	2.455821e-08	0.1	2.002592e-05	8.873295e-08	0.1
5.55619e-05	9.6642614570817e-06	0.1	5.55619e-05	2.471322e-08	0.1	5.55619e-05	6.739969e-08	0.1	5.55619e-05	2.435265e-07	0.1
0.0001144574	9.320776198725002e-06	0.1	0.0001144574	5.000416e-08	0.1	0.0001144574	1.36375e-07	0.1	0.0001144574	4.927459e-07	0.1
0.0002126166	8.7752165940146e-06	0.1	0.0002126166	9.017404e-08	0.1	0.0002126166	2.459292e-07	0.1	0.0002126166	8.885837e-07	0.1
0.0004045294	7.799109409564e-06	0.1	0.0004045294	1.620454e-07	0.1	0.0004045294	4.419421e-07	0.1	0.0004045294	1.596811e-06	0.1
0.0006592057	6.6693506303622e-06	0.1	0.0006592057	2.452304e-07	0.1	0.0006592057	6.688101e-07	0.1	0.0006592057	2.416524e-06	0.1
0.0009557243	5.5584866242335e-06	0.1	0.0009557243	3.270244e-07	0.1	0.0009557243	8.918846e-07	0.1	0.0009557243	3.22253e-06	0.1
0.001314089	4.459907654377499e-06	0.1	0.001314089	4.079139e-07	0.1	0.001314089	1.112492e-06	0.1	0.001314089	4.019623e-06	0.1
0.001765223	3.3801785782487e-06	0.1	0.001765223	4.874156e-07	0.1	0.001765223	1.329315e-06	0.1	0.001765223	4.803041e-06	0.1
0.002216357	2.5618497040083e-06	0.1	0.002216357	5.476703e-07	0.1	0.002216357	1.493646e-06	0.1	0.002216357	5.396796e-06	0.1
0.002667491	1.941636020775e-06	0.1	0.002667491	5.933375e-07	0.1	0.002667491	1.618193e-06	0.1	0.002667491	5.846805e-06	0.1
0.003118625	1.4715746583421e-06	0.1	0.003118625	6.279489e-07	0.1	0.003118625	1.712588e-06	0.1	0.003118625	6.187869e-06	0.1
0.003569758	1.1153127009394e-06	0.1	0.003569758	6.54181e-07	0.1	0.003569758	1.78413e-06	0.1	0.003569758	6.446363e-06	0.1
0.004020892	8.4530026165585e-07	0.1	0.004020892	6.740624e-07	0.1	0.004020892	1.838352e-06	0.1	0.004020892	6.642276e-06	0.1
0.004472026	6.4065691949157e-07	0.1	0.004472026	6.891307e-07	0.1	0.004472026	1.879447e-06	0.1	0.004472026	6.79076e-06	0.1
0.00492316	4.855568713592e-07	0.1	0.00492316	7.005509e-07	0.1	0.00492316	1.910593e-06	0.1	0.00492316	6.903297e-06	0.1
0.005412201	3.5953330469211e-07	0.1	0.005412201	7.098303e-07	0.1	0.005412201	1.935901e-06	0.1	0.005412201	6.994736e-06	0.1
0.005958103	2.5707791542680003e-07	0.1	0.005958103	7.173742e-07	0.1	0.005958103	1.956475e-06	0.1	0.005958103	7.069075e-06	0.1
0.006504005	1.8381908898833997e-07	0.1	0.006504005	7.227684e-07	0.1	0.006504005	1.971187e-06	0.1	0.006504005	7.12223e-06	0.1
0.007049907	1.3143658951319e-07	0.1	0.007049907	7.266254e-07	0.1	0.007049907	1.981706e-06	0.1	0.007049907	7.160237e-06	0.1
