Batch	m_SP	5	N1a_L	N7a_L	Nphln	Flvln	Azln							
8.355556e-14	0.9835937269999999	0.1	8.355556e-14	0.00047484188	0.1	8.355556e-14	1.72691e-06	0.1	8.355556e-14	0.007851541	0.1	8.355556e-14	3.321719e-07	0.1
1.165382e-13	0.977225406	0.1	1.165382e-13	0.0006625436400000001	0.1	1.165382e-13	2.406127e-06	0.1	1.165382e-13	0.01089929	0.1	1.165382e-13	4.620068e-07	0.1
1.816597e-13	0.9648261340000001	0.1	1.816597e-13	0.0010333278	0.1	1.816597e-13	3.742749e-06	0.1	1.816597e-13	0.01683322	0.1	1.816597e-13	7.162072e-07	0.1
2.988784e-13	0.943075077	0.1	2.988784e-13	0.001700431	0.1	2.988784e-13	6.132629e-06	0.1	2.988784e-13	0.02724265	0.1	2.988784e-13	1.166558e-06	0.1
4.426905e-13	0.917343638	0.1	4.426905e-13	0.0025161572	0.1	4.426905e-13	9.033728e-06	0.1	4.426905e-13	0.0395569	0.1	4.426905e-13	1.706391e-06	0.1
6.407789e-13	0.883522121	0.1	6.407789e-13	0.0036301673	0.1	6.407789e-13	1.29681e-05	0.1	6.407789e-13	0.05574281	0.1	6.407789e-13	2.427139e-06	0.1
8.388673e-13	0.8514531720000001	0.1	8.388673e-13	0.0047279784	0.1	8.388673e-13	1.682516e-05	0.1	8.388673e-13	0.07109003	0.1	8.388673e-13	3.121713e-06	0.1
1.036956e-12	0.8210102130000001	0.1	1.036956e-12	0.0058052733	0.1	1.036956e-12	2.060042e-05	0.1	1.036956e-12	0.08565899	0.1	1.036956e-12	3.790586e-06	0.1
1.235044e-12	0.792078876	0.1	1.235044e-12	0.0068588698	0.1	1.235044e-12	2.429107e-05	0.1	1.235044e-12	0.09950449	0.1	1.235044e-12	4.434372e-06	0.1
1.433133e-12	0.764555303	0.1	1.433133e-12	0.0078864869	0.1	1.433133e-12	2.789566e-05	0.1	1.433133e-12	0.1126763	0.1	1.433133e-12	5.053783e-06	0.1
1.631221e-12	0.738344724	0.1	1.631221e-12	0.008886565400000001	0.1	1.631221e-12	3.14138e-05	0.1	1.631221e-12	0.1252198	0.1	1.631221e-12	5.649597e-06	0.1
1.829309e-12	0.7133606345999999	0.1	1.829309e-12	0.009858119	0.1	1.829309e-12	3.484589e-05	0.1	1.829309e-12	0.1371762	0.1	1.829309e-12	6.222637e-06	0.1
2.027398e-12	0.6895240850000002	0.1	2.027398e-12	0.010800617	0.1	2.027398e-12	3.819298e-05	0.1	2.027398e-12	0.1485834	0.1	2.027398e-12	6.773748e-06	0.1
2.225486e-12	0.6667627826	0.1	2.225486e-12	0.011713882	0.1	2.225486e-12	4.145657e-05	0.1	2.225486e-12	0.159476	0.1	2.225486e-12	7.303784e-06	0.1
2.448174e-12	0.6423763809	0.1	2.448174e-12	0.012705794	0.1	2.448174e-12	4.502807e-05	0.1	2.448174e-12	0.1711464	0.1	2.448174e-12	7.875538e-06	0.1
2.68726e-12	0.6175148733000001	0.1	2.68726e-12	0.013730322	0.1	2.68726e-12	4.875122e-05	0.1	2.68726e-12	0.183044	0.1	2.68726e-12	8.462308e-06	0.1
2.926347e-12	0.5939265441	0.1	2.926347e-12	0.014713866999999999	0.1	2.926347e-12	5.236304e-05	0.1	2.926347e-12	0.1943324	0.1	2.926347e-12	9.022429e-06	0.1
3.165434e-12	0.5715228400999999	0.1	3.165434e-12	0.015657572	0.1	3.165434e-12	5.586785e-05	0.1	3.165434e-12	0.2050537	0.1	3.165434e-12	9.557292e-06	0.1
3.40452e-12	0.550223676	0.1	3.40452e-12	0.016562735000000002	0.1	3.40452e-12	5.927005e-05	0.1	3.40452e-12	0.2152465	0.1	3.40452e-12	1.006823e-05	0.1
3.662783e-12	0.5283725614	0.1	3.662783e-12	0.017498812	0.1	3.662783e-12	6.283492e-05	0.1	3.662783e-12	0.2257034	0.1	3.662783e-12	1.059473e-05	0.1
3.949809e-12	0.5053975885	0.1	3.949809e-12	0.018490537	0.1	3.949809e-12	6.666909e-05	0.1	3.949809e-12	0.2366981	0.1	3.949809e-12	1.115069e-05	0.1
4.236836e-12	0.483700523	0.1	4.236836e-12	0.019433587	0.1	4.236836e-12	7.03759e-05	0.1	4.236836e-12	0.2470812	0.1	4.236836e-12	1.167783e-05	0.1
4.523862e-12	0.46318693690000007	0.1	4.523862e-12	0.020330475	0.1	4.523862e-12	7.396245e-05	0.1	4.523862e-12	0.2568979	0.1	4.523862e-12	1.217798e-05	0.1
4.810888e-12	0.44377163820000004	0.1	4.810888e-12	0.021183725	0.1	4.810888e-12	7.743554e-05	0.1	4.810888e-12	0.2661889	0.1	4.810888e-12	1.265285e-05	0.1
5.156613e-12	0.42173443029999996	0.1	5.156613e-12	0.022156928	0.1	5.156613e-12	8.147735e-05	0.1	5.156613e-12	0.2767346	0.1	5.156613e-12	1.31935e-05	0.1
5.502338e-12	0.401056521	0.1	5.502338e-12	0.023074278	0.1	5.502338e-12	8.537446e-05	0.1	5.502338e-12	0.2866298	0.1	5.502338e-12	1.370232e-05	0.1
5.848063e-12	0.38162900409999995	0.1	5.848063e-12	0.023939573999999998	0.1	5.848063e-12	8.913673e-05	0.1	5.848063e-12	0.2959266	0.1	5.848063e-12	1.418165e-05	0.1
6.208367e-12	0.36260724289999996	0.1	6.208367e-12	0.024789747	0.1	6.208367e-12	9.292402e-05	0.1	6.208367e-12	0.3050291	0.1	6.208367e-12	1.465209e-05	0.1
6.626988e-12	0.3419472974	0.1	6.626988e-12	0.025716193999999998	0.1	6.626988e-12	9.716545e-05	0.1	6.626988e-12	0.3149155	0.1	6.626988e-12	1.516427e-05	0.1
7.045609e-12	0.32270414900000005	0.1	7.045609e-12	0.026581796	0.1	7.045609e-12	0.0001012492	0.1	7.045609e-12	0.3241238	0.1	7.045609e-12	1.564243e-05	0.1
7.46423e-12	0.30475419159999995	0.1	7.46423e-12	0.027391421	0.1	7.46423e-12	0.0001051877	0.1	7.46423e-12	0.3327133	0.1	7.46423e-12	1.608937e-05	0.1
7.971468e-12	0.28458095279999995	0.1	7.971468e-12	0.028303704	0.1	7.971468e-12	0.0001097815	0.1	7.971468e-12	0.3423665	0.1	7.971468e-12	1.659271e-05	0.1
8.478706e-12	0.2659738609	0.1	8.478706e-12	0.029147309	0.1	8.478706e-12	0.0001141966	0.1	8.478706e-12	0.3512702	0.1	8.478706e-12	1.705793e-05	0.1
